BriefDescription,ProjectYear,InternalProjectID,ImprovementType,AreaTypeFuncClass,main_ProjectInformation.State,TollType,TrafficForecast,ForecastYear,ForecastYearType,YearForecastProduced,ForecastingAgency,ForecastMethodology,SegmentDescription,ProjectID,SegmentID,CountID,Year_ofObservation,Count,Station_Identifier,main_TrafficCounts.State,CounterID,FunctionalClass,AdjustedForecast,Error,AbsError,PercentError,AbsPE
,2007,2545,12,3,WI,No Tolls on 1+ lane,4250,2008,1,2007,1-State DOT,1,,58-6320-2545-,,58-22453-300739,2008,4500,300739,Wisconsin,58-22453-300739,5,4250,-250,250,-5.88,5.88
,2007,2545,12,3,WI,No Tolls on 1+ lane,7300,2008,1,2007,1-State DOT,1,,58-6321-2545-,,58-22455-300472,2008,7100,300472,Wisconsin,58-22455-300472,4,7300,200,200,2.74,2.74
,2007,2533,12,3,WI,No Tolls on 1+ lane,7900,2009,1,2007,1-State DOT,1,,58-6322-2533-,,58-22457-640485,2009,4300,640485,Wisconsin,58-22457-640485,4,7900,3600,3600,45.57,45.57
,2007,2533,12,3,WI,No Tolls on 1+ lane,7100,2009,1,2007,1-State DOT,1,,58-6323-2533-,,58-22459-640475,2009,5400,640475,Wisconsin,58-22459-640475,3,7100,1700,1700,23.94,23.94
,2007,2533,12,3,WI,No Tolls on 1+ lane,6700,2009,1,2007,1-State DOT,1,,58-6324-2533-,,58-22461-640466,2009,5300,640466,Wisconsin,58-22461-640466,3,6700,1400,1400,20.9,20.9
,2007,2533,12,3,WI,No Tolls on 1+ lane,8100,2009,1,2007,1-State DOT,1,,58-6325-2533-,,58-22463-641025,2009,9800,641025,Wisconsin,58-22463-641025,4,8100,-1700,1700,-20.99,20.99
,2007,2533,12,3,WI,No Tolls on 1+ lane,8800,2009,1,2007,1-State DOT,1,,58-6326-2533-,,58-22465-640484,2009,7300,640484,Wisconsin,58-22465-640484,4,8800,1500,1500,17.05,17.05
,2007,2533,12,1,WI,No Tolls on 1+ lane,21100,2009,1,2007,1-State DOT,1,,58-6327-2533-,,58-22467-649003,2009,19200,649003,Wisconsin,58-22467-649003,1,21100,1900,1900,9,9
,2007,2533,12,3,WI,No Tolls on 1+ lane,6200,2009,1,2007,1-State DOT,1,,58-6328-2533-,,58-22469-640483,2009,5400,640483,Wisconsin,58-22469-640483,3,6200,800,800,12.9,12.9
,2007,2533,12,1,WI,No Tolls on 1+ lane,25200,2009,1,2007,1-State DOT,1,,58-6329-2533-,,58-22471-649002,2009,23600,649002,Wisconsin,58-22471-649002,1,25200,1600,1600,6.35,6.35
,2007,2533,12,1,WI,No Tolls on 1+ lane,4400,2009,1,2007,1-State DOT,1,,58-6330-2533-,,58-22473-640804,2009,5100,640804,Wisconsin,58-22473-640804,3,4400,-700,700,-15.91,15.91
,2007,2533,12,3,WI,No Tolls on 1+ lane,13700,2009,1,2007,1-State DOT,1,,58-6331-2533-,,58-22475-640805,2009,14900,640805,Wisconsin,58-22475-640805,3,13700,-1200,1200,-8.76,8.76
,2007,2533,12,3,WI,No Tolls on 1+ lane,3300,2009,1,2007,1-State DOT,1,,58-6332-2533-,,58-22477-640184,2009,3900,640184,Wisconsin,58-22477-640184,5,3300,-600,600,-18.18,18.18
,2007,2533,12,3,WI,No Tolls on 1+ lane,8000,2009,1,2007,1-State DOT,1,,58-6333-2533-,,58-22479-640487,2009,8900,640487,Wisconsin,58-22479-640487,3,8000,-900,900,-11.25,11.25
,2007,2533,12,3,WI,No Tolls on 1+ lane,4000,2009,1,2007,1-State DOT,1,,58-6334-2533-,,58-22481-640471,2009,3600,640471,Wisconsin,58-22481-640471,4,4000,400,400,10,10
,2007,2533,12,3,WI,No Tolls on 1+ lane,1800,2009,1,2007,1-State DOT,1,,58-6335-2533-,,58-22483-643773,2009,1600,643773,Wisconsin,58-22483-643773,8,1800,200,200,11.11,11.11
,2007,2533,12,3,WI,No Tolls on 1+ lane,1800,2009,1,2007,1-State DOT,1,,58-6336-2533-,,58-22485-640193,2009,2000,640193,Wisconsin,58-22485-640193,5,1800,-200,200,-11.11,11.11
,2007,2533,12,3,WI,No Tolls on 1+ lane,9800,2009,1,2007,1-State DOT,1,,58-6337-2533-,,58-22487-640490,2009,9500,640490,Wisconsin,58-22487-640490,3,9800,300,300,3.06,3.06
,2007,2533,12,3,WI,No Tolls on 1+ lane,1500,2009,1,2007,1-State DOT,1,,58-6338-2533-,,58-22489-643774,2009,1600,643774,Wisconsin,58-22489-643774,8,1500,-100,100,-6.67,6.67
,2007,2533,12,3,WI,No Tolls on 1+ lane,790,2009,1,2007,1-State DOT,1,,58-6339-2533-,,58-22491-643771,2009,850,643771,Wisconsin,58-22491-643771,8,790,-60,60,-7.59,7.59
,2007,2533,12,3,WI,No Tolls on 1+ lane,10300,2009,1,2007,1-State DOT,1,,58-6340-2533-,,58-22493-640493,2009,10400,640493,Wisconsin,58-22493-640493,3,10300,-100,100,-0.97,0.97
,2007,2533,12,3,WI,No Tolls on 1+ lane,1100,2009,1,2007,1-State DOT,1,,58-6341-2533-,,58-22495-643772,2009,1100,643772,Wisconsin,58-22495-643772,8,1100,0,0,0,0
,2008,2737,12,3,WI,No Tolls on 1+ lane,3600,2009,1,2008,1-State DOT,1,,58-6342-2737-,,58-22497-20313,2009,3000,20313,Wisconsin,58-22497-20313,4,3600,600,600,16.67,16.67
,2007,2159,12,3,WI,No Tolls on 1+ lane,15300,2011,1,2007,1-State DOT,1,,58-6343-2159-,,58-22499-30535,2011,10100,30535,Wisconsin,58-22499-30535,3,15300,5200,5200,33.99,33.99
,2007,2159,12,1,WI,No Tolls on 1+ lane,11000,2011,1,2007,1-State DOT,1,,58-6344-2159-,,58-22501-30226,2011,7500,30226,Wisconsin,58-22501-30226,3,11000,3500,3500,31.82,31.82
,2007,2159,12,1,WI,No Tolls on 1+ lane,11300,2011,1,2007,1-State DOT,1,,58-6345-2159-,,58-22503-30103,2011,8100,30103,Wisconsin,58-22503-30103,3,11300,3200,3200,28.32,28.32
,2007,2159,12,1,WI,No Tolls on 1+ lane,11100,2011,1,2007,1-State DOT,1,,58-6346-2159-,,58-22505-30543,2011,8500,30543,Wisconsin,58-22505-30543,3,11100,2600,2600,23.42,23.42
,2007,2159,12,3,WI,No Tolls on 1+ lane,900,2011,1,2007,1-State DOT,1,,58-6347-2159-,,58-22507-30376,2011,1000,30376,Wisconsin,58-22507-30376,5,900,-100,100,-11.11,11.11
,2007,2159,12,3,WI,No Tolls on 1+ lane,630,2011,1,2007,1-State DOT,1,,58-6348-2159-,,58-22509-30375,2011,660,30375,Wisconsin,58-22509-30375,5,630,-30,30,-4.76,4.76
,2007,2501,12,1,WI,No Tolls on 1+ lane,13400,2011,1,2007,1-State DOT,1,,58-6349-2501-,,58-22511-30540,2011,10300,30540,Wisconsin,58-22511-30540,3,13400,3100,3100,23.13,23.13
,2005,1929,12,3,WI,No Tolls on 1+ lane,82000,2009,1,2005,1-State DOT,4,,58-6350-1929-,,58-22513-50387,2009,65000,50387,Wisconsin,58-22513-50387,3,82000,17000,17000,20.73,20.73
,2005,1929,12,3,WI,No Tolls on 1+ lane,6900,2009,1,2005,1-State DOT,4,,58-6351-1929-,,58-22515-51729,2009,3800,51729,Wisconsin,58-22515-51729,8,6900,3100,3100,44.93,44.93
,2005,1929,12,3,WI,No Tolls on 1+ lane,20300,2009,1,2005,1-State DOT,4,,58-6352-1929-,,58-22517-51291,2009,14800,51291,Wisconsin,58-22517-51291,8,20300,5500,5500,27.09,27.09
,2005,1929,12,3,WI,No Tolls on 1+ lane,17100,2009,1,2005,1-State DOT,4,,58-6353-1929-,,58-22519-51731,2009,12100,51731,Wisconsin,58-22519-51731,8,17100,5000,5000,29.24,29.24
,2005,1929,12,3,WI,No Tolls on 1+ lane,7600,2009,1,2005,1-State DOT,4,,58-6354-1929-,,58-22521-51720,2009,4400,51720,Wisconsin,58-22521-51720,8,7600,3200,3200,42.11,42.11
,2005,1929,12,3,WI,No Tolls on 1+ lane,54000,2009,1,2005,1-State DOT,4,,58-6355-1929-,,58-22523-51149,2009,45000,51149,Wisconsin,58-22523-51149,3,54000,9000,9000,16.67,16.67
,2005,1929,12,3,WI,No Tolls on 1+ lane,67000,2009,1,2005,1-State DOT,4,,58-6356-1929-,,58-22525-50382,2009,57400,50382,Wisconsin,58-22525-50382,3,67000,9600,9600,14.33,14.33
,2005,1929,12,3,WI,No Tolls on 1+ lane,20200,2009,1,2005,1-State DOT,4,,58-6357-1929-,,58-22527-51290,2009,15400,51290,Wisconsin,58-22527-51290,8,20200,4800,4800,23.76,23.76
,2005,1929,12,3,WI,No Tolls on 1+ lane,16000,2009,1,2005,1-State DOT,4,,58-6358-1929-,,58-22529-51718,2009,11800,51718,Wisconsin,58-22529-51718,8,16000,4200,4200,26.25,26.25
,2005,1929,12,3,WI,No Tolls on 1+ lane,14900,2009,1,2005,1-State DOT,4,,58-6359-1929-,,58-22531-51728,2009,11100,51728,Wisconsin,58-22531-51728,8,14900,3800,3800,25.5,25.5
,2005,1929,12,3,WI,No Tolls on 1+ lane,7300,2009,1,2005,1-State DOT,4,,58-6360-1929-,,58-22533-51717,2009,4800,51717,Wisconsin,58-22533-51717,8,7300,2500,2500,34.25,34.25
,2005,1929,12,3,WI,No Tolls on 1+ lane,13400,2009,1,2005,1-State DOT,4,,58-6361-1929-,,58-22535-51719,2009,10000,51719,Wisconsin,58-22535-51719,8,13400,3400,3400,25.37,25.37
,2006,2214,12,3,WI,No Tolls on 1+ lane,9150,2006,1,2006,1-State DOT,4,,58-6362-2214-,,58-22537-51599,2006,12100,51599,Wisconsin,58-22537-51599,8,9150,-2950,2950,-32.24,32.24
,2006,2214,12,3,WI,No Tolls on 1+ lane,3000,2006,1,2006,1-State DOT,4,,58-6363-2214-,,58-22539-51124,2006,4700,51124,Wisconsin,58-22539-51124,4,3000,-1700,1700,-56.67,56.67
,2006,2214,12,3,WI,No Tolls on 1+ lane,9450,2006,1,2006,1-State DOT,4,,58-6364-2214-,,58-22541-51598,2006,12100,51598,Wisconsin,58-22541-51598,8,9450,-2650,2650,-28.04,28.04
,2005,1929,12,3,WI,No Tolls on 1+ lane,6000,2009,1,2005,1-State DOT,4,,58-6365-1929-,,58-22543-51726,2009,4200,51726,Wisconsin,58-22543-51726,8,6000,1800,1800,30,30
,2005,1929,12,3,WI,No Tolls on 1+ lane,6100,2009,1,2005,1-State DOT,4,,58-6366-1929-,,58-22545-51721,2009,4300,51721,Wisconsin,58-22545-51721,8,6100,1800,1800,29.51,29.51
,2006,2214,12,3,WI,No Tolls on 1+ lane,7700,2006,1,2006,1-State DOT,4,,58-6367-2214-,,58-22547-51125,2006,9900,51125,Wisconsin,58-22547-51125,4,7700,-2200,2200,-28.57,28.57
,2005,1929,12,3,WI,No Tolls on 1+ lane,2500,2009,1,2005,1-State DOT,4,,58-6368-1929-,,58-22549-51730,2009,1600,51730,Wisconsin,58-22549-51730,8,2500,900,900,36,36
,2006,2214,12,3,WI,No Tolls on 1+ lane,9200,2006,1,2006,1-State DOT,4,,58-6369-2214-,,58-22551-51348,2006,11100,51348,Wisconsin,58-22551-51348,4,9200,-1900,1900,-20.65,20.65
,2005,1929,12,3,WI,No Tolls on 1+ lane,7200,2009,1,2005,1-State DOT,4,,58-6370-1929-,,58-22553-51725,2009,8700,51725,Wisconsin,58-22553-51725,8,7200,-1500,1500,-20.83,20.83
,2006,2241,12,3,WI,No Tolls on 1+ lane,24500,2006,1,2006,1-State DOT,4,,58-6371-2241-,,58-22555-51132,2006,22000,51132,Wisconsin,58-22555-51132,4,24500,2500,2500,10.2,10.2
,2005,1929,12,3,WI,No Tolls on 1+ lane,4800,2009,1,2005,1-State DOT,4,,58-6372-1929-,,58-22557-51723,2009,5700,51723,Wisconsin,58-22557-51723,8,4800,-900,900,-18.75,18.75
,2005,1929,12,3,WI,No Tolls on 1+ lane,4500,2009,1,2005,1-State DOT,4,,58-6373-1929-,,58-22559-51732,2009,3900,51732,Wisconsin,58-22559-51732,8,4500,600,600,13.33,13.33
,2005,1929,12,3,WI,No Tolls on 1+ lane,4900,2009,1,2005,1-State DOT,4,,58-6374-1929-,,58-22561-51724,2009,5500,51724,Wisconsin,58-22561-51724,8,4900,-600,600,-12.24,12.24
,2006,2214,12,3,WI,No Tolls on 1+ lane,2850,2006,1,2006,1-State DOT,4,,58-6375-2214-,,58-22563-51601,2006,3300,51601,Wisconsin,58-22563-51601,8,2850,-450,450,-15.79,15.79
,2005,1929,12,3,WI,No Tolls on 1+ lane,8500,2009,1,2005,1-State DOT,4,,58-6376-1929-,,58-22565-51722,2009,9100,51722,Wisconsin,58-22565-51722,8,8500,-600,600,-7.06,7.06
,2005,1929,12,3,WI,No Tolls on 1+ lane,2000,2009,1,2005,1-State DOT,4,,58-6377-1929-,,58-22567-51727,2009,1800,51727,Wisconsin,58-22567-51727,8,2000,200,200,10,10
,2006,2214,12,3,WI,No Tolls on 1+ lane,2850,2006,1,2006,1-State DOT,4,,58-6378-2214-,,58-22569-51600,2006,3000,51600,Wisconsin,58-22569-51600,8,2850,-150,150,-5.26,5.26
,2005,1929,12,3,WI,No Tolls on 1+ lane,8700,2009,1,2005,1-State DOT,4,,58-6379-1929-,,58-22571-51289,2009,8600,51289,Wisconsin,58-22571-51289,8,8700,100,100,1.15,1.15
,2005,1929,12,3,WI,No Tolls on 1+ lane,8900,2009,1,2005,1-State DOT,4,,58-6380-1929-,,58-22573-51288,2009,8800,51288,Wisconsin,58-22573-51288,8,8900,100,100,1.12,1.12
,2007,2514,12,3,WI,No Tolls on 1+ lane,760,2010,1,2007,1-State DOT,1,,58-6381-2514-,,58-22575-70256,2010,560,70256,Wisconsin,58-22575-70256,5,760,200,200,26.32,26.32
,2007,2514,12,3,WI,No Tolls on 1+ lane,900,2010,1,2007,1-State DOT,1,,58-6382-2514-,,58-22577-70251,2010,740,70251,Wisconsin,58-22577-70251,5,900,160,160,17.78,17.78
,2007,2514,12,3,WI,No Tolls on 1+ lane,480,2010,1,2007,1-State DOT,1,,58-6383-2514-,,58-22579-70258,2010,430,70258,Wisconsin,58-22579-70258,5,480,50,50,10.42,10.42
,2007,2411,12,3,WI,No Tolls on 1+ lane,10700,2010,1,2007,1-State DOT,1,,58-6384-2411-,,58-22581-80204,2010,8200,80204,Wisconsin,58-22581-80204,4,10700,2500,2500,23.36,23.36
,2007,2411,12,3,WI,No Tolls on 1+ lane,11500,2010,1,2007,1-State DOT,1,,58-6385-2411-,,58-22583-80103,2010,9000,80103,Wisconsin,58-22583-80103,4,11500,2500,2500,21.74,21.74
,2007,2411,12,3,WI,No Tolls on 1+ lane,2800,2010,1,2007,1-State DOT,1,,58-6386-2411-,,58-22585-80175,2010,2600,80175,Wisconsin,58-22585-80175,4,2800,200,200,7.14,7.14
,2007,2411,12,3,WI,No Tolls on 1+ lane,1200,2010,1,2007,1-State DOT,1,,58-6387-2411-,,58-22587-80523,2010,1100,80523,Wisconsin,58-22587-80523,6,1200,100,100,8.33,8.33
,2007,2388,12,3,WI,No Tolls on 1+ lane,12600,2010,1,2007,1-State DOT,4,,58-6388-2388-,,58-22589-80203,2010,10200,80203,Wisconsin,58-22589-80203,4,12600,2400,2400,19.05,19.05
,2007,2388,12,3,WI,No Tolls on 1+ lane,10000,2010,1,2007,1-State DOT,4,,58-6389-2388-,,58-22591-80498,2010,8300,80498,Wisconsin,58-22591-80498,4,10000,1700,1700,17,17
,2007,2388,12,3,WI,No Tolls on 1+ lane,3100,2010,1,2007,1-State DOT,4,,58-6390-2388-,,58-22593-80550,2010,2900,80550,Wisconsin,58-22593-80550,5,3100,200,200,6.45,6.45
,2010,3376,12,3,WI,No Tolls on 1+ lane,700,2011,1,2010,1-State DOT,1,,58-6391-3376-,,58-22595-90259,2011,780,90259,Wisconsin,58-22595-90259,5,700,-80,80,-11.43,11.43
,2010,3374,12,3,WI,No Tolls on 1+ lane,700,2011,1,2010,1-State DOT,1,,58-6392-3374-,,58-22597-90348,2011,720,90348,Wisconsin,58-22597-90348,5,700,-20,20,-2.86,2.86
,2005,2084,12,3,WI,No Tolls on 1+ lane,1500,2011,1,2005,1-State DOT,4,,58-6393-2084-,,58-22599-90173,2011,3700,90173,Wisconsin,58-22599-90173,4,1500,-2200,2200,-146.67,146.67
,2005,2084,12,3,WI,No Tolls on 1+ lane,1200,2011,1,2005,1-State DOT,4,,58-6394-2084-,,58-22601-90101,2011,1450,90101,Wisconsin,58-22601-90101,4,1200,-250,250,-20.83,20.83
,2010,3531,12,3,WI,No Tolls on 1+ lane,6600,2011,1,2010,1-State DOT,4,,58-6395-3531-,,58-22603-90954,2011,4300,90954,Wisconsin,58-22603-90954,4,6600,2300,2300,34.85,34.85
,2007,1693,12,1,WI,No Tolls on 1+ lane,10900,2007,1,2007,1-State DOT,1,,58-6396-1693-,,58-22605-100101,2007,12600,100101,Wisconsin,58-22605-100101,3,10900,-1700,1700,-15.6,15.6
,2007,1693,12,1,WI,No Tolls on 1+ lane,10200,2007,1,2007,1-State DOT,1,,58-6397-1693-,,58-22607-100176,2007,11300,100176,Wisconsin,58-22607-100176,3,10200,-1100,1100,-10.78,10.78
,2007,1693,12,1,WI,No Tolls on 1+ lane,10500,2007,1,2007,1-State DOT,1,,58-6398-1693-,,58-22609-100175,2007,11600,100175,Wisconsin,58-22609-100175,3,10500,-1100,1100,-10.48,10.48
,2007,1693,12,1,WI,No Tolls on 1+ lane,11200,2007,1,2007,1-State DOT,1,,58-6399-1693-,,58-22611-100001,2007,11600,100001,Wisconsin,58-22611-100001,3,11200,-400,400,-3.57,3.57
,2007,1693,12,1,WI,No Tolls on 1+ lane,11600,2007,1,2007,1-State DOT,1,,58-6400-1693-,,58-22613-100179,2007,12000,100179,Wisconsin,58-22613-100179,3,11600,-400,400,-3.45,3.45
,2006,2298,12,3,WI,No Tolls on 1+ lane,1450,2007,1,2006,1-State DOT,1,,58-6401-2298-,,58-22615-100234,2007,3000,100234,Wisconsin,58-22615-100234,5,1450,-1550,1550,-106.9,106.9
,2007,2621,12,1,WI,No Tolls on 1+ lane,1900,2010,1,2007,1-State DOT,1,,58-6402-2621-,,58-22617-120289,2010,1800,120289,Wisconsin,58-22617-120289,3,1900,100,100,5.26,5.26
,2007,2442,12,3,WI,No Tolls on 1+ lane,2900,2009,1,2007,1-State DOT,4,,58-6403-2442-,,58-22619-132116,2009,410,132116,Wisconsin,58-22619-132116,5,2900,2490,2490,85.86,85.86
,2005,1965,12,3,WI,No Tolls on 1+ lane,6400,2006,1,2005,1-State DOT,4,,58-6404-1965-,,58-22621-130424,2006,4900,130424,Wisconsin,58-22621-130424,4,6400,1500,1500,23.44,23.44
,2005,1965,12,3,WI,No Tolls on 1+ lane,6600,2006,1,2005,1-State DOT,4,,58-6405-1965-,,58-22623-130425,2006,5200,130425,Wisconsin,58-22623-130425,4,6600,1400,1400,21.21,21.21
,2009,2927,12,3,WI,No Tolls on 1+ lane,3600,2009,1,2009,1-State DOT,4,,58-6406-2927-,,58-22625-130519,2009,2800,130519,Wisconsin,58-22625-130519,5,3600,800,800,22.22,22.22
,2005,1965,12,3,WI,No Tolls on 1+ lane,11300,2006,1,2005,1-State DOT,4,,58-6407-1965-,,58-22627-131032,2006,10000,131032,Wisconsin,58-22627-131032,3,11300,1300,1300,11.5,11.5
,2009,2927,12,1,WI,No Tolls on 1+ lane,6500,2009,1,2009,1-State DOT,4,,58-6408-2927-,,58-22629-130126,2009,7400,130126,Wisconsin,58-22629-130126,3,6500,-900,900,-13.85,13.85
,2006,2345,12,1,WI,No Tolls on 1+ lane,11600,2009,1,2006,1-State DOT,4,,58-6409-2345-,,58-22631-130545,2009,10500,130545,Wisconsin,58-22631-130545,3,11600,1100,1100,9.48,9.48
,2007,2567,12,1,WI,No Tolls on 1+ lane,11600,2009,1,2007,1-State DOT,4,,58-6410-2567-,,58-22633-130108,2009,10900,130108,Wisconsin,58-22633-130108,3,11600,700,700,6.03,6.03
,2006,2345,12,3,WI,No Tolls on 1+ lane,2500,2009,1,2006,1-State DOT,4,,58-6411-2345-,,58-22635-131268,2009,2800,131268,Wisconsin,58-22635-131268,5,2500,-300,300,-12,12
,2009,2927,12,3,WI,No Tolls on 1+ lane,2200,2009,1,2009,1-State DOT,4,,58-6412-2927-,,58-22637-131277,2009,2000,131277,Wisconsin,58-22637-131277,5,2200,200,200,9.09,9.09
,2006,2345,12,1,WI,No Tolls on 1+ lane,10600,2009,1,2006,1-State DOT,4,,58-6413-2345-,,58-22639-130544,2009,10300,130544,Wisconsin,58-22639-130544,3,10600,300,300,2.83,2.83
,2007,2567,12,1,WI,No Tolls on 1+ lane,11500,2009,1,2007,1-State DOT,4,,58-6414-2567-,,58-22641-130306,2009,11200,130306,Wisconsin,58-22641-130306,3,11500,300,300,2.61,2.61
,2006,2187,12,3,WI,No Tolls on 1+ lane,1700,2009,1,2006,1-State DOT,4,,58-6415-2187-,,58-22643-130524,2009,1800,130524,Wisconsin,58-22643-130524,5,1700,-100,100,-5.88,5.88
,2005,1965,12,3,WI,No Tolls on 1+ lane,10300,2006,1,2005,1-State DOT,4,,58-6416-1965-,,58-22645-130426,2006,10100,130426,Wisconsin,58-22645-130426,3,10300,200,200,1.94,1.94
,2009,2927,12,1,WI,No Tolls on 1+ lane,5800,2009,1,2009,1-State DOT,4,,58-6417-2927-,,58-22647-130482,2009,5700,130482,Wisconsin,58-22647-130482,3,5800,100,100,1.72,1.72
,2005,1965,12,3,WI,No Tolls on 1+ lane,4300,2006,1,2005,1-State DOT,4,,58-6418-1965-,,58-22649-131494,2006,4300,131494,Wisconsin,58-22649-131494,4,4300,0,0,0,0
,2007,665,12,1,WI,No Tolls on 1+ lane,8500,2008,1,2007,1-State DOT,1,,58-6419-665-,,58-22651-141230,2008,6500,141230,Wisconsin,58-22651-141230,3,8500,2000,2000,23.53,23.53
,2007,2449,12,3,WI,No Tolls on 1+ lane,4500,2008,1,2007,1-State DOT,1,,58-6420-2449-,,58-22653-140120,2008,3400,140120,Wisconsin,58-22653-140120,4,4500,1100,1100,24.44,24.44
,2007,665,12,1,WI,No Tolls on 1+ lane,11300,2008,1,2007,1-State DOT,1,,58-6421-665-,,58-22655-141260,2008,10100,141260,Wisconsin,58-22655-141260,3,11300,1200,1200,10.62,10.62
,2007,2449,12,3,WI,No Tolls on 1+ lane,6200,2008,1,2007,1-State DOT,1,,58-6422-2449-,,58-22657-140981,2008,5400,140981,Wisconsin,58-22657-140981,4,6200,800,800,12.9,12.9
,2007,665,12,1,WI,No Tolls on 1+ lane,12800,2008,1,2007,1-State DOT,1,,58-6423-665-,,58-22659-140627,2008,13500,140627,Wisconsin,58-22659-140627,3,12800,-700,700,-5.47,5.47
,2008,2840,12,3,WI,No Tolls on 1+ lane,10000,2009,1,2008,1-State DOT,4,,58-6424-2840-,,58-22661-150408,2009,8600,150408,Wisconsin,58-22661-150408,3,10000,1400,1400,14,14
,2008,2840,12,3,WI,No Tolls on 1+ lane,4000,2009,1,2008,1-State DOT,4,,58-6425-2840-,,58-22663-150636,2009,4900,150636,Wisconsin,58-22663-150636,3,4000,-900,900,-22.5,22.5
,2008,2840,12,3,WI,No Tolls on 1+ lane,10700,2009,1,2008,1-State DOT,4,,58-6426-2840-,,58-22665-150514,2009,9400,150514,Wisconsin,58-22665-150514,3,10700,1300,1300,12.15,12.15
