,BriefDescription,ProjectYear,InternalProjectID,ImprovementType,AreaTypeFuncClass,main_ProjectInformation.State,TollType,TrafficForecast,ForecastYear,ForecastYearType,YearForecastProduced,ForecastingAgency,ForecastMethodology,SegmentDescription,ProjectID,SegmentID,CountID,Year_ofObservation,Count,Station_Identifier,main_TrafficCounts.State,CounterID,FunctionalClass,AdjustedForecast,Error,PercentError,AbsPE
75,,2005.0,1929,12.0,3.0,WI,No Tolls on 1+ lane,2000.0,2009,1,2005.0,1-State DOT,4,,58-6377-1929-,,58-22567-51727,2009,1800,51727.0,Wisconsin,58-22567-51727,8,2000.0,200.0,10.0,10.0
79,,2007.0,2514,12.0,3.0,WI,No Tolls on 1+ lane,760.0,2010,1,2007.0,1-State DOT,1,,58-6381-2514-,,58-22575-70256,2010,560,70256.0,Wisconsin,58-22575-70256,5,760.0,200.0,26.31578947,26.31578947
80,,2007.0,2514,12.0,3.0,WI,No Tolls on 1+ lane,900.0,2010,1,2007.0,1-State DOT,1,,58-6382-2514-,,58-22577-70251,2010,740,70251.0,Wisconsin,58-22577-70251,5,900.0,160.0,17.77777778,17.77777778
81,,2007.0,2514,12.0,3.0,WI,No Tolls on 1+ lane,480.0,2010,1,2007.0,1-State DOT,1,,58-6383-2514-,,58-22579-70258,2010,430,70258.0,Wisconsin,58-22579-70258,5,480.0,50.0,10.41666667,10.41666667
85,,2007.0,2411,12.0,3.0,WI,No Tolls on 1+ lane,1200.0,2010,1,2007.0,1-State DOT,1,,58-6387-2411-,,58-22587-80523,2010,1100,80523.0,Wisconsin,58-22587-80523,6,1200.0,100.0,8.333333332999999,8.333333332999999
89,,2010.0,3376,12.0,3.0,WI,No Tolls on 1+ lane,700.0,2011,1,2010.0,1-State DOT,1,,58-6391-3376-,,58-22595-90259,2011,780,90259.0,Wisconsin,58-22595-90259,5,700.0,-80.0,-11.42857143,11.42857143
90,,2010.0,3374,12.0,3.0,WI,No Tolls on 1+ lane,700.0,2011,1,2010.0,1-State DOT,1,,58-6392-3374-,,58-22597-90348,2011,720,90348.0,Wisconsin,58-22597-90348,5,700.0,-20.0,-2.857142857,2.857142857
91,,2005.0,2084,12.0,3.0,WI,No Tolls on 1+ lane,1500.0,2011,1,2005.0,1-State DOT,4,,58-6393-2084-,,58-22599-90173,2011,3700,90173.0,Wisconsin,58-22599-90173,4,1500.0,-2200.0,-146.66666669999998,146.66666669999998
92,,2005.0,2084,12.0,3.0,WI,No Tolls on 1+ lane,1200.0,2011,1,2005.0,1-State DOT,4,,58-6394-2084-,,58-22601-90101,2011,1450,90101.0,Wisconsin,58-22601-90101,4,1200.0,-250.0,-20.83333333,20.83333333
99,,2006.0,2298,12.0,3.0,WI,No Tolls on 1+ lane,1450.0,2007,1,2006.0,1-State DOT,1,,58-6401-2298-,,58-22615-100234,2007,3000,100234.0,Wisconsin,58-22615-100234,5,1450.0,-1550.0,-106.8965517,106.8965517
100,,2007.0,2621,12.0,1.0,WI,No Tolls on 1+ lane,1900.0,2010,1,2007.0,1-State DOT,1,,58-6402-2621-,,58-22617-120289,2010,1800,120289.0,Wisconsin,58-22617-120289,3,1900.0,100.0,5.263157895,5.263157895
109,,2006.0,2345,12.0,3.0,WI,No Tolls on 1+ lane,2500.0,2009,1,2006.0,1-State DOT,4,,58-6411-2345-,,58-22635-131268,2009,2800,131268.0,Wisconsin,58-22635-131268,5,2500.0,-300.0,-12.0,12.0
110,,2009.0,2927,12.0,3.0,WI,No Tolls on 1+ lane,2200.0,2009,1,2009.0,1-State DOT,4,,58-6412-2927-,,58-22637-131277,2009,2000,131277.0,Wisconsin,58-22637-131277,5,2200.0,200.0,9.090909091,9.090909091
113,,2006.0,2187,12.0,3.0,WI,No Tolls on 1+ lane,1700.0,2009,1,2006.0,1-State DOT,4,,58-6415-2187-,,58-22643-130524,2009,1800,130524.0,Wisconsin,58-22643-130524,5,1700.0,-100.0,-5.882352941000001,5.882352941000001
130,,2008.0,2840,12.0,3.0,WI,No Tolls on 1+ lane,2000.0,2009,1,2008.0,1-State DOT,4,,58-6432-2840-,,58-22677-154004,2009,2200,154004.0,Wisconsin,58-22677-154004,4,2000.0,-200.0,-10.0,10.0
131,,2008.0,2840,12.0,3.0,WI,No Tolls on 1+ lane,2700.0,2009,1,2008.0,1-State DOT,4,,58-6433-2840-,,58-22679-150404,2009,2500,150404.0,Wisconsin,58-22679-150404,4,2700.0,200.0,7.407407407000001,7.407407407000001
133,,2007.0,2391,12.0,3.0,WI,No Tolls on 1+ lane,1100.0,2007,1,2007.0,1-State DOT,1,,58-6435-2391-,,58-22683-160215,2007,600,160215.0,Wisconsin,58-22683-160215,5,1100.0,500.0,45.45454545,45.45454545
138,,2010.0,3394,12.0,3.0,WI,No Tolls on 1+ lane,1700.0,2010,1,2010.0,1-State DOT,4,,58-6440-3394-,,58-22693-160470,2010,1000,160470.0,Wisconsin,58-22693-160470,8,1700.0,700.0,41.17647059,41.17647059
139,,2010.0,3394,12.0,3.0,WI,No Tolls on 1+ lane,1600.0,2010,1,2010.0,1-State DOT,4,,58-6441-3394-,,58-22695-160475,2010,1000,160475.0,Wisconsin,58-22695-160475,8,1600.0,600.0,37.5,37.5
142,,2010.0,3394,12.0,3.0,WI,No Tolls on 1+ lane,2000.0,2010,1,2010.0,1-State DOT,4,,58-6444-3394-,,58-22701-160473,2010,1700,160473.0,Wisconsin,58-22701-160473,8,2000.0,300.0,15.0,15.0
156,,2007.0,2381,12.0,3.0,WI,No Tolls on 1+ lane,2450.0,2008,1,2007.0,1-State DOT,4,,58-6458-2381-,,58-22729-180182,2008,1700,180182.0,Wisconsin,58-22729-180182,4,2450.0,750.0,30.612244899999997,30.612244899999997
157,,2007.0,2381,12.0,3.0,WI,No Tolls on 1+ lane,1550.0,2008,1,2007.0,1-State DOT,4,,58-6459-2381-,,58-22731-180270,2008,1250,180270.0,Wisconsin,58-22731-180270,4,1550.0,300.0,19.35483871,19.35483871
158,,2008.0,2729,12.0,3.0,WI,No Tolls on 1+ lane,750.0,2009,1,2008.0,1-State DOT,1,,58-6460-2729-,,58-22733-190175,2009,550,190175.0,Wisconsin,58-22733-190175,4,750.0,200.0,26.66666667,26.66666667
159,,2008.0,2729,12.0,3.0,WI,No Tolls on 1+ lane,800.0,2009,1,2008.0,1-State DOT,1,,58-6461-2729-,,58-22735-210102,2009,690,210102.0,Wisconsin,58-22735-210102,4,800.0,110.0,13.75,13.75
162,,2008.0,3490,12.0,3.0,WI,No Tolls on 1+ lane,170.0,2009,1,2008.0,1-State DOT,1,,58-6464-3490-,,58-22741-210186,2009,130,210186.0,Wisconsin,58-22741-210186,5,170.0,40.0,23.52941176,23.52941176
163,,2009.0,3202,12.0,3.0,WI,No Tolls on 1+ lane,790.0,2010,1,2009.0,1-State DOT,1,,58-6465-3202-,,58-22743-220712,2010,700,220712.0,Wisconsin,58-22743-220712,5,790.0,90.0,11.39240506,11.39240506
178,,2009.0,3231,12.0,3.0,WI,No Tolls on 1+ lane,2300.0,2011,1,2009.0,1-State DOT,1,,58-6480-3231-,,58-22773-240178,2011,2700,240178.0,Wisconsin,58-22773-240178,4,2300.0,-400.0,-17.39130435,17.39130435
180,,2009.0,3231,12.0,3.0,WI,No Tolls on 1+ lane,1350.0,2011,1,2009.0,1-State DOT,1,,58-6482-3231-,,58-22777-240103,2011,1600,240103.0,Wisconsin,58-22777-240103,4,1350.0,-250.0,-18.51851852,18.51851852
181,,2009.0,3231,12.0,3.0,WI,No Tolls on 1+ lane,2300.0,2011,1,2009.0,1-State DOT,1,,58-6483-3231-,,58-22779-240101,2011,2600,240101.0,Wisconsin,58-22779-240101,4,2300.0,-300.0,-13.04347826,13.04347826
182,,2009.0,3231,12.0,3.0,WI,No Tolls on 1+ lane,2100.0,2011,1,2009.0,1-State DOT,1,,58-6484-3231-,,58-22781-240102,2011,2000,240102.0,Wisconsin,58-22781-240102,5,2100.0,100.0,4.7619047619999995,4.7619047619999995
184,,2008.0,2717,12.0,3.0,WI,No Tolls on 1+ lane,780.0,2009,1,2008.0,1-State DOT,1,,58-6486-2717-,,58-22785-250167,2009,870,250167.0,Wisconsin,58-22785-250167,5,780.0,-90.0,-11.53846154,11.53846154
185,,2005.0,1905,12.0,3.0,WI,No Tolls on 1+ lane,2600.0,2006,1,2005.0,1-State DOT,1,,58-6487-1905-,,58-22787-250216,2006,2700,250216.0,Wisconsin,58-22787-250216,5,2600.0,-100.0,-3.8461538460000004,3.8461538460000004
186,,2008.0,3493,12.0,1.0,WI,No Tolls on 1+ lane,2500.0,2010,1,2008.0,1-State DOT,1,,58-6488-3493-,,58-22789-260208,2010,2600,260208.0,Wisconsin,58-22789-260208,3,2500.0,-100.0,-4.0,4.0
190,,2010.0,3507,12.0,3.0,WI,No Tolls on 1+ lane,1500.0,2011,1,2010.0,1-State DOT,1,,58-6492-3507-,,58-22797-320325,2011,1400,320325.0,Wisconsin,58-22797-320325,5,1500.0,100.0,6.666666667,6.666666667
197,,2009.0,3082,12.0,3.0,WI,No Tolls on 1+ lane,2200.0,2011,1,2009.0,1-State DOT,4,,58-6499-3082-,,58-22811-322039,2011,2000,322039.0,Wisconsin,58-22811-322039,5,2200.0,200.0,9.090909091,9.090909091
206,,2010.0,3512,12.0,3.0,WI,No Tolls on 1+ lane,2200.0,2011,1,2010.0,1-State DOT,4,,58-6508-3512-,,58-22829-361026,2011,1700,361026.0,Wisconsin,58-22829-361026,4,2200.0,500.0,22.72727273,22.72727273
208,,2010.0,3512,12.0,3.0,WI,No Tolls on 1+ lane,2050.0,2011,1,2010.0,1-State DOT,4,,58-6510-3512-,,58-22833-361025,2011,2200,361025.0,Wisconsin,58-22833-361025,4,2050.0,-150.0,-7.3170731710000005,7.3170731710000005
209,,2010.0,3512,12.0,3.0,WI,No Tolls on 1+ lane,2370.0,2011,1,2010.0,1-State DOT,4,,58-6511-3512-,,58-22835-360110,2011,2500,360110.0,Wisconsin,58-22835-360110,4,2370.0,-130.0,-5.485232067999999,5.485232067999999
210,,2010.0,3512,12.0,3.0,WI,No Tolls on 1+ lane,2100.0,2011,1,2010.0,1-State DOT,4,,58-6512-3512-,,58-22837-360220,2011,2200,360220.0,Wisconsin,58-22837-360220,4,2100.0,-100.0,-4.7619047619999995,4.7619047619999995
215,,2006.0,2154,12.0,3.0,WI,No Tolls on 1+ lane,760.0,2010,1,2006.0,1-State DOT,4,,58-6517-2154-,,58-22847-370368,2010,430,370368.0,Wisconsin,58-22847-370368,5,760.0,330.0,43.42105263,43.42105263
217,,2006.0,2154,12.0,3.0,WI,No Tolls on 1+ lane,2700.0,2010,1,2006.0,1-State DOT,4,,58-6519-2154-,,58-22851-370462,2010,2400,370462.0,Wisconsin,58-22851-370462,4,2700.0,300.0,11.11111111,11.11111111
219,,2006.0,2298,12.0,3.0,WI,No Tolls on 1+ lane,850.0,2007,1,2006.0,1-State DOT,4,,58-6521-2298-,,58-22855-370176,2007,990,370176.0,Wisconsin,58-22855-370176,5,850.0,-140.0,-16.47058824,16.47058824
221,,2006.0,2154,12.0,3.0,WI,No Tolls on 1+ lane,820.0,2010,1,2006.0,1-State DOT,4,,58-6523-2154-,,58-22859-370370,2010,750,370370.0,Wisconsin,58-22859-370370,5,820.0,70.0,8.536585366,8.536585366
223,,2010.0,3434,12.0,3.0,WI,No Tolls on 1+ lane,1250.0,2010,1,2010.0,1-State DOT,4,,58-6525-3434-,,58-22863-370559,2010,1250,370559.0,Wisconsin,58-22863-370559,4,1250.0,0.0,0.0,0.0
224,,2008.0,2891,12.0,3.0,WI,No Tolls on 1+ lane,2150.0,2010,1,2008.0,1-State DOT,4,,58-6526-2891-,,58-22865-370678,2010,1800,370678.0,Wisconsin,58-22865-370678,4,2150.0,350.0,16.27906977,16.27906977
242,,2008.0,2764,12.0,3.0,WI,No Tolls on 1+ lane,2700.0,2009,1,2008.0,1-State DOT,1,,58-6544-2764-,,58-22901-430192,2009,1600,430192.0,Wisconsin,58-22901-430192,5,2700.0,1100.0,40.74074074,40.74074074
244,,2008.0,2764,12.0,3.0,WI,No Tolls on 1+ lane,950.0,2009,1,2008.0,1-State DOT,1,,58-6546-2764-,,58-22905-430194,2009,600,430194.0,Wisconsin,58-22905-430194,5,950.0,350.0,36.84210526,36.84210526
246,,2008.0,2764,12.0,3.0,WI,No Tolls on 1+ lane,570.0,2009,1,2008.0,1-State DOT,1,,58-6548-2764-,,58-22909-430111,2009,370,430111.0,Wisconsin,58-22909-430111,5,570.0,200.0,35.087719299999996,35.087719299999996
277,,2006.0,2372,12.0,3.0,WI,No Tolls on 1+ lane,2500.0,2009,1,2006.0,1-State DOT,1,,58-6579-2372-,,58-22971-470228,2009,2900,470228.0,Wisconsin,58-22971-470228,4,2500.0,-400.0,-16.0,16.0
278,,2006.0,2372,12.0,3.0,WI,No Tolls on 1+ lane,1500.0,2009,1,2006.0,1-State DOT,1,,58-6580-2372-,,58-22973-460101,2009,1500,460101.0,Wisconsin,58-22973-460101,4,1500.0,0.0,0.0,0.0
280,,2005.0,2006,12.0,3.0,WI,No Tolls on 1+ lane,1750.0,2006,1,2005.0,1-State DOT,1,,58-6582-2006-,,58-22977-480368,2006,1900,480368.0,Wisconsin,58-22977-480368,4,1750.0,-150.0,-8.571428571,8.571428571
281,,2005.0,2006,12.0,3.0,WI,No Tolls on 1+ lane,2050.0,2006,1,2005.0,1-State DOT,1,,58-6583-2006-,,58-22979-480245,2006,1900,480245.0,Wisconsin,58-22979-480245,4,2050.0,150.0,7.3170731710000005,7.3170731710000005
288,,2010.0,3317,12.0,3.0,WI,No Tolls on 1+ lane,2300.0,2011,1,2010.0,1-State DOT,4,,58-6590-3317-,,58-22993-490880,2011,1300,490880.0,Wisconsin,58-22993-490880,5,2300.0,1000.0,43.47826087,43.47826087
301,,2010.0,3456,12.0,3.0,WI,No Tolls on 1+ lane,2700.0,2010,1,2010.0,1-State DOT,4,,58-6603-3456-,,58-23019-531527,2010,2200,531527.0,Wisconsin,58-23019-531527,3,2700.0,500.0,18.51851852,18.51851852
303,,2010.0,3456,12.0,3.0,WI,No Tolls on 1+ lane,1850.0,2010,1,2010.0,1-State DOT,4,,58-6605-3456-,,58-23023-530313,2010,1600,530313.0,Wisconsin,58-23023-530313,4,1850.0,250.0,13.51351351,13.51351351
306,,2010.0,3456,12.0,3.0,WI,No Tolls on 1+ lane,2100.0,2010,1,2010.0,1-State DOT,4,,58-6608-3456-,,58-23029-531534,2010,2100,531534.0,Wisconsin,58-23029-531534,4,2100.0,0.0,0.0,0.0
311,,2009.0,3209,12.0,3.0,WI,No Tolls on 1+ lane,1450.0,2010,1,2009.0,1-State DOT,4,,58-6613-3209-,,58-23039-531300,2010,1000,531300.0,Wisconsin,58-23039-531300,4,1450.0,450.0,31.03448276,31.03448276
314,,2009.0,3200,12.0,3.0,WI,No Tolls on 1+ lane,470.0,2010,1,2009.0,1-State DOT,4,,58-6616-3200-,,58-23045-531550,2010,260,531550.0,Wisconsin,58-23045-531550,6,470.0,210.0,44.68085106,44.68085106
316,,2009.0,3209,12.0,3.0,WI,No Tolls on 1+ lane,1050.0,2010,1,2009.0,1-State DOT,4,,58-6618-3209-,,58-23049-530273,2010,1050,530273.0,Wisconsin,58-23049-530273,5,1050.0,0.0,0.0,0.0
323,,2006.0,2252,12.0,1.0,WI,No Tolls on 1+ lane,2300.0,2008,1,2006.0,1-State DOT,1,,58-6625-2252-,,58-23063-540180,2008,2000,540180.0,Wisconsin,58-23063-540180,3,2300.0,300.0,13.04347826,13.04347826
331,,2006.0,2197,12.0,3.0,WI,No Tolls on 1+ lane,1500.0,2008,1,2006.0,1-State DOT,1,,58-6633-2197-,,58-23079-560189,2008,1200,560189.0,Wisconsin,58-23079-560189,4,1500.0,300.0,20.0,20.0
335,,2010.0,3331,12.0,3.0,WI,No Tolls on 1+ lane,430.0,2011,1,2010.0,1-State DOT,1,,58-6637-3331-,,58-23087-560330,2011,450,560330.0,Wisconsin,58-23087-560330,5,430.0,-20.0,-4.651162791,4.651162791
337,,2006.0,2253,12.0,3.0,WI,No Tolls on 1+ lane,1350.0,2008,1,2006.0,1-State DOT,1,,58-6639-2253-,,58-23091-570208,2008,1300,570208.0,Wisconsin,58-23091-570208,4,1350.0,50.0,3.7037037039999996,3.7037037039999996
346,,2010.0,3512,12.0,3.0,WI,No Tolls on 1+ lane,2070.0,2011,1,2010.0,1-State DOT,4,,58-6648-3512-,,58-23109-590487,2011,1900,590487.0,Wisconsin,58-23109-590487,4,2070.0,170.0,8.212560386,8.212560386
349,,2009.0,3055,12.0,3.0,WI,No Tolls on 1+ lane,1500.0,2011,1,2009.0,1-State DOT,4,,58-6651-3055-,,58-23115-591207,2011,1200,591207.0,Wisconsin,58-23115-591207,8,1500.0,300.0,20.0,20.0
351,,2009.0,3055,12.0,3.0,WI,No Tolls on 1+ lane,2100.0,2011,1,2009.0,1-State DOT,4,,58-6653-3055-,,58-23119-591210,2011,1800,591210.0,Wisconsin,58-23119-591210,8,2100.0,300.0,14.28571429,14.28571429
352,,2009.0,3055,12.0,3.0,WI,No Tolls on 1+ lane,1500.0,2011,1,2009.0,1-State DOT,4,,58-6654-3055-,,58-23121-591206,2011,1300,591206.0,Wisconsin,58-23121-591206,8,1500.0,200.0,13.33333333,13.33333333
354,,2009.0,3055,12.0,3.0,WI,No Tolls on 1+ lane,1850.0,2011,1,2009.0,1-State DOT,4,,58-6656-3055-,,58-23125-591211,2011,1700,591211.0,Wisconsin,58-23125-591211,8,1850.0,150.0,8.108108108,8.108108108
355,,2009.0,3055,12.0,3.0,WI,No Tolls on 1+ lane,650.0,2011,1,2009.0,1-State DOT,4,,58-6657-3055-,,58-23127-591209,2011,590,591209.0,Wisconsin,58-23127-591209,8,650.0,60.0,9.230769231,9.230769231
356,,2009.0,3055,12.0,3.0,WI,No Tolls on 1+ lane,650.0,2011,1,2009.0,1-State DOT,4,,58-6658-3055-,,58-23129-591212,2011,630,591212.0,Wisconsin,58-23129-591212,8,650.0,20.0,3.076923077,3.076923077
357,,2009.0,3055,12.0,3.0,WI,No Tolls on 1+ lane,750.0,2011,1,2009.0,1-State DOT,4,,58-6659-3055-,,58-23131-591205,2011,770,591205.0,Wisconsin,58-23131-591205,8,750.0,-20.0,-2.666666667,2.666666667
359,,2009.0,3055,12.0,3.0,WI,No Tolls on 1+ lane,800.0,2011,1,2009.0,1-State DOT,4,,58-6661-3055-,,58-23135-591208,2011,790,591208.0,Wisconsin,58-23135-591208,8,800.0,10.0,1.25,1.25
368,,2007.0,2396,12.0,3.0,WI,No Tolls on 1+ lane,2100.0,2009,1,2007.0,1-State DOT,1,,58-6670-2396-,,58-23153-550399,2009,1650,550399.0,Wisconsin,58-23153-550399,5,2100.0,450.0,21.42857143,21.42857143
375,,2006.0,2209,12.0,3.0,WI,No Tolls on 1+ lane,560.0,2009,1,2006.0,1-State DOT,1,,58-6677-2209-,,58-23167-610191,2009,330,610191.0,Wisconsin,58-23167-610191,6,560.0,230.0,41.07142857,41.07142857
378,,2006.0,2209,12.0,3.0,WI,No Tolls on 1+ lane,450.0,2009,1,2006.0,1-State DOT,1,,58-6680-2209-,,58-23173-610429,2009,440,610429.0,Wisconsin,58-23173-610429,6,450.0,10.0,2.222222222,2.222222222
379,,2010.0,3385,12.0,3.0,WI,No Tolls on 1+ lane,540.0,2010,1,2010.0,1-State DOT,1,,58-6681-3385-,,58-23175-650157,2010,670,650157.0,Wisconsin,58-23175-650157,5,540.0,-130.0,-24.07407407,24.07407407
380,,2010.0,3385,12.0,3.0,WI,No Tolls on 1+ lane,720.0,2010,1,2010.0,1-State DOT,1,,58-6682-3385-,,58-23177-650155,2010,630,650155.0,Wisconsin,58-23177-650155,5,720.0,90.0,12.5,12.5
383,,2008.0,2698,12.0,3.0,WI,No Tolls on 1+ lane,750.0,2009,1,2008.0,1-State DOT,1,,58-6685-2698-,,58-23183-690275,2009,510,690275.0,Wisconsin,58-23183-690275,6,750.0,240.0,32.0,32.0
423,,2007.0,1745,12.0,3.0,WI,No Tolls on 1+ lane,2350.0,2009,1,2007.0,1-State DOT,1,,58-6261-1745-,,58-22335-670516,2009,2000,670516.0,Wisconsin,58-22335-670516,4,2350.0,350.0,14.89361702,14.89361702
442,,2007.0,1745,12.0,3.0,WI,No Tolls on 1+ lane,1150.0,2009,1,2007.0,1-State DOT,1,,58-6280-1745-,,58-22373-672157,2009,840,672157.0,Wisconsin,58-22373-672157,6,1150.0,310.0,26.95652174,26.95652174
444,,2007.0,1745,12.0,3.0,WI,No Tolls on 1+ lane,1550.0,2009,1,2007.0,1-State DOT,1,,58-6282-1745-,,58-22377-672173,2009,1400,672173.0,Wisconsin,58-22377-672173,5,1550.0,150.0,9.677419355,9.677419355
445,,2007.0,1745,12.0,3.0,WI,No Tolls on 1+ lane,1150.0,2009,1,2007.0,1-State DOT,1,,58-6283-1745-,,58-22379-672579,2009,1100,672579.0,Wisconsin,58-22379-672579,6,1150.0,50.0,4.347826087,4.347826087
447,,2007.0,1745,12.0,3.0,WI,No Tolls on 1+ lane,1450.0,2009,1,2007.0,1-State DOT,1,,58-6285-1745-,,58-22383-672773,2009,1200,672773.0,Wisconsin,58-22383-672773,5,1450.0,250.0,17.24137931,17.24137931
786,TH 13 - TH 35E Interchange Area,1980.0,TA-M245,12.0,4.0,MN,No Tolls on 1+ lane,1200.0,2003,1,1980.0,1-State DOT,1,", , , TH 13Between TH 35E RampsEB",28-7057-TA-M245-TH 13 - TH 35E Interchange Area,,28-23340-,2003,3450,,Minnesota,28-23340-,8,1200.0,-2250.0,-187.5,187.5
787,TH 13 - TH 35E Interchange Area,1980.0,TA-M245,12.0,4.0,MN,No Tolls on 1+ lane,1200.0,2003,1,1980.0,1-State DOT,1,", , , WB",28-7058-TA-M245-TH 13 - TH 35E Interchange Area,,28-23340-,2003,3450,,Minnesota,28-23340-,8,1200.0,-2250.0,-187.5,187.5
840,TH 51 at TH 212,1978.0,SPAR-220,12.0,4.0,MN,No Tolls on 1+ lane,2040.0,2002,1,1978.0,1-State DOT,1,", , , MarshallBetween SnellingEB",28-7115-SPAR-220-TH 51 at TH 212,,28-23366-,2002,5750,,Minnesota,28-23366-,8,2040.0,-3710.0,-181.86274509999998,181.86274509999998
841,TH 51 at TH 212,1978.0,SPAR-220,12.0,4.0,MN,No Tolls on 1+ lane,2040.0,2002,1,1978.0,1-State DOT,1,", , , WB",28-7116-SPAR-220-TH 51 at TH 212,,28-23366-,2002,5750,,Minnesota,28-23366-,8,2040.0,-3710.0,-181.86274509999998,181.86274509999998
1256,Year 2000 forecast in the vicinity of 3rd Ave,1982.0,TA-M253 Distributor Addendum,12.0,4.0,MN,No Tolls on 1+ lane,2150.0,2000,1,1982.0,1-State DOT,1,", , , 3rd Ave NEast of Parking",28-7535-TA-M253 Distributor Addendum-Year 2000 forecast in the vicinity of 3rd Ave,,28-23527-,2000,6100,,Minnesota,28-23527-,8,2150.0,-3950.0,-183.7209302,183.7209302
1331,TH 56 From TH 52/55 To I-494,1984.0,TA-M311,12.0,4.0,MN,No Tolls on 1+ lane,2500.0,2000,1,1984.0,1-State DOT,1,", , , TH 56Between Of I-494NB",28-7610-TA-M311-TH 56 From TH 52/55 To I-494,,28-23559-,2000,5600,,Minnesota,28-23559-,8,2500.0,-3100.0,-124.0,124.0
1332,TH 56 From TH 52/55 To I-494,1984.0,TA-M311,12.0,4.0,MN,No Tolls on 1+ lane,2500.0,2000,1,1984.0,1-State DOT,1,", , , SB",28-7611-TA-M311-TH 56 From TH 52/55 To I-494,,28-23559-,2000,5600,,Minnesota,28-23559-,8,2500.0,-3100.0,-124.0,124.0
1365,Washington County Forecasts For Selected Routes,1985.0,TA-M326,12.0,4.0,MN,No Tolls on 1+ lane,2500.0,2000,1,1985.0,1-State DOT,1,", , , Broadway Street (Near Forest Lake)232nd St. NEverton Ave.EB",28-7644-TA-M326-Washington County Forecasts For Selected Routes,,28-23572-,2000,4100,,Minnesota,28-23572-,8,2500.0,-1600.0,-64.0,64.0
1366,Washington County Forecasts For Selected Routes,1985.0,TA-M326,12.0,4.0,MN,No Tolls on 1+ lane,2500.0,2000,1,1985.0,1-State DOT,1,", , , WB",28-7645-TA-M326-Washington County Forecasts For Selected Routes,,28-23573-,2000,4100,,Minnesota,28-23573-,8,2500.0,-1600.0,-64.0,64.0
1369,Washington County Forecasts For Selected Routes,1985.0,TA-M326,12.0,4.0,MN,No Tolls on 1+ lane,2000.0,2000,1,1985.0,1-State DOT,1,", , , CSAH 4  (170th Street North)TH 61Henna Ave. N.EB",28-7648-TA-M326-Washington County Forecasts For Selected Routes,,28-23576-,2000,1725,,Minnesota,28-23576-,8,2000.0,275.0,13.75,13.75
