StationID,2002,2003,2004,2005
30178,33500,31500,33000,34000
30182,2050,1900,2600,2800
30183,7400,8000,9500,12800
30188,19300,19600,,
30189,23000,25500,26500,25000
30190,43500,45000,52000,53000
30191,54616,58335,61378,60821
30192,47000,47500,52000,53000
30193,21500,22500,24000,25000
30194,11600,10400,12100,11000
30195,30500,30000,32000,32000
30200,9700,9200,10000,11000
30205,8300,8600,8500,8800
30210,15700,15800,,
30211,16300,17700,,
30270,3056,2915,2951,2828
30351,18351,19230,20461,21563
32000,32000,35500,41000,37000
32002,65500,75000,85000,78500
35001,32500,31500,34500,35500
35007,38000,36000,37500,36500
35011,48500,47000,47500,47000
35021,,,9800,
35022,,,10400,
35029,41000,41000,42000,40500
37001,,,,1000
37002,,,,1000
37003,,,,500
37004,,,,400
37011,,,,2800
37012,,,,3100
37013,,,,11500
37014,,,,12500
37021,,,,3200
37022,,,,3300
37023,,,,17000
37024,,,,17000
37031,,,,5400
37032,,,,4900
37033,,,,14000
37034,,,,13500
40002,6800,6000,6600,6400
40003,8100,6600,8500,8600
40006,5400,5800,5300,5900
40007,8500,9000,10000,9800
40010,7500,6000,8100,8100
40011,8400,9900,11600,13800
40012,4700,4600,5000,4500
40013,5200,4400,4700,4900
40016,4300,,,
40017,6500,6000,6700,6500
40018,11700,9600,11000,10700
40021,14100,16200,18800,18400
40022,14400,12200,12800,13500
40026,6400,6800,6000,5700
40031,3800,3800,4800,3900
40068,3737,3900,4009,3885
40070,3300,3500,3700,2600
40145,6591,6403,6700,7000
40271,5550,5476,5809,5799
41000,6500,6500,8000,7700
45000,,,12000,13400
45001,10400,5800,8900,8100
45002,5800,6100,6700,7200
45003,6700,6700,7100,7800
45007,5600,6000,7300,7700
45008,5600,6100,7600,7800
45009,8200,8600,8400,8500
45010,8100,8100,10000,7600
45011,14500,15000,16000,10500
45012,8500,9100,11000,8600
45013,6300,5500,6500,6500
45014,6600,6100,7500,7300
45019,10000,9900,10500,12500
45020,9200,8400,9900,11500
45031,5900,5800,7200,7000
50002,5900,5700,7900,6700
50003,10100,7500,8200,8100
50004,12800,10200,12700,10700
50007,6600,7200,9000,9400
50008,2500,3000,4100,3200
50011,2500,3000,4100,3400
50014,4400,4600,3200,2800
50272,2829,3051,3228,3323
51000,4500,5100,5700,6000
51001,3300,3600,4900,3900
60003,12800,11700,13400,14000
60006,4500,3500,3800,3800
60008,3300,2600,3100,3000
60010,4600,3200,4200,4000
60011,4000,3200,4000,4100
60012,3200,2800,3200,3200
60013,6800,5900,7500,6700
60014,8300,6200,7500,6700
60016,16900,14800,18600,17000
60017,5000,4000,4800,4800
60019,11800,11100,10900,13000
60021,6000,6400,5700,5700
60022,6900,5900,7300,6800
60024,15500,13300,17300,14900
65004,18800,16000,17600,18300
65005,22500,16000,18700,19100
65007,12500,13300,14500,13300
65008,6500,6500,8000,7900
65009,5300,4300,5000,5800
65010,5700,4700,6000,5100
70001,5500,5700,6100,7000
70002,11700,12600,13800,14900
70004,17500,18000,23000,18800
70006,17800,14800,15100,16400
70008,5400,5500,6300,5800
70011,18800,15500,15600,17600
70013,8700,9300,9600,11000
70015,18500,18300,18700,18400
70018,9100,10200,13100,11800
70019,11100,11300,13000,14200
70021,14900,13400,15400,15800
70022,9200,10400,11000,11400
70023,7800,8400,8800,8800
70024,4600,4800,5800,4800
70025,4000,4700,5600,4800
70039,10978,11500,11682,14130
71000,9600,12000,15200,14700
75000,9500,9000,9800,11400
75002,16600,16600,16900,19300
75003,13100,11700,13300,15800
75005,7600,8000,8500,8700
75008,21500,22000,26500,25500
75013,,,15400,16400
79918,14618,15028,15802,16246
80002,17900,22000,22000,22000
80005,,9000,9400,11500
80007,25000,26000,35000,31000
80008,6100,5900,6300,6000
80010,7800,7300,8700,7200
80011,5400,5500,6100,5700
80012,8400,9400,9600,11400
80013,5200,5800,5800,5800
80014,29000,30000,33500,31500
80015,19000,19400,21000,23500
80017,,22500,25500,26000
80018,18100,15600,21000,21000
80019,20500,20000,20000,25000
80020,16600,13700,14300,13600
80023,6000,6400,6600,6600
80024,6500,6700,8200,9000
80025,,8300,12600,18800
80026,11000,12300,12000,12600
80027,7300,7500,7100,7500
80031,10300,11200,11400,12800
80032,4200,4000,4000,3800
80033,,4600,4600,4500
80036,32000,33000,39000,41500
80037,38500,42000,38500,34500
80039,14600,14000,17300,16900
80040,19800,20900,23500,24500
80041,,16100,15200,19700
80042,15400,17200,17000,21000
80044,,28500,29500,33000
80045,18400,17200,15900,15000
80046,18800,18000,30500,25000
80047,20400,21000,25000,24000
80048,,29500,46500,35500
80049,,34000,64500,40000
80283,19181,19495,20747,21336
80294,8923,9478,9763,10014
81000,,9000,9100,7600
85005,11200,10700,10900,10400
85008,,9000,7500,9600
85009,,11500,11200,10000
85012,6800,7300,12500,8500
85013,,10500,8100,8300
85015,14200,14400,13000,11500
85016,10500,9500,9400,10500
85017,12900,11500,13400,11900
85018,,10400,10600,10100
85100,12500,13600,15100,15000
85101,14100,15800,16200,19000
85102,,20000,20000,23000
85104,,41500,43000,43000
85300,32000,33000,37500,36500
85303,5900,6400,7600,7500
85305,3200,3400,3600,3400
85306,8700,8900,9100,9300
85307,3700,3600,3900,3700
85308,4600,5100,5200,6700
85310,37000,37000,43500,44500
85311,8800,8600,13000,10000
85500,,7000,7300,6900
90001,20500,22000,22500,24000
90002,4400,4600,5800,3900
90003,4200,4100,5200,4600
90005,10100,9600,12400,11000
90006,18100,19900,26500,20500
90012,8100,7000,8500,8600
90015,11300,9300,11200,11300
90016,9300,9900,12200,8500
90017,28500,26500,32000,33000
90018,5500,5100,6200,6600
90020,4000,4100,5100,4000
90021,,22000,26500,23500
90022,22500,23000,29000,23000
90025,3400,3100,3900,3900
90026,28000,32500,39000,36500
90029,4300,3300,4300,3700
90030,6900,5300,6500,5600
90031,18700,21000,25000,24000
90032,11800,11900,14600,12700
90050,,,7800,8500
90229,4554,4666,5258,5573
90327,7619,7735,8405,8696
95000,7200,5800,7400,6900
95002,6800,5700,7200,5900
95006,12800,12800,15100,13000
95007,23000,26500,29500,29500
95009,18200,15600,19000,16600
95010,17100,14200,17200,16400
95012,9300,9600,7500,6700
95013,7900,7300,8900,5400
95014,10300,9900,11300,9500
95016,41500,41000,42000,46000
95018,8700,9800,11300,10700
95020,36500,43000,48500,44500
95022,34000,34000,39000,42500
95023,26000,28500,32500,33500
100001,42000,33000,35000,36000
100002,20600,20700,22500,23000
100003,25000,23500,24000,22500
100004,27500,27000,30500,31500
100005,17800,16200,15200,16700
100006,13700,13100,16500,17500
100007,10900,12200,,
100008,,21500,22500,30000
100010,31000,30500,31500,34000
100011,10600,11200,13600,13200
100012,,31000,30500,29000
100017,3800,4300,,
100020,57500,57500,41500,46000
100021,50500,52500,55000,36500
100022,,28000,29000,26000
100023,1900,2200,1600,1850
100024,,45000,48500,50500
100026,,12800,13200,14500
100027,53000,54000,49000,55000
100028,29500,29500,32500,35500
100029,32500,36500,28500,30500
100030,22000,21000,22000,22000
100033,22500,23500,24500,27000
100034,6300,5900,6000,6700
100036,12500,11400,12200,12700
100037,8400,8700,8900,9900
100038,39500,42500,39500,45500
100040,35500,35000,36000,34500
100041,16600,16600,17400,17300
100044,52500,,,35000
100046,21000,22000,22500,22000
100047,,56000,53500,51500
100048,58000,60000,73500,66500
100050,9800,9600,11100,11500
100051,21000,20800,21500,24500
100053,8400,8000,9000,8800
100054,,11800,13300,13700
100058,35000,34500,31500,34500
100059,28500,23000,24000,31500
100060,17300,16200,16600,25000
100062,28500,27500,28500,28500
100063,19400,21000,18200,16500
100066,,14100,14800,15000
100068,21500,24500,25000,24000
100072,16000,15000,15100,16000
100080,12358,12466,12835,13151
100084,82000,86000,87500,104500
100085,3100,3600,3700,3900
100086,89500,93500,93500,93500
100087,103500,108500,92500,98000
100088,,,,99500
100089,102500,,,117500
100091,,,,129000
100100,21500,23000,23000,23500
100103,85500,89500,82500,100000
100104,82500,86500,101500,94500
100106,99529,104767,107483,113000
100109,42000,43500,47500,52500
100110,124755,124647,130826,91500
100112,127500,133500,114000,105000
100113,25500,28000,30500,36500
100114,31500,33500,32000,36000
100115,33500,35000,34000,32500
100118,51500,56000,45000,45500
100123,132831,133417,134277,139000
100124,25500,24500,22500,27000
100131,17100,18300,17800,18400
100133,12800,11700,11200,12600
100134,13700,15100,,
100139,11700,,,
100140,12600,13100,14000,14900
100141,20500,24000,24000,25500
100142,28000,30500,25500,33500
100143,64000,67000,71500,54500
100144,64000,67500,72000,62000
100145,,,,100500
100146,83000,87000,93000,111000
100147,62000,,,82000
100148,67000,70500,89500,85000
100149,128000,,,134000
100150,88500,93500,123000,108000
100151,66000,,,121000
100152,90500,95500,118000,102500
100153,54500,55500,86000,82000
100154,46500,48500,67000,63000
100156,45500,47500,53500,55000
100157,,25500,24000,25000
100158,,12000,7600,8800
100159,,12000,14000,13500
100160,,21000,6100,13500
100162,33848,34562,33664,33239
100192,,,7700,8100
100194,103845,109421,113377,116803
100224,51243,54592,59486,62954
100276,5372,5578,5751,6021
100321,54780,55771,56278,58065
102001,32000,36000,37000,40000
102002,61000,69500,,
102003,82500,93500,,
102004,109500,124500,,
102005,106000,120500,143000,150000
102006,134000,152000,152000,159000
102007,135500,153500,152500,159500
102008,140500,159500,132500,138500
102009,132000,150000,126500,132500
102010,134500,,,
102012,105000,,,
102015,144000,163500,168500,172000
102016,148500,157500,174000,182000
102017,166500,187500,193500,203000
102018,150000,170500,157500,147500
102019,151000,171500,155500,157500
102020,115500,131000,139500,132000
102021,120000,,,115000
102022,132000,149500,131500,122500
102023,87000,91000,101500,101500
102024,94000,98500,116000,102000
102025,,,,88000
102026,98500,103000,104500,104500
102027,118500,124000,122500,110500
102028,118500,124500,131500,114000
103047,,33000,35000,36500
103048,39500,42500,40000,41000
103054,34500,34000,33500,34000
105005,12200,10800,10800,10100
105006,12400,10400,9700,12300
105008,13900,13900,13900,14400
105011,8700,9500,9100,8700
105013,9800,8900,9100,9800
105014,13500,13500,13500,14500
105015,13000,12500,12000,13000
105016,5900,5800,5900,6300
105017,8300,8100,7500,8500
105019,8200,8300,8400,8300
105021,4800,4450,4550,4850
105022,10500,9100,9400,9800
105029,12400,13600,12100,11400
105038,18700,21500,21500,22500
105042,7500,7300,7400,7700
105048,38000,35500,34000,39500
105049,33500,35500,,
105050,,31500,32500,36500
105051,35500,34500,33500,34500
105052,39500,38000,32000,40000
105055,52500,55500,52500,59000
105056,67000,69000,61000,66000
105058,73000,74500,72500,72000
105061,31000,28500,29000,31000
105063,22500,24000,29000,28000
105064,28500,29500,30500,29500
105065,22500,21000,22000,25500
105067,19600,19400,20200,22500
105068,16500,15900,16300,19700
105073,,7600,5900,12900
105074,9900,10100,8400,7300
105077,17100,17700,16400,18300
105078,17600,17800,16300,15500
105081,,25500,19300,22000
105082,28000,27000,25500,26500
105083,,25500,23000,27500
105086,,27500,24500,24000
105088,24500,24000,23000,24500
105090,19700,19200,19600,30500
105095,11500,11900,12300,12500
105099,26500,26000,26500,26000
105101,,24500,25500,19500
105102,18500,19100,17200,20500
105103,,,,20500
105104,36500,34500,36500,31000
105107,41500,37000,41500,43000
105108,8200,8500,8700,10000
105109,8900,8500,9700,5300
105110,15100,15300,16600,17600
105123,37000,35000,,
105124,35000,32500,35000,40000
105126,27000,28000,29000,36500
105128,,,24500,25500
105129,31000,29000,30000,32500
105131,13400,13600,15600,16200
105136,30500,33000,32500,30000
105138,,35500,29000,36000
105139,36000,37000,29500,36500
105140,,38000,38500,40000
105141,,37000,41000,41500
105143,143000,144000,139000,140000
105144,176500,182500,87000,96500
105145,73500,74500,69000,69500
105147,44000,42500,43000,46500
105151,,8500,9700,9900
105152,19000,18700,18900,19900
105158,,43000,38500,40000
105159,,44000,42000,44500
105160,,54500,63500,62500
105161,50000,52000,62500,65000
105162,48000,39500,49500,52500
105163,43000,44500,47500,57500
105164,46500,48500,47000,50000
105165,52500,53500,55000,60500
105167,51500,51000,52000,54000
105169,52000,50500,49000,49500
105171,56500,62500,,
105179,29000,25500,25000,19600
105180,21300,20000,19600,21800
105182,17800,16000,16400,18100
105184,55500,49000,51500,44000
105188,27000,28500,26500,27500
105189,,32500,32500,31500
105190,48000,46500,44500,50000
105191,50000,48000,47500,49000
105193,49000,48500,48000,50500
105196,,41500,42500,44500
105204,56000,54000,57500,62000
105206,71000,70500,81500,79000
105207,69000,72000,64000,73000
105210,46500,53500,43000,53000
105211,,48500,57500,53000
105212,64000,63500,66000,57500
105214,47500,54500,55000,56500
105215,24500,23500,24000,25500
105219,43500,43000,39000,47500
105220,35500,37500,37000,41000
105223,,32000,33000,30000
105225,33500,33000,30500,36000
105226,37500,40000,40000,40500
105227,35500,36000,34000,35000
105228,,24500,25500,24000
105229,,25000,27500,23000
105230,40000,37000,40000,40000
105237,27000,26500,25000,25500
105238,78000,78500,71500,74000
105239,46000,45500,44000,45000
105243,20300,,,
105244,24000,25000,26000,27000
105245,24000,25000,26000,27000
105246,27500,28500,29500,31000
105248,29000,30000,31000,33000
105249,30000,31000,32000,34000
105250,31500,,,
105251,43000,48500,44000,46000
105252,45000,44000,43000,45000
105253,75500,76000,75000,85000
105254,64500,64500,69500,68000
105255,,65000,69000,73500
105256,41500,42000,46500,44000
105258,21000,18300,21500,23500
105259,33500,36000,37000,34500
105260,35000,38000,39000,37000
105261,10500,9600,9800,10900
105262,12500,12000,12400,14000
105263,,40500,41500,23000
105264,51000,53000,54000,56000
105265,44000,45500,46500,49000
105266,46000,48000,49000,51000
105267,39500,40500,41500,22000
105269,31500,33000,31500,33500
105270,28500,30000,29000,31500
105271,22000,22000,24000,25500
105273,22500,23000,23500,24500
105275,33500,34500,35500,38000
105276,40000,41000,42000,45000
105277,58000,60000,62000,65000
105279,23500,29500,30500,28000
105281,23500,24500,22000,25000
105283,23000,24500,23500,26000
105285,,17700,20900,21000
105289,10500,10000,10000,9800
105290,9700,8400,8500,8600
105291,10500,10500,11000,11500
105292,7500,7400,7600,7700
105294,8800,9300,9600,10500
105295,19500,19500,20000,20500
105296,8600,9300,9600,10500
105297,,6000,20000,25000
105298,14000,13000,13500,14500
105299,13500,11500,12000,15000
105300,14500,13000,16000,15000
105301,12000,10500,11000,12500
105302,,12500,11000,15500
105305,15500,16000,,18000
105307,5300,,,3900
105308,5100,5700,5600,5800
105309,9900,9400,,
105310,8300,9300,8300,5700
105311,14000,14500,11500,10500
105312,14500,15500,13500,13500
105313,,9500,6700,9100
105314,15500,17000,15000,17500
105315,,10000,10500,9800
105316,16000,15500,16500,16000
105317,,9100,9400,11500
105320,44500,,,
105321,25000,26000,27000,28000
105322,,32000,33000,34500
105323,30500,,42000,36500
105324,,38500,39500,38000
105325,34000,35000,,
105326,37500,34000,35000,39500
105327,33000,34500,35500,39000
105329,,9700,,12000
105330,,11000,11500,13000
105333,11000,11500,11500,12000
105334,7500,7800,8500,8900
105335,,9800,10000,10500
105341,19500,18400,14900,17200
105345,2600,,,
105346,16000,14700,18100,18900
105347,,12000,12700,13000
105349,46500,51500,51000,55500
105350,18700,17200,19500,20000
105351,,70500,64000,66000
105352,201500,228000,,
105353,114000,119000,,128500
105354,44500,46000,38500,49000
105355,39000,39000,40000,39500
105356,25500,28500,27500,31000
105360,43500,45000,40000,44000
105361,79500,72500,72500,79000
105362,18700,21500,22500,22000
105370,62000,69000,65000,68000
105500,,30500,35000,35500
105501,42500,46500,46500,44500
105506,10000,9400,10900,11600
105507,46000,47000,46500,51500
105508,17500,18100,18400,19100
105600,8000,7500,8900,9000
105601,51500,54000,,83000
105602,1650,1650,1700,1700
105603,9300,9100,8900,10500
105604,9500,8900,8600,9800
105606,84000,87000,96000,82000
105607,37000,39500,35500,40500
105608,23000,25500,27500,22500
105609,155500,176500,154000,161500
105610,12400,11300,12200,13500
105612,15400,16500,23000,24000
105615,,,32000,33000
105616,,29500,23500,24000
105617,,,42000,39500
106000,,40500,57000,42500
106001,,9500,9300,9300
106002,,18000,5300,18000
106003,,11500,6200,6800
106004,,18500,19000,19500
106005,,14300,13300,15000
106006,,32500,32000,37500
106007,,,17800,18500
106008,,,34500,35500
106009,,25500,27000,27000
106011,,,36000,38500
106012,,,8900,9500
106013,,,25000,26500
106014,,,18000,20800
106015,,,24000,22500
106016,,,19200,20500
106017,,,12800,13200
106018,,,,5000
106019,,,17400,22000
106020,,,66500,74500
108000,,,,6800
108001,,,,19300
108002,,,,9700
108003,,,,1600
108004,,,,15200
108005,,,,4700
108006,,,,12500
108007,,,,1400
109922,66000,74099,78282,81298
109926,111743,121466,126547,132037
110001,,13500,14400,14700
110002,,,,31000
110005,,,17100,17900
110006,,,12400,13300
110008,20600,17800,19200,27000
110010,6800,6500,6900,7700
110011,,,28500,30500
110012,,,29000,33500
110045,7000,7000,7700,7900
110049,27000,26500,27500,29500
110050,9100,9200,8400,8800
110067,34000,33000,,
110070,44500,45500,45500,47000
110095,5800,5200,7100,7500
110097,6700,7000,8600,9800
110109,50000,51000,50500,48500
110128,38500,36500,37500,39000
110136,8239,8969,9167,9429
110163,18100,28000,31500,30000
110177,37095,34574,34639,36000
110180,39500,38500,40000,36500
110208,15000,15500,15500,16000
110241,19600,23500,21500,24000
110246,10421,10955,11287,12021
110255,9500,7800,8000,8800
110262,9230,9362,9384,9597
110297,6100,5500,5800,5900
110300,41500,45000,50000,56000
110310,31500,31500,36500,42500
110311,20200,22500,28500,31000
110319,13100,13600,15000,15600
110361,21500,21000,,
110362,22000,23500,24000,25000
110363,16600,16800,18800,23500
110364,,21500,24000,23500
110365,3200,3300,3300,3700
110367,12500,11500,,
110376,5200,5700,6400,7600
110390,39000,46000,45500,40500
110396,19600,22000,24000,26000
110414,44000,37500,40000,42000
110421,20800,20700,20500,20300
110423,27500,28500,30000,30500
110425,30000,35500,36500,34500
110426,21000,22000,24000,25000
110430,32000,30500,31000,30000
110431,36500,37000,37500,35500
110468,23500,25500,28000,31500
110470,37000,36000,40500,52000
110475,34500,34000,37000,40000
110487,13500,13000,14000,15700
110492,32500,33000,34000,32000
110493,14500,15500,,
110494,12100,12500,13000,13800
110495,8800,7600,8100,8800
110496,18100,17200,18100,18700
110497,4700,5600,5000,7000
110498,3800,3600,4800,5800
110499,30500,32000,32500,34500
110500,8500,8300,9100,10100
110501,9200,9300,9300,9900
110502,5300,4200,4600,5000
110503,7800,6500,6800,7500
110504,31500,26500,24500,25000
110505,16500,15800,13900,14600
111000,4900,5500,6200,7200
111002,4500,4700,5200,5300
111012,24500,24500,24500,25000
111015,14000,15000,,
111017,16800,16400,17600,17100
111018,14000,14500,,
111019,13200,13000,14500,15700
111020,12000,11500,,
111021,35000,33500,33500,35500
115013,28000,28500,30500,28000
115018,14500,16000,,
115027,12200,12900,,
115030,7300,7400,,
115035,17300,18100,18500,18900
115036,15000,13900,14200,14100
115047,24000,22500,26000,26500
115050,33500,33500,35500,35000
115052,30000,34500,,
115055,29500,32500,,
115057,25000,27500,28500,29500
115072,7700,8500,9200,9500
115074,10500,10500,11500,12000
115076,9700,12000,13000,14500
115077,11500,12000,13000,14500
115079,5300,5300,,
115081,24000,23500,,
115092,40000,41500,43000,44500
115093,30500,31500,33000,35000
115096,32500,32500,34000,33500
115097,25500,27500,26000,25500
115098,12500,9100,9400,9700
115116,37000,36000,38000,37000
115117,24500,24000,,
115119,27000,26000,27000,26500
115120,30500,28500,29500,28500
115124,28000,28000,,
115125,11800,11200,14200,15200
115134,21500,21000,22500,
115142,16500,19100,18600,19600
115143,21000,20300,24500,25000
115147,18000,17600,19700,19100
115150,10400,10900,,
115152,26000,26000,,
115176,16000,17000,16500,17000
115178,34500,35500,35000,34000
115179,21500,22500,25500,25500
115180,10000,10500,11500,12500
115181,11500,12000,,
115182,10500,12500,,
115183,16100,14700,15000,15500
120003,27500,33000,28500,32000
120004,22500,26500,27000,25500
120005,19800,18800,27000,32000
120006,14900,14000,16300,17500
120008,32000,36500,37500,35000
120010,24000,26000,27000,23500
120012,16500,17100,19200,21500
120017,28000,27500,26500,30500
120019,32500,32500,35500,38000
120020,14600,17900,17700,14700
120021,13500,14500,21500,21000
120022,11400,10700,12200,12600
120023,8600,10500,6700,9500
120025,61000,67000,70000,70500
120030,8200,9400,9800,10500
120031,46500,48500,51000,52000
120034,42000,42000,50000,46000
120036,20500,21500,25000,23500
120037,45000,46000,46500,48500
120038,27000,30000,33500,37500
120041,50000,50500,53500,57500
120042,37500,38000,45500,49500
120048,,,34000,58500
120049,48000,51500,54000,44000
120050,48000,58000,58000,67500
120054,65500,60000,63000,82500
120055,65500,64500,67500,76000
120056,69500,78000,82000,86000
120057,63000,63500,66500,75000
120058,64000,66000,69000,74500
120059,62500,69500,77000,76000
120060,61000,65000,75000,73000
120061,50000,49500,55500,59500
120062,33000,37000,38000,43500
120063,52000,60500,60000,79000
120064,14700,18400,22000,26000
120065,45500,48500,51500,48500
120066,45000,44500,55000,59000
120067,51500,57500,61500,59500
120068,5500,6900,7800,10300
120074,21000,22000,23500,24000
120076,45000,48500,58500,55000
120077,9200,11200,12400,19600
120078,10100,8700,9500,9300
120079,18100,18100,21000,20500
120080,52500,57500,62500,75500
120081,43500,47500,48000,63000
120082,35500,40000,41000,38500
120083,25000,25000,24000,23000
120085,27000,28000,29500,31500
120089,32500,37500,48500,39000
120090,59500,60500,62500,61000
120091,42000,47500,47500,49500
120092,55000,53000,50000,55000
120093,46000,49000,50000,48000
120094,32500,33000,34000,35000
120095,24500,26000,25500,24000
120098,54500,58000,63000,60000
120099,42000,41000,53000,57000
120101,12300,14000,16300,18800
120103,15400,15400,17400,20000
120104,26500,24000,27500,27500
120105,43000,41000,44000,44000
120106,40000,43000,,
120107,,,13300,12600
120108,,,9700,10700
120109,,,,31000
120184,46667,48500,50801,54009
120203,39197,42021,46691,50391
120273,4086,4416,4937,5532
121001,6900,7200,9500,10400
121002,6500,7200,7700,8600
121003,15200,13000,13200,13300
121004,,,,1750
125001,20100,17600,18400,17800
125005,11300,12400,16100,13900
125006,11400,9500,10100,8700
125007,22500,20700,24500,25000
125009,30000,28500,30500,38500
125010,45500,59500,63000,56000
125011,45000,49000,48500,50000
125012,47500,42500,43500,47000
125015,12200,13900,12200,13200
125016,6200,4300,2400,6600
125019,22500,23000,26500,31500
125020,24500,27500,28500,30500
125023,26500,28000,31000,31000
125025,55000,61000,64000,67500
125026,22500,24000,25500,26000
125027,18400,18200,18600,19100
125028,33500,34500,36500,37000
125029,24000,26000,25000,27000
125035,18000,16000,18000,19000
125037,10400,9300,11700,11100
125038,7700,10500,11600,10600
125039,48000,50500,53000,55500
125040,17900,19900,22500,23000
125041,55000,58500,62500,63000
125042,30000,27000,30500,30000
125043,29500,27500,32000,30500
125045,5400,7200,4900,5300
125048,12000,9500,9900,6800
125049,15000,11500,13000,12500
125050,12500,15000,16000,14500
125051,12500,13500,17500,14500
125052,20800,22700,27100,28500
125053,21000,22000,25500,36500
125054,33500,37000,38500,37500
125055,10900,10800,11000,10700
125056,27500,27000,28500,29000
125058,38000,34500,36500,42500
125059,21500,22500,22500,25500
125060,18700,17800,18500,18100
125062,17600,12700,14100,12700
125064,26500,25000,26500,27000
125065,24000,23000,23500,25500
125066,19500,20500,22000,21500
125067,12000,14000,10500,16500
125068,11500,12000,14500,14000
125069,11500,14500,14500,15000
125070,9200,10500,12000,20000
125071,17500,16500,18000,19000
125072,21500,21500,23000,24500
125073,26500,28000,31000,30000
125075,27000,28000,30000,28500
125076,10400,17700,21500,25500
125078,31000,31500,31000,31000
127001,,,,8100
127002,,,,8200
127003,,,,8400
127004,,,,8600
127011,,,,9900
127012,,,,10000
127013,,,,7100
127014,,,,7000
127021,,,,5900
127022,,,,5900
127023,,,,11000
127024,,,,11500
127031,,,,13000
127032,,,,13000
127033,,,,4700
127034,,,,10000
127035,,,,5300
127041,,,,11500
127042,,,,11500
127043,,,,10500
127044,,,,12000
127045,,,,1300
127051,,,,5800
127052,,,,5800
127053,,,,7300
127054,,,,7500
127061,,,,5000
127062,,,,4700
127063,,,,3000
127064,,,,3000
127071,,,,12500
127072,,,,12500
127073,,,,4900
127074,,,,4900
127081,,,,9700
