InternalProjectID,StationID,ForecastYear
422012-1,750454,2010
422011-1,750593,2011
422010-1,755216,2010
422009-1,750607,2010
422008-1,750089,2010
422005-1,755046,2010
422004-1,795148,2010
422004-1,755035,2010
422004-1,755039,2010
422004-1,750436,2010
422003-1,750642,2010
422002-1,750105,2010
422002-1,750480,2010
422001-1,735003,2010
421991-1,700345,2010
421990-1,700114,2010
421989-1,180209,2011
421988-1,180102,2011
421986-1,180061,2010
421981-1,110425,2010
421981-1,115047,2010
421979-1,110365,2010
421978-1,110050,2010
421977-1,770074,2010
421976-1,110049,2011
421975-1,110390,2010
421974-1,110241,2011
421621-1,795066,2011
419595-1,795172,2009
419596-1,795094,2009
419593-1,180006,2009
419593-1,180100,2009
419592-1,700069,2009
419592-1,700404,2009
419591-1,115120,2009
419591-1,115116,2009
419589-1,791007,2010
419597-1A,790274,2010
419588-1,790100,2008
419588-2,791019,2008
419587-1,755172,2009
419587-2,750551,2009
419586-1,360469,2008
419585-1,365022,2008
419585-1,365050,2008
419584-1,360452,2009
419583-1,361016,2008
419582-1,750578,2009
419582-1,750579,2009
419581-1,110470,2008
419557-1,361007,2008
419557-1,360043,2008
419564-1,110297,2009
419563-1,700359,2008
419563-1,700360,2008
419563-1,700300,2008
419562-1,920100,2009
419561-1,110246,2009
419370-1,110010,2014
419367-1,772009,2008
418328-1,700381,2010
418328-1,700024,2010
418321-1,920135,2011
417158-1,110502,2007
417158-1,360411,2007
417380-1,110297,2009
417378-1,360004,2009
417247-1,790487,2007
417247-1,790527,2007
417165-1,110501,2008
417006-1,700002,2007
416935-1,180002,2008
416893-1,750638,2008
416798-1,360442,2008
416773-1,795168,2008
416753-1,360486,2008
416740-1,750565,2008
416657-1,111019,2008
416518-1,922019,2011
416407-1,700228,2007
416221-1,180205,2007
416219-1,795197,2010
416194-1,795182,2009
416189-1,750592,2008
416188-1,180209,2007
416187-1,180009,2007
416153-1,360200,2005
415978-1,770074,2007
415977-1,791001,2006
415973-1,180202,2011
413596-1,790519,2006
413596-1,790104,2006
413596-1,790448,2006
413595-1,790531,2006
413594-1,750572,2006
413592-1,920029,2006
413592-1,920314,2006
413590-1,750355,2006
413590-1,755174,2006
413589-1,705159,2006
413587-1,700369,2006
413586-1,700425,2006
413586-1,700426,2006
413585-1,750294,2006
413603-1,750660,2006
413603-1,750084,2006
413584-1,791015,2006
413583-1,360122,2006
413582-1,790532,2006
413578-1,755127,2006
413578-1,755129,2006
413577-1,750565,2006
413576-1,705071,2006
413575-1,111019,2006
413574-1,110008,2005
413571-1,730004,2006
413571-1,780021,2006
413570-1,365046,2005
413473-1,180117,2006
412357-1,180122,2005
411997-1,701005,2008
411672-1,700408,2004
411672-1,700421,2004
411672-1,700423,2004
411993-1,110363,2005
411993-1,110362,2005
411116-1,111020,2003
411092-1,730101,2011
410983-1,750038,2007
410983-1,750075,2007
410983-1,750518,2007
410777-1,790516,2008
410250-1,180041,2009
409870-1,110246,2010
409847-1,790486,2004
409846-1,700363,2004
409180-1,110045,2004
409180-1,110376,2004
409180-1,115079,2004
409173-1,920044,2004
409173-1,921006,2004
409167-1,700430,2005
409167-1,700433,2005
409166-1,700114,2004
409165-1,700391,2004
409165-1,700389,2004
409093-1,110045,2005
408905-1,360463,2007
408639-1,730009,2008
408638-1,110362,2006
406869-4,790503,2012
406869-6,790503,2012
406869-6,790133,2012
406869-6,790492,2012
406869-3,700364,2012
406869-5,700363,2012
406869-5,700436,2012
405506-2,700439,2010
405506-2,700401,2010
405506-2,700402,2010
404525-1,770020,2006
404525-1,770020,2006
404418-1,770019,2006
404418-1,770152,2006
242696-1,790495,2003
242696-1,790496,2003
242592-2,770267,2009
241543-1,360467,2008
241211-1,700379,2010
241200-1,705112,2005
241043-1,790531,2006
241020-1,790066,2007
240992-5,795155,2012
240992-2,795057,2012
240992-2,790213,2012
240887-1,791004,2008
240373-1,180202,2005
416408-1,705119,2008
416939-1,180186,2008
416939-1,180188,2008
417141-1,730009,2008
417141-1,735009,2008
416187-1,700419,2007
417153-1,700438,2007
417154-1,790530,2008
417154-1,790523,2008
