BriefDescription,ProjectYear,InternalProjectID,ImprovementType,AreaTypeFuncClass,main_ProjectInformation.State,TollType,TrafficForecast,ForecastYear,ForecastYearType,YearForecastProduced,ForecastingAgency,ForecastMethodology,SegmentDescription,ProjectID,SegmentID,CountID,Year_ofObservation,Count,Station_Identifier,main_TrafficCounts.State,CounterID,FunctionalClass,Year,ActualCount,AdjustedForecast
"The Reconstruction Project for SR 46 begin at the Wildlife Crossing Bridge (M.P. 8.400) and end west of Old McDonald Road (M.P.
8.500).",2002,411116-1,1,1,FL,No Tolls on 1+ lane,32000,2023,3,2002,5-Consultant,1-Traffic count trend,,"12-9289-411116-1-The Reconstruction Project for SR 46 begin at the Wildlife Crossing Bridge (M.P. 8.400) and end west of Old McDonald Road (M.P.
8.500).",1,12-24981-111020,2003,11500,111020,Florida,12-24981-111020,3-Principal Arterial,2024,NA,17400
"The SR 518 ? Traffic Operations Improvement Project on SR 518 from I-95 (M.P. 0.093) to John
Rhodes Boulevard (M.P. 0.506)",2005,416187-1,4,3,FL,No Tolls on 1+ lane,58400,2027,3,2005,5-Consultant,5-Professional judgement,MP 0.093 to MP 0.506,"12-9345-416187-1-The SR 518 ? Traffic Operations Improvement Project on SR 518 from I-95 (M.P. 0.093) to John
Rhodes Boulevard (M.P. 0.506)",1,12-25034-700419,2007,32000,700419,Florida,12-25034-700419,3-Principal Arterial,2029,NA,52100
"The SR 518 ? Traffic Operations Improvement Project on SR 518 from I-95 (M.P. 0.093) to John
Rhodes Boulevard (M.P. 0.506)",2005,416187-1,4,3,FL,No Tolls on 1+ lane,35300,2007,1,2005,5-Consultant,5-Professional judgement,MP 0.093 to MP 0.506,"12-9345-416187-1-The SR 518 ? Traffic Operations Improvement Project on SR 518 from I-95 (M.P. 0.093) to John
Rhodes Boulevard (M.P. 0.506)",1,12-25034-700419,2007,32000,700419,Florida,12-25034-700419,3-Principal Arterial,2009,32000,35300
"The SR 518 ? Traffic Operations Improvement Project on SR 518 from I-95 (M.P. 0.093) to John
Rhodes Boulevard (M.P. 0.506)",2005,416187-1,4,3,FL,No Tolls on 1+ lane,46900,2017,2,2005,5-Consultant,5-Professional judgement,MP 0.093 to MP 0.506,"12-9345-416187-1-The SR 518 ? Traffic Operations Improvement Project on SR 518 from I-95 (M.P. 0.093) to John
Rhodes Boulevard (M.P. 0.506)",1,12-25034-700419,2007,32000,700419,Florida,12-25034-700419,3-Principal Arterial,2019,NA,43750
"The SR 3 Resurfacing Project on SR 3 from 0.011 Miles South of Smith Rd (M.P. 3.858) to the Kennedy
Space Center Gate (M.P. 9.755).",2005,417153-1,1,3,FL,No Tolls on 1+ lane,22400,2007,1,2005,5-Consultant,4-Regional travel model,(M.P. 3.858) to (M.P. 9.755),"12-9346-417153-1-The SR 3 Resurfacing Project on SR 3 from 0.011 Miles South of Smith Rd (M.P. 3.858) to the Kennedy
Space Center Gate (M.P. 9.755).",1,12-25035-700438,2007,19200,700438,Florida,12-25035-700438,3-Principal Arterial,2008,19200,22400
"The SR 3 Resurfacing Project on SR 3 from 0.011 Miles South of Smith Rd (M.P. 3.858) to the Kennedy
Space Center Gate (M.P. 9.755).",2005,417153-1,1,3,FL,No Tolls on 1+ lane,24100,2017,2,2005,5-Consultant,4-Regional travel model,(M.P. 3.858) to (M.P. 9.755),"12-9346-417153-1-The SR 3 Resurfacing Project on SR 3 from 0.011 Miles South of Smith Rd (M.P. 3.858) to the Kennedy
Space Center Gate (M.P. 9.755).",1,12-25035-700438,2007,19200,700438,Florida,12-25035-700438,3-Principal Arterial,2018,NA,22350
"The SR 3 Resurfacing Project on SR 3 from 0.011 Miles South of Smith Rd (M.P. 3.858) to the Kennedy
Space Center Gate (M.P. 9.755).",2005,417153-1,1,3,FL,No Tolls on 1+ lane,25900,2027,3,2005,5-Consultant,4-Regional travel model,(M.P. 3.858) to (M.P. 9.755),"12-9346-417153-1-The SR 3 Resurfacing Project on SR 3 from 0.011 Miles South of Smith Rd (M.P. 3.858) to the Kennedy
Space Center Gate (M.P. 9.755).",1,12-25035-700438,2007,19200,700438,Florida,12-25035-700438,3-Principal Arterial,2028,NA,22400
"The SR 40 ? Resurfacing Project from 269 ft east of the intersection of SR 40 at Cypress Road (M.P. 6.535) to 438 ft west of the
intersection of SR 40 at Pinto Lane (M.P. 19.871",2005,417154-1,1,1,FL,No Tolls on 1+ lane,7200,2008,1,2005,5-Consultant,1-Traffic count trend,SR 40 - 4.0 Miles East of US 17/SR 15,"12-9347-417154-1-The SR 40 ? Resurfacing Project from 269 ft east of the intersection of SR 40 at Cypress Road (M.P. 6.535) to 438 ft west of the
intersection of SR 40 at Pinto Lane (M.P. 19.871",1,12-25036-790530,2008,5800,790530,Florida,12-25036-790530,3-Principal Arterial,2009,5800,7200
"The SR 40 ? Resurfacing Project from 269 ft east of the intersection of SR 40 at Cypress Road (M.P. 6.535) to 438 ft west of the
intersection of SR 40 at Pinto Lane (M.P. 19.871",2005,417154-1,1,1,FL,No Tolls on 1+ lane,9600,2018,2,2005,5-Consultant,1-Traffic count trend,SR 40 - 4.0 Miles East of US 17/SR 15,"12-9347-417154-1-The SR 40 ? Resurfacing Project from 269 ft east of the intersection of SR 40 at Cypress Road (M.P. 6.535) to 438 ft west of the
intersection of SR 40 at Pinto Lane (M.P. 19.871",1,12-25036-790530,2008,5800,790530,Florida,12-25036-790530,3-Principal Arterial,2019,NA,7200
"The SR 40 ? Resurfacing Project from 269 ft east of the intersection of SR 40 at Cypress Road (M.P. 6.535) to 438 ft west of the
intersection of SR 40 at Pinto Lane (M.P. 19.871",2005,417154-1,1,1,FL,No Tolls on 1+ lane,12000,2028,3,2005,5-Consultant,1-Traffic count trend,SR 40 - 4.0 Miles East of US 17/SR 15,"12-9347-417154-1-The SR 40 ? Resurfacing Project from 269 ft east of the intersection of SR 40 at Cypress Road (M.P. 6.535) to 438 ft west of the
intersection of SR 40 at Pinto Lane (M.P. 19.871",1,12-25036-790530,2008,5800,790530,Florida,12-25036-790530,3-Principal Arterial,2029,NA,7200
Resurfacing of SR 40 in several location,2002,411662-1,1,1,FL,No Tolls on 1+ lane,5200,2003,1,2002,5-Consultant,4-Regional travel model,East of FR 97/FR 597 to the Lake County Line (MP 23.828 to MP 32.206,12-9054-411662-1-Resurfacing of SR 40 in several location,1,12-24757-110502,2003,4200,110502,Florida,12-24757-110502,3-Principal Arterial,2004,4200,5200
Resurfacing of SR 40 in several location,2002,411662-1,1,1,FL,No Tolls on 1+ lane,7300,2013,2,2002,5-Consultant,4-Regional travel model,East of FR 97/FR 597 to the Lake County Line (MP 23.828 to MP 32.206,12-9054-411662-1-Resurfacing of SR 40 in several location,1,12-24757-110502,2003,4200,110502,Florida,12-24757-110502,3-Principal Arterial,2014,4200,5300
Resurfacing of SR 40 in several location,2002,411662-1,1,1,FL,No Tolls on 1+ lane,9200,2023,3,2002,5-Consultant,4-Regional travel model,East of FR 97/FR 597 to the Lake County Line (MP 23.828 to MP 32.206,12-9054-411662-1-Resurfacing of SR 40 in several location,1,12-24757-110502,2003,4200,110502,Florida,12-24757-110502,3-Principal Arterial,2024,NA,5200
"The SR 40 Roundabout Construction Project from 0.095 miles west of SR 19 (M.P. 31.989) to
0.031 miles west of Lake County Line (M.P. 32.175",2005,417158-1,2,1,FL,No Tolls on 1+ lane,6100,2007,1,2005,5-Consultant,4-Regional travel model,,"12-9226-417158-1-The SR 40 Roundabout Construction Project from 0.095 miles west of SR 19 (M.P. 31.989) to
0.031 miles west of Lake County Line (M.P. 32.175",1,12-24920-110502,2007,6000,110502,Florida,12-24920-110502,3-Principal Arterial,2009,6000,6100
"The SR 40 Roundabout Construction Project from 0.095 miles west of SR 19 (M.P. 31.989) to
0.031 miles west of Lake County Line (M.P. 32.175",2005,417158-1,2,1,FL,No Tolls on 1+ lane,8100,2017,2,2005,5-Consultant,4-Regional travel model,,"12-9226-417158-1-The SR 40 Roundabout Construction Project from 0.095 miles west of SR 19 (M.P. 31.989) to
0.031 miles west of Lake County Line (M.P. 32.175",1,12-24920-110502,2007,6000,110502,Florida,12-24920-110502,3-Principal Arterial,2019,NA,6100
"The SR 40 Roundabout Construction Project from 0.095 miles west of SR 19 (M.P. 31.989) to
0.031 miles west of Lake County Line (M.P. 32.175",2005,417158-1,2,1,FL,No Tolls on 1+ lane,10100,2027,3,2005,5-Consultant,4-Regional travel model,,"12-9226-417158-1-The SR 40 Roundabout Construction Project from 0.095 miles west of SR 19 (M.P. 31.989) to
0.031 miles west of Lake County Line (M.P. 32.175",1,12-24920-110502,2007,6000,110502,Florida,12-24920-110502,3-Principal Arterial,2029,NA,6100
SR 492 Resurfacing Project from SR 25/200 M.P. 0.000 to SR 40 M.P. 3.757,2003,411614-1,1,3,FL,No Tolls on 1+ lane,20300,2005,1,2003,5-Consultant,5-Professional judgement,SR 492 1.495 MI W of SR 40,12-9050-411614-1-SR 492 Resurfacing Project from SR 25/200 M.P. 0.000 to SR 40 M.P. 3.757,1,12-24753-360479,2005,22000,360479,Florida,12-24753-360479,4-Minor Arterial,2006,22000,20300
SR 492 Resurfacing Project from SR 25/200 M.P. 0.000 to SR 40 M.P. 3.757,2003,411614-1,1,3,FL,No Tolls on 1+ lane,23800,2015,2,2003,5-Consultant,5-Professional judgement,SR 492 1.495 MI W of SR 40,12-9050-411614-1-SR 492 Resurfacing Project from SR 25/200 M.P. 0.000 to SR 40 M.P. 3.757,1,12-24753-360479,2005,22000,360479,Florida,12-24753-360479,4-Minor Arterial,2016,20500,20050
SR 492 Resurfacing Project from SR 25/200 M.P. 0.000 to SR 40 M.P. 3.757,2003,411614-1,1,3,FL,No Tolls on 1+ lane,27800,2025,3,2003,5-Consultant,5-Professional judgement,SR 492 1.495 MI W of SR 40,12-9050-411614-1-SR 492 Resurfacing Project from SR 25/200 M.P. 0.000 to SR 40 M.P. 3.757,1,12-24753-360479,2005,22000,360479,Florida,12-24753-360479,4-Minor Arterial,2026,NA,20300
Resurfacing of SR 40 in several location,2002,411660-1,1,1,FL,No Tolls on 1+ lane,14600,2003,1,2002,5-Consultant,4-Regional travel model,East of NE 118th Ave. to west of NE 10th St. Rd. (MP 11.965 to MP 14.112),12-9052-411660-1-Resurfacing of SR 40 in several location,1,12-24755-361012,2003,13700,361012,Florida,12-24755-361012,3-Principal Arterial,2004,13700,14600
Resurfacing of SR 40 in several location,2002,411660-1,1,1,FL,No Tolls on 1+ lane,20600,2013,2,2002,5-Consultant,4-Regional travel model,East of NE 118th Ave. to west of NE 10th St. Rd. (MP 11.965 to MP 14.112),12-9052-411660-1-Resurfacing of SR 40 in several location,1,12-24755-361012,2003,13700,361012,Florida,12-24755-361012,3-Principal Arterial,2014,9800,14900
Resurfacing of SR 40 in several location,2002,411660-1,1,1,FL,No Tolls on 1+ lane,26000,2023,3,2002,5-Consultant,4-Regional travel model,East of NE 118th Ave. to west of NE 10th St. Rd. (MP 11.965 to MP 14.112),12-9052-411660-1-Resurfacing of SR 40 in several location,1,12-24755-361012,2003,13700,361012,Florida,12-24755-361012,3-Principal Arterial,2024,NA,14600
Resurfacing of SR 40 in several location,2002,411661-1,1,1,FL,No Tolls on 1+ lane,6700,2003,1,2002,5-Consultant,4-Regional travel model,East of NE 145th Ave. to east of FR 97/FR 597 (MP 15.149 to MP 23.828),12-9053-411661-1-Resurfacing of SR 40 in several location,1,12-24756-360245,2003,5200,360245,Florida,12-24756-360245,3-Principal Arterial,2004,5200,6700
Resurfacing of SR 40 in several location,2002,411661-1,1,1,FL,No Tolls on 1+ lane,9500,2013,2,2002,5-Consultant,4-Regional travel model,East of NE 145th Ave. to east of FR 97/FR 597 (MP 15.149 to MP 23.828),12-9053-411661-1-Resurfacing of SR 40 in several location,1,12-24756-360245,2003,5200,360245,Florida,12-24756-360245,3-Principal Arterial,2014,4100,6850
Resurfacing of SR 40 in several location,2002,411661-1,1,1,FL,No Tolls on 1+ lane,12000,2023,3,2002,5-Consultant,4-Regional travel model,East of NE 145th Ave. to east of FR 97/FR 597 (MP 15.149 to MP 23.828),12-9053-411661-1-Resurfacing of SR 40 in several location,1,12-24756-360245,2003,5200,360245,Florida,12-24756-360245,3-Principal Arterial,2024,NA,6700
"SR 528 resurfacing project from Orange County Line (MP 0.000) to 0.433
miles east of SR 524 Bridge (MP 9.956).",2002,411664-1,1,1,FL,Static Tolls on 1+ lane,32600,2004,1,2002,5-Consultant,5-Professional judgement,Orange County Line to SR 528/SR 407 merge,"12-9055-411664-1-SR 528 resurfacing project from Orange County Line (MP 0.000) to 0.433
miles east of SR 524 Bridge (MP 9.956).",1,12-24758-700398,2004,34000,700398,Florida,12-24758-700398,3-Principal Arterial,2005,34000,32600
"SR 528 resurfacing project from Orange County Line (MP 0.000) to 0.433
miles east of SR 524 Bridge (MP 9.956).",2002,411664-1,1,1,FL,Static Tolls on 1+ lane,44700,2014,2,2002,5-Consultant,5-Professional judgement,Orange County Line to SR 528/SR 407 merge,"12-9055-411664-1-SR 528 resurfacing project from Orange County Line (MP 0.000) to 0.433
miles east of SR 524 Bridge (MP 9.956).",1,12-24758-700398,2004,34000,700398,Florida,12-24758-700398,3-Principal Arterial,2015,,32600
"SR 528 resurfacing project from Orange County Line (MP 0.000) to 0.433
miles east of SR 524 Bridge (MP 9.956).",2002,411664-1,1,1,FL,Static Tolls on 1+ lane,56800,2024,3,2002,5-Consultant,5-Professional judgement,Orange County Line to SR 528/SR 407 merge,"12-9055-411664-1-SR 528 resurfacing project from Orange County Line (MP 0.000) to 0.433
miles east of SR 524 Bridge (MP 9.956).",1,12-24758-700398,2004,34000,700398,Florida,12-24758-700398,3-Principal Arterial,2025,NA,32600
"SR 5 Resurfacing Project from Grace Street (M.P. 3.087) to Lagrange Line (M.P.
6.310)",2007,418647-1,1,3,FL,No Tolls on 1+ lane,26600,2010,1,2007,5-Consultant,4-Regional travel model,SR 5 ? 0.200 Mi S of South St/SR 405 (M.P. 3.375),"12-9059-418647-1-SR 5 Resurfacing Project from Grace Street (M.P. 3.087) to Lagrange Line (M.P.
6.310)",1,12-24762-705197,2010,14500,705197,Florida,12-24762-705197,3-Principal Arterial,2011,14500,26600
"SR 5 Resurfacing Project from Grace Street (M.P. 3.087) to Lagrange Line (M.P.
6.310)",2007,418647-1,1,3,FL,No Tolls on 1+ lane,29500,2020,2,2007,5-Consultant,4-Regional travel model,SR 5 ? 0.200 Mi S of South St/SR 405 (M.P. 3.375),"12-9059-418647-1-SR 5 Resurfacing Project from Grace Street (M.P. 3.087) to Lagrange Line (M.P.
6.310)",1,12-24762-705197,2010,14500,705197,Florida,12-24762-705197,3-Principal Arterial,2021,NA,26600
"SR 5 Resurfacing Project from Grace Street (M.P. 3.087) to Lagrange Line (M.P.
6.310)",2007,418647-1,1,3,FL,No Tolls on 1+ lane,32400,2030,3,2007,5-Consultant,4-Regional travel model,SR 5 ? 0.200 Mi S of South St/SR 405 (M.P. 3.375),"12-9059-418647-1-SR 5 Resurfacing Project from Grace Street (M.P. 3.087) to Lagrange Line (M.P.
6.310)",1,12-24762-705197,2010,14500,705197,Florida,12-24762-705197,3-Principal Arterial,2031,NA,26600
"SR 5 Resurfacing Project from Grace Street (M.P. 3.087) to Lagrange Line (M.P.
6.310)",2007,411666-1,1,3,FL,No Tolls on 1+ lane,20100,2010,1,2007,5-Consultant,4-Regional travel model,SR 5 ? 0.200 Mi SE of Lagrange Rd (M.P. 6.110),"12-9060-411666-1-SR 5 Resurfacing Project from Grace Street (M.P. 3.087) to Lagrange Line (M.P.
6.310)",1,12-24763-700150,2010,21000,700150,Florida,12-24763-700150,3-Principal Arterial,2011,21000,20100
"SR 5 Resurfacing Project from Grace Street (M.P. 3.087) to Lagrange Line (M.P.
6.310)",2007,411666-1,1,3,FL,No Tolls on 1+ lane,22300,2020,2,2007,5-Consultant,4-Regional travel model,SR 5 ? 0.200 Mi SE of Lagrange Rd (M.P. 6.110),"12-9060-411666-1-SR 5 Resurfacing Project from Grace Street (M.P. 3.087) to Lagrange Line (M.P.
6.310)",1,12-24763-700150,2010,21000,700150,Florida,12-24763-700150,3-Principal Arterial,2021,NA,20100
"SR 5 Resurfacing Project from Grace Street (M.P. 3.087) to Lagrange Line (M.P.
6.310)",2007,411666-1,1,3,FL,No Tolls on 1+ lane,24500,2030,3,2007,5-Consultant,4-Regional travel model,SR 5 ? 0.200 Mi SE of Lagrange Rd (M.P. 6.110),"12-9060-411666-1-SR 5 Resurfacing Project from Grace Street (M.P. 3.087) to Lagrange Line (M.P.
6.310)",1,12-24763-700150,2010,21000,700150,Florida,12-24763-700150,3-Principal Arterial,2031,NA,20100
SR 5 Resurfacing Project  from M.P. 0.000 to M.P. 1.775,2002,411667-1,1,3,FL,No Tolls on 1+ lane,40600,2005,1,2002,5-Consultant,4-Regional travel model,SR 5- 1.0 Mi. North of SR 50,12-9061-411667-1-SR 5 Resurfacing Project  from M.P. 0.000 to M.P. 1.775,1,12-24764-700395,2005,29500,700395,Florida,12-24764-700395,3-Principal Arterial,2006,29500,40600
SR 5 Resurfacing Project  from M.P. 0.000 to M.P. 1.775,2002,411667-1,1,3,FL,No Tolls on 1+ lane,48000,2015,2,2002,5-Consultant,4-Regional travel model,SR 5- 1.0 Mi. North of SR 50,12-9061-411667-1-SR 5 Resurfacing Project  from M.P. 0.000 to M.P. 1.775,1,12-24764-700395,2005,29500,700395,Florida,12-24764-700395,3-Principal Arterial,2016,25000,40550
SR 5 Resurfacing Project  from M.P. 0.000 to M.P. 1.775,2002,411667-1,1,3,FL,No Tolls on 1+ lane,55500,2025,3,2002,5-Consultant,4-Regional travel model,SR 5- 1.0 Mi. North of SR 50,12-9061-411667-1-SR 5 Resurfacing Project  from M.P. 0.000 to M.P. 1.775,1,12-24764-700395,2005,29500,700395,Florida,12-24764-700395,3-Principal Arterial,2026,NA,40600
SR 526 resurfacing project from SR 500/OBT (M.P. 0.000) to Mills Avenue (M.P. 2.118).,2003,411727-1,1,3,FL,No Tolls on 1+ lane,5495,2005,1,2003,5-Consultant,4-Regional travel model,SR 526- 0.374 Mi West of I-4,12-9065-411727-1-SR 526 resurfacing project from SR 500/OBT (M.P. 0.000) to Mills Avenue (M.P. 2.118).,1,12-24768-755140,2005,5100,755140,Florida,12-24768-755140,3-Principal Arterial,2006,5100,5495
SR 526 resurfacing project from SR 500/OBT (M.P. 0.000) to Mills Avenue (M.P. 2.118).,2003,411727-1,1,3,FL,No Tolls on 1+ lane,7350,2015,2,2003,5-Consultant,4-Regional travel model,SR 526- 0.374 Mi West of I-4,12-9065-411727-1-SR 526 resurfacing project from SR 500/OBT (M.P. 0.000) to Mills Avenue (M.P. 2.118).,1,12-24768-755140,2005,5100,755140,Florida,12-24768-755140,3-Principal Arterial,2016,5200,5492.5
SR 526 resurfacing project from SR 500/OBT (M.P. 0.000) to Mills Avenue (M.P. 2.118).,2003,411727-1,1,3,FL,No Tolls on 1+ lane,9210,2025,3,2003,5-Consultant,4-Regional travel model,SR 526- 0.374 Mi West of I-4,12-9065-411727-1-SR 526 resurfacing project from SR 500/OBT (M.P. 0.000) to Mills Avenue (M.P. 2.118).,1,12-24768-755140,2005,5100,755140,Florida,12-24768-755140,3-Principal Arterial,2026,NA,5495
SR 535 Resurfacing Project International Drive (M.P. 0.630) and end at I-4 (M.P. 2.314).,2002,411728-1,1,3,FL,No Tolls on 1+ lane,49400,2005,1,2002,5-Consultant,5-Professional judgement,,12-9067-411728-1-SR 535 Resurfacing Project International Drive (M.P. 0.630) and end at I-4 (M.P. 2.314).,1,12-24770-750630,2005,43500,750630,Florida,12-24770-750630,3-Principal Arterial,2006,43500,49400
SR 535 Resurfacing Project International Drive (M.P. 0.630) and end at I-4 (M.P. 2.314).,2002,411728-1,1,3,FL,No Tolls on 1+ lane,64000,2015,2,2002,5-Consultant,5-Professional judgement,,12-9067-411728-1-SR 535 Resurfacing Project International Drive (M.P. 0.630) and end at I-4 (M.P. 2.314).,1,12-24770-750630,2005,43500,750630,Florida,12-24770-750630,3-Principal Arterial,2016,47000,49350
SR 535 Resurfacing Project International Drive (M.P. 0.630) and end at I-4 (M.P. 2.314).,2002,411728-1,1,3,FL,No Tolls on 1+ lane,78700,2025,3,2002,5-Consultant,5-Professional judgement,,12-9067-411728-1-SR 535 Resurfacing Project International Drive (M.P. 0.630) and end at I-4 (M.P. 2.314).,1,12-24770-750630,2005,43500,750630,Florida,12-24770-750630,3-Principal Arterial,2026,NA,49400
SR 50 Resurfacing Project Lowell Boulevard (M.P. 3.832) and end at SR 436/Semoran Boulevard (M.P. 5.208).,2002,411730-1,1,3,FL,No Tolls on 1+ lane,67900,2006,1,2002,5-Consultant,4-Regional travel model,0.85 Mi. W of SR 436,12-9068-411730-1-SR 50 Resurfacing Project Lowell Boulevard (M.P. 3.832) and end at SR 436/Semoran Boulevard (M.P. 5.208).,1,12-24771-750444,2006,58500,750444,Florida,12-24771-750444,3-Principal Arterial,2007,58500,67900
SR 50 Resurfacing Project Lowell Boulevard (M.P. 3.832) and end at SR 436/Semoran Boulevard (M.P. 5.208).,2002,411730-1,1,3,FL,No Tolls on 1+ lane,72700,2016,2,2002,5-Consultant,4-Regional travel model,0.85 Mi. W of SR 436,12-9068-411730-1-SR 50 Resurfacing Project Lowell Boulevard (M.P. 3.832) and end at SR 436/Semoran Boulevard (M.P. 5.208).,1,12-24771-750444,2006,58500,750444,Florida,12-24771-750444,3-Principal Arterial,2017,NA,67900
SR 50 Resurfacing Project Lowell Boulevard (M.P. 3.832) and end at SR 436/Semoran Boulevard (M.P. 5.208).,2002,411730-1,1,3,FL,No Tolls on 1+ lane,77500,2026,3,2002,5-Consultant,4-Regional travel model,0.85 Mi. W of SR 436,12-9068-411730-1-SR 50 Resurfacing Project Lowell Boulevard (M.P. 3.832) and end at SR 436/Semoran Boulevard (M.P. 5.208).,1,12-24771-750444,2006,58500,750444,Florida,12-24771-750444,3-Principal Arterial,2027,NA,67900
SR 15 Resurfacing Project on SR 15 from Airport Boulevard (M.P. 10.471) to SR 400 (M.P. 16.929).,2007,411742-1,1,3,FL,No Tolls on 1+ lane,13400,2009,1,2007,5-Consultant,5-Professional judgement,SR 15 ? 1.200 Mi SE of Monroe Rd (M.P. 16.007),12-9069-411742-1-SR 15 Resurfacing Project on SR 15 from Airport Boulevard (M.P. 10.471) to SR 400 (M.P. 16.929).,1,12-24772-770064,2009,12800,770064,Florida,12-24772-770064,3-Principal Arterial,2010,12800,13400
SR 15 Resurfacing Project on SR 15 from Airport Boulevard (M.P. 10.471) to SR 400 (M.P. 16.929).,2007,411742-1,1,3,FL,No Tolls on 1+ lane,14700,2019,2,2007,5-Consultant,5-Professional judgement,SR 15 ? 1.200 Mi SE of Monroe Rd (M.P. 16.007),12-9069-411742-1-SR 15 Resurfacing Project on SR 15 from Airport Boulevard (M.P. 10.471) to SR 400 (M.P. 16.929).,1,12-24772-770064,2009,12800,770064,Florida,12-24772-770064,3-Principal Arterial,2020,NA,13400
SR 15 Resurfacing Project on SR 15 from Airport Boulevard (M.P. 10.471) to SR 400 (M.P. 16.929).,2007,411742-1,1,3,FL,No Tolls on 1+ lane,1600,2029,3,2007,5-Consultant,5-Professional judgement,SR 15 ? 1.200 Mi SE of Monroe Rd (M.P. 16.007),12-9069-411742-1-SR 15 Resurfacing Project on SR 15 from Airport Boulevard (M.P. 10.471) to SR 400 (M.P. 16.929).,1,12-24772-770064,2009,12800,770064,Florida,12-24772-770064,3-Principal Arterial,2030,NA,-1000
Resurfacing Project for SR 5/US 1 from SR 600/International Speedway Boulevard (M.P. 0.000) to Woodland Avenue (M.P. 5.868),2002,411777-1,1,3,FL,No Tolls on 1+ lane,32800,2006,1,2002,5-Consultant,4-Regional travel model,South of LPGA Boulevard (M.P. 2.667),12-9072-411777-1-Resurfacing Project for SR 5/US 1 from SR 600/International Speedway Boulevard (M.P. 0.000) to Woodland Avenue (M.P. 5.868),1,12-24774-770102,2009,37436,770102,Florida,12-24774-770102,3-Principal Arterial,2007,41643,34030
Resurfacing Project for SR 5/US 1 from SR 600/International Speedway Boulevard (M.P. 0.000) to Woodland Avenue (M.P. 5.868),2002,411777-1,1,3,FL,No Tolls on 1+ lane,36900,2016,2,2002,5-Consultant,4-Regional travel model,South of LPGA Boulevard (M.P. 2.667),12-9072-411777-1-Resurfacing Project for SR 5/US 1 from SR 600/International Speedway Boulevard (M.P. 0.000) to Woodland Avenue (M.P. 5.868),1,12-24774-770102,2009,37436,770102,Florida,12-24774-770102,3-Principal Arterial,2017,NA,34030
Resurfacing Project for SR 5/US 1 from SR 600/International Speedway Boulevard (M.P. 0.000) to Woodland Avenue (M.P. 5.868),2002,411777-1,1,3,FL,No Tolls on 1+ lane,41000,2026,3,2002,5-Consultant,4-Regional travel model,South of LPGA Boulevard (M.P. 2.667),12-9072-411777-1-Resurfacing Project for SR 5/US 1 from SR 600/International Speedway Boulevard (M.P. 0.000) to Woodland Avenue (M.P. 5.868),1,12-24774-770102,2009,37436,770102,Florida,12-24774-770102,3-Principal Arterial,2027,NA,34030
"The SR A1A Resurfacing Project on SR A1A from SR 5/Ridgewood Avenue (M.P. 0.000) to Davis Street (M.P.
6.542)",2006,411781-1,1,3,FL,No Tolls on 1+ lane,8700,2009,1,2006,5-Consultant,4-Regional travel model,SR A1A ? East of US 1,"12-9075-411781-1-The SR A1A Resurfacing Project on SR A1A from SR 5/Ridgewood Avenue (M.P. 0.000) to Davis Street (M.P.
6.542)",1,12-24777-795179,2009,11800,795179,Florida,12-24777-795179,3-Principal Arterial,2010,11800,8700
"The SR A1A Resurfacing Project on SR A1A from SR 5/Ridgewood Avenue (M.P. 0.000) to Davis Street (M.P.
6.542)",2006,411781-1,1,3,FL,No Tolls on 1+ lane,10300,2019,2,2006,5-Consultant,4-Regional travel model,SR A1A ? East of US 1,"12-9075-411781-1-The SR A1A Resurfacing Project on SR A1A from SR 5/Ridgewood Avenue (M.P. 0.000) to Davis Street (M.P.
6.542)",1,12-24777-795179,2009,11800,795179,Florida,12-24777-795179,3-Principal Arterial,2020,NA,8750
"The SR A1A Resurfacing Project on SR A1A from SR 5/Ridgewood Avenue (M.P. 0.000) to Davis Street (M.P.
6.542)",2006,411781-1,1,3,FL,No Tolls on 1+ lane,11800,2029,3,2006,5-Consultant,4-Regional travel model,SR A1A ? East of US 1,"12-9075-411781-1-The SR A1A Resurfacing Project on SR A1A from SR 5/Ridgewood Avenue (M.P. 0.000) to Davis Street (M.P.
6.542)",1,12-24777-795179,2009,11800,795179,Florida,12-24777-795179,3-Principal Arterial,2030,NA,8700
"SR 430 Resurfacing Project include the SR 430 corridor from SR 483/Clyde Morris Boulevard (MP 0.000)
to Mulberry Street/Highland Avenue (MP 2.169).",2002,411782-1,1,3,FL,No Tolls on 1+ lane,26300,2006,1,2002,5-Consultant,4-Regional travel model,From SR 483/Clyde Morris Blvd (MP 0.000) to Mulberry St/Highland Ave (MP 2.169),"12-9077-411782-1-SR 430 Resurfacing Project include the SR 430 corridor from SR 483/Clyde Morris Boulevard (MP 0.000)
to Mulberry Street/Highland Avenue (MP 2.169).",1,12-24778-790436,2009,11400,790436,Florida,12-24778-790436,3-Principal Arterial,2007,19500,28250
