,AdjustedForecast,BriefDescription,Count,County,ForecastMethodology,ForecastYear,ForecastYearType,FunctionalClass,ImprovementType,InternalProjectID,Length_miles,SegmentDescription,SegmentID,State,TollType,TrafficForecast,YearForecastProduced,Year_ofObservation,main_ProjectInformation_ProjectID,main_TrafficForecast_ProjectID,Error,PercentError,AbsPE,DiffYear
1015,41600.0,TH 494 from TH 36 to Mississippi River Bridge,42500,Dakota,1,0,1.0,8,12,SPAR-215,0.419999987,", , , TH 494ConcordProposed Industrial RdEB",,28,1,41600,1979.0,0,28-7278-SPAR-215-TH 494 from TH 36 to Mississippi River Bridge,7278.0,900.0,2.163461538,2.163461538,-1979.0
1016,41600.0,TH 494 from TH 36 to Mississippi River Bridge,42500,Dakota,1,0,1.0,8,12,SPAR-215,0.419999987,", , , WB",,28,1,41600,1979.0,0,28-7279-SPAR-215-TH 494 from TH 36 to Mississippi River Bridge,7279.0,900.0,2.163461538,2.163461538,-1979.0
1017,41600.0,TH 494 from TH 36 to Mississippi River Bridge,42500,Dakota,1,0,1.0,8,12,SPAR-215,0.44999998799999996,", , , TH 494Proposed Industrial RdMississippi RiverEB",,28,1,41600,1979.0,0,28-7280-SPAR-215-TH 494 from TH 36 to Mississippi River Bridge,7280.0,900.0,2.163461538,2.163461538,-1979.0
1018,41600.0,TH 494 from TH 36 to Mississippi River Bridge,42500,Dakota,1,0,1.0,8,12,SPAR-215,0.44999998799999996,", , , WB",,28,1,41600,1979.0,0,28-7281-SPAR-215-TH 494 from TH 36 to Mississippi River Bridge,7281.0,900.0,2.163461538,2.163461538,-1979.0
3403,14088.0,,12450,,6,2004,,3,1,75395,,,,41,1,13800,2006.0,2010,,,-1638.0,-11.62691652,11.62691652,-2.0
4215,21500.0,"SR 528 resurfacing project from Orange County Line (MP 0.000) to 0.433
miles east of SR 524 Bridge (MP 9.956).",39500,Brevard,5,2004,1.0,3,1,411664-1,12.95600033,Cocoa City limit (MP 7.610) to 0.433 Mi East of SR 524 (MP 9.956),4.0,12,2,21500,2005.0,2005,"12-9054-411664-1-SR 528 resurfacing project from Orange County Line (MP 0.000) to 0.433
miles east of SR 524 Bridge (MP 9.956).",9054.0,18000.0,83.72093023,83.72093023,-1.0
4216,21500.0,"SR 528 resurfacing project from Orange County Line (MP 0.000) to 0.433
miles east of SR 524 Bridge (MP 9.956).",31000,Brevard,5,2004,1.0,3,1,411664-1,12.95600033,Cocoa City limit (MP 7.610) to 0.433 Mi East of SR 524 (MP 9.956),4.0,12,2,21500,2005.0,2005,"12-9054-411664-1-SR 528 resurfacing project from Orange County Line (MP 0.000) to 0.433
miles east of SR 524 Bridge (MP 9.956).",9054.0,9500.0,44.18604651,44.18604651,-1.0
4217,21500.0,"SR 528 resurfacing project from Orange County Line (MP 0.000) to 0.433
miles east of SR 524 Bridge (MP 9.956).",24500,Brevard,5,2004,1.0,3,1,411664-1,12.95600033,Cocoa City limit (MP 7.610) to 0.433 Mi East of SR 524 (MP 9.956),4.0,12,2,21500,2005.0,2005,"12-9054-411664-1-SR 528 resurfacing project from Orange County Line (MP 0.000) to 0.433
miles east of SR 524 Bridge (MP 9.956).",9054.0,3000.0,13.95348837,13.95348837,-1.0
4227,21500.0,"SR 528 resurfacing project from Orange County Line (MP 0.000) to 0.433
miles east of SR 524 Bridge (MP 9.956).",39500,Brevard,5,2004,1.0,3,1,411664-1,12.95600033,Cocoa City limit (MP 7.610) to 0.433 Mi East of SR 524 (MP 9.956),4.0,12,2,21500,2005.0,2005,"12-9373-411664-1-SR 528 resurfacing project from Orange County Line (MP 0.000) to 0.433
miles east of SR 524 Bridge (MP 9.956).",9373.0,18000.0,83.72093023,83.72093023,-1.0
4228,21500.0,"SR 528 resurfacing project from Orange County Line (MP 0.000) to 0.433
miles east of SR 524 Bridge (MP 9.956).",31000,Brevard,5,2004,1.0,3,1,411664-1,12.95600033,Cocoa City limit (MP 7.610) to 0.433 Mi East of SR 524 (MP 9.956),4.0,12,2,21500,2005.0,2005,"12-9373-411664-1-SR 528 resurfacing project from Orange County Line (MP 0.000) to 0.433
miles east of SR 524 Bridge (MP 9.956).",9373.0,9500.0,44.18604651,44.18604651,-1.0
4229,21500.0,"SR 528 resurfacing project from Orange County Line (MP 0.000) to 0.433
miles east of SR 524 Bridge (MP 9.956).",24500,Brevard,5,2004,1.0,3,1,411664-1,12.95600033,Cocoa City limit (MP 7.610) to 0.433 Mi East of SR 524 (MP 9.956),4.0,12,2,21500,2005.0,2005,"12-9373-411664-1-SR 528 resurfacing project from Orange County Line (MP 0.000) to 0.433
miles east of SR 524 Bridge (MP 9.956).",9373.0,3000.0,13.95348837,13.95348837,-1.0
