,BriefDescription,ProjectYear,InternalProjectID,ImprovementType,AreaTypeFuncClass,main_ProjectInformation.State,TollType,TrafficForecast,ForecastYear,ForecastYearType,YearForecastProduced,ForecastingAgency,ForecastMethodology,SegmentDescription,ProjectID,SegmentID,CountID,Year_ofObservation,Count,Station_Identifier,main_TrafficCounts.State,CounterID,FunctionalClass,AdjustedForecast
10,,2006.0,2359,,3.0,WI,No Tolls on 1+ lane,13600,2008.0,1.0,2006.0,1-State DOT,1-Traffic count trend,,58-6312-2359-,,58-22437-510817,2008.0,12300.0,510817.0,Wisconsin,58-22437-510817,3-Principal Arterial,13600.0
11,,2006.0,2217,,3.0,WI,No Tolls on 1+ lane,6900,2008.0,1.0,2006.0,1-State DOT,1-Traffic count trend,,58-6313-2217-,,58-22439-510361,2008.0,6200.0,510361.0,Wisconsin,58-22439-510361,3-Principal Arterial,6900.0
12,,2008.0,2690,,3.0,WI,No Tolls on 1+ lane,18500,2008.0,1.0,2008.0,1-State DOT,1-Traffic count trend,,58-6314-2690-,,58-22441-510501,2008.0,19600.0,510501.0,Wisconsin,58-22441-510501,3-Principal Arterial,18500.0
13,,2006.0,2359,,3.0,WI,No Tolls on 1+ lane,7600,2008.0,1.0,2006.0,1-State DOT,1-Traffic count trend,,58-6315-2359-,,58-22443-511191,2008.0,8200.0,511191.0,Wisconsin,58-22443-511191,3-Principal Arterial,7600.0
14,,2006.0,2217,,3.0,WI,No Tolls on 1+ lane,5600,2008.0,1.0,2006.0,1-State DOT,1-Traffic count trend,,58-6316-2217-,,58-22445-510362,2008.0,5200.0,510362.0,Wisconsin,58-22445-510362,3-Principal Arterial,5600.0
15,,2006.0,2359,,3.0,WI,No Tolls on 1+ lane,7100,2008.0,1.0,2006.0,1-State DOT,1-Traffic count trend,,58-6317-2359-,,58-22447-510234,2008.0,7000.0,510234.0,Wisconsin,58-22447-510234,3-Principal Arterial,7100.0
16,,2006.0,2373,,1.0,WI,No Tolls on 1+ lane,8800,2008.0,1.0,2006.0,1-State DOT,1-Traffic count trend,,58-6318-2373-,,58-22449-510862,2008.0,8800.0,510862.0,Wisconsin,58-22449-510862,3-Principal Arterial,8800.0
17,,2007.0,2545,,3.0,WI,No Tolls on 1+ lane,2100,2008.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6319-2545-,,58-22451-300882,2008.0,2600.0,300882.0,Wisconsin,58-22451-300882,5-Major Collector,2100.0
18,,2007.0,2545,,3.0,WI,No Tolls on 1+ lane,4250,2008.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6320-2545-,,58-22453-300739,2008.0,4500.0,300739.0,Wisconsin,58-22453-300739,5-Major Collector,4250.0
19,,2007.0,2545,,3.0,WI,No Tolls on 1+ lane,7300,2008.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6321-2545-,,58-22455-300472,2008.0,7100.0,300472.0,Wisconsin,58-22455-300472,4-Minor Arterial,7300.0
20,,2007.0,2533,,3.0,WI,No Tolls on 1+ lane,7900,2009.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6322-2533-,,58-22457-640485,2009.0,4300.0,640485.0,Wisconsin,58-22457-640485,4-Minor Arterial,7900.0
21,,2007.0,2533,,3.0,WI,No Tolls on 1+ lane,7100,2009.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6323-2533-,,58-22459-640475,2009.0,5400.0,640475.0,Wisconsin,58-22459-640475,3-Principal Arterial,7100.0
22,,2007.0,2533,,3.0,WI,No Tolls on 1+ lane,6700,2009.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6324-2533-,,58-22461-640466,2009.0,5300.0,640466.0,Wisconsin,58-22461-640466,3-Principal Arterial,6700.0
23,,2007.0,2533,,3.0,WI,No Tolls on 1+ lane,8100,2009.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6325-2533-,,58-22463-641025,2009.0,9800.0,641025.0,Wisconsin,58-22463-641025,4-Minor Arterial,8100.0
24,,2007.0,2533,,3.0,WI,No Tolls on 1+ lane,8800,2009.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6326-2533-,,58-22465-640484,2009.0,7300.0,640484.0,Wisconsin,58-22465-640484,4-Minor Arterial,8800.0
25,,2007.0,2533,,1.0,WI,No Tolls on 1+ lane,21100,2009.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6327-2533-,,58-22467-649003,2009.0,19200.0,649003.0,Wisconsin,58-22467-649003,1-Interstate or Limited-access facility,21100.0
26,,2007.0,2533,,3.0,WI,No Tolls on 1+ lane,6200,2009.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6328-2533-,,58-22469-640483,2009.0,5400.0,640483.0,Wisconsin,58-22469-640483,3-Principal Arterial,6200.0
27,,2007.0,2533,,1.0,WI,No Tolls on 1+ lane,25200,2009.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6329-2533-,,58-22471-649002,2009.0,23600.0,649002.0,Wisconsin,58-22471-649002,1-Interstate or Limited-access facility,25200.0
28,,2007.0,2533,,1.0,WI,No Tolls on 1+ lane,4400,2009.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6330-2533-,,58-22473-640804,2009.0,5100.0,640804.0,Wisconsin,58-22473-640804,3-Principal Arterial,4400.0
29,,2007.0,2533,,3.0,WI,No Tolls on 1+ lane,13700,2009.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6331-2533-,,58-22475-640805,2009.0,14900.0,640805.0,Wisconsin,58-22475-640805,3-Principal Arterial,13700.0
30,,2007.0,2533,,3.0,WI,No Tolls on 1+ lane,3300,2009.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6332-2533-,,58-22477-640184,2009.0,3900.0,640184.0,Wisconsin,58-22477-640184,5-Major Collector,3300.0
31,,2007.0,2533,,3.0,WI,No Tolls on 1+ lane,8000,2009.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6333-2533-,,58-22479-640487,2009.0,8900.0,640487.0,Wisconsin,58-22479-640487,3-Principal Arterial,8000.0
32,,2007.0,2533,,3.0,WI,No Tolls on 1+ lane,4000,2009.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6334-2533-,,58-22481-640471,2009.0,3600.0,640471.0,Wisconsin,58-22481-640471,4-Minor Arterial,4000.0
33,,2007.0,2533,,3.0,WI,No Tolls on 1+ lane,1800,2009.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6335-2533-,,58-22483-643773,2009.0,1600.0,643773.0,Wisconsin,58-22483-643773,,1800.0
34,,2007.0,2533,,3.0,WI,No Tolls on 1+ lane,1800,2009.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6336-2533-,,58-22485-640193,2009.0,2000.0,640193.0,Wisconsin,58-22485-640193,5-Major Collector,1800.0
35,,2007.0,2533,,3.0,WI,No Tolls on 1+ lane,9800,2009.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6337-2533-,,58-22487-640490,2009.0,9500.0,640490.0,Wisconsin,58-22487-640490,3-Principal Arterial,9800.0
36,,2007.0,2533,,3.0,WI,No Tolls on 1+ lane,1500,2009.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6338-2533-,,58-22489-643774,2009.0,1600.0,643774.0,Wisconsin,58-22489-643774,,1500.0
37,,2007.0,2533,,3.0,WI,No Tolls on 1+ lane,790,2009.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6339-2533-,,58-22491-643771,2009.0,850.0,643771.0,Wisconsin,58-22491-643771,,790.0
38,,2007.0,2533,,3.0,WI,No Tolls on 1+ lane,10300,2009.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6340-2533-,,58-22493-640493,2009.0,10400.0,640493.0,Wisconsin,58-22493-640493,3-Principal Arterial,10300.0
39,,2007.0,2533,,3.0,WI,No Tolls on 1+ lane,1100,2009.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6341-2533-,,58-22495-643772,2009.0,1100.0,643772.0,Wisconsin,58-22495-643772,,1100.0
40,,2008.0,2737,,3.0,WI,No Tolls on 1+ lane,3600,2009.0,1.0,2008.0,1-State DOT,1-Traffic count trend,,58-6342-2737-,,58-22497-20313,2009.0,3000.0,20313.0,Wisconsin,58-22497-20313,4-Minor Arterial,3600.0
41,,2007.0,2159,,3.0,WI,No Tolls on 1+ lane,15300,2011.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6343-2159-,,58-22499-30535,2011.0,10100.0,30535.0,Wisconsin,58-22499-30535,3-Principal Arterial,15300.0
42,,2007.0,2159,,1.0,WI,No Tolls on 1+ lane,11000,2011.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6344-2159-,,58-22501-30226,2011.0,7500.0,30226.0,Wisconsin,58-22501-30226,3-Principal Arterial,11000.0
43,,2007.0,2159,,1.0,WI,No Tolls on 1+ lane,11300,2011.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6345-2159-,,58-22503-30103,2011.0,8100.0,30103.0,Wisconsin,58-22503-30103,3-Principal Arterial,11300.0
44,,2007.0,2159,,1.0,WI,No Tolls on 1+ lane,11100,2011.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6346-2159-,,58-22505-30543,2011.0,8500.0,30543.0,Wisconsin,58-22505-30543,3-Principal Arterial,11100.0
45,,2007.0,2159,,3.0,WI,No Tolls on 1+ lane,900,2011.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6347-2159-,,58-22507-30376,2011.0,1000.0,30376.0,Wisconsin,58-22507-30376,5-Major Collector,900.0
46,,2007.0,2159,,3.0,WI,No Tolls on 1+ lane,630,2011.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6348-2159-,,58-22509-30375,2011.0,660.0,30375.0,Wisconsin,58-22509-30375,5-Major Collector,630.0
47,,2007.0,2501,,1.0,WI,No Tolls on 1+ lane,13400,2011.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6349-2501-,,58-22511-30540,2011.0,10300.0,30540.0,Wisconsin,58-22511-30540,3-Principal Arterial,13400.0
48,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,82000,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6350-1929-,,58-22513-50387,2009.0,65000.0,50387.0,Wisconsin,58-22513-50387,3-Principal Arterial,82000.0
49,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,6900,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6351-1929-,,58-22515-51729,2009.0,3800.0,51729.0,Wisconsin,58-22515-51729,,6900.0
50,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,20300,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6352-1929-,,58-22517-51291,2009.0,14800.0,51291.0,Wisconsin,58-22517-51291,,20300.0
51,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,17100,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6353-1929-,,58-22519-51731,2009.0,12100.0,51731.0,Wisconsin,58-22519-51731,,17100.0
52,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,7600,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6354-1929-,,58-22521-51720,2009.0,4400.0,51720.0,Wisconsin,58-22521-51720,,7600.0
53,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,54000,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6355-1929-,,58-22523-51149,2009.0,45000.0,51149.0,Wisconsin,58-22523-51149,3-Principal Arterial,54000.0
54,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,67000,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6356-1929-,,58-22525-50382,2009.0,57400.0,50382.0,Wisconsin,58-22525-50382,3-Principal Arterial,67000.0
55,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,20200,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6357-1929-,,58-22527-51290,2009.0,15400.0,51290.0,Wisconsin,58-22527-51290,,20200.0
56,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,16000,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6358-1929-,,58-22529-51718,2009.0,11800.0,51718.0,Wisconsin,58-22529-51718,,16000.0
57,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,14900,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6359-1929-,,58-22531-51728,2009.0,11100.0,51728.0,Wisconsin,58-22531-51728,,14900.0
58,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,7300,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6360-1929-,,58-22533-51717,2009.0,4800.0,51717.0,Wisconsin,58-22533-51717,,7300.0
59,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,13400,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6361-1929-,,58-22535-51719,2009.0,10000.0,51719.0,Wisconsin,58-22535-51719,,13400.0
60,,2006.0,2214,,3.0,WI,No Tolls on 1+ lane,9150,2006.0,1.0,2006.0,1-State DOT,4-Regional travel model,,58-6362-2214-,,58-22537-51599,2006.0,12100.0,51599.0,Wisconsin,58-22537-51599,,9150.0
61,,2006.0,2214,,3.0,WI,No Tolls on 1+ lane,3000,2006.0,1.0,2006.0,1-State DOT,4-Regional travel model,,58-6363-2214-,,58-22539-51124,2006.0,4700.0,51124.0,Wisconsin,58-22539-51124,4-Minor Arterial,3000.0
62,,2006.0,2214,,3.0,WI,No Tolls on 1+ lane,9450,2006.0,1.0,2006.0,1-State DOT,4-Regional travel model,,58-6364-2214-,,58-22541-51598,2006.0,12100.0,51598.0,Wisconsin,58-22541-51598,,9450.0
63,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,6000,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6365-1929-,,58-22543-51726,2009.0,4200.0,51726.0,Wisconsin,58-22543-51726,,6000.0
64,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,6100,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6366-1929-,,58-22545-51721,2009.0,4300.0,51721.0,Wisconsin,58-22545-51721,,6100.0
65,,2006.0,2214,,3.0,WI,No Tolls on 1+ lane,7700,2006.0,1.0,2006.0,1-State DOT,4-Regional travel model,,58-6367-2214-,,58-22547-51125,2006.0,9900.0,51125.0,Wisconsin,58-22547-51125,4-Minor Arterial,7700.0
66,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,2500,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6368-1929-,,58-22549-51730,2009.0,1600.0,51730.0,Wisconsin,58-22549-51730,,2500.0
67,,2006.0,2214,,3.0,WI,No Tolls on 1+ lane,9200,2006.0,1.0,2006.0,1-State DOT,4-Regional travel model,,58-6369-2214-,,58-22551-51348,2006.0,11100.0,51348.0,Wisconsin,58-22551-51348,4-Minor Arterial,9200.0
68,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,7200,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6370-1929-,,58-22553-51725,2009.0,8700.0,51725.0,Wisconsin,58-22553-51725,,7200.0
69,,2006.0,2241,,3.0,WI,No Tolls on 1+ lane,24500,2006.0,1.0,2006.0,1-State DOT,4-Regional travel model,,58-6371-2241-,,58-22555-51132,2006.0,22000.0,51132.0,Wisconsin,58-22555-51132,4-Minor Arterial,24500.0
70,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,4800,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6372-1929-,,58-22557-51723,2009.0,5700.0,51723.0,Wisconsin,58-22557-51723,,4800.0
71,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,4500,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6373-1929-,,58-22559-51732,2009.0,3900.0,51732.0,Wisconsin,58-22559-51732,,4500.0
72,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,4900,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6374-1929-,,58-22561-51724,2009.0,5500.0,51724.0,Wisconsin,58-22561-51724,,4900.0
73,,2006.0,2214,,3.0,WI,No Tolls on 1+ lane,2850,2006.0,1.0,2006.0,1-State DOT,4-Regional travel model,,58-6375-2214-,,58-22563-51601,2006.0,3300.0,51601.0,Wisconsin,58-22563-51601,,2850.0
74,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,8500,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6376-1929-,,58-22565-51722,2009.0,9100.0,51722.0,Wisconsin,58-22565-51722,,8500.0
75,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,2000,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6377-1929-,,58-22567-51727,2009.0,1800.0,51727.0,Wisconsin,58-22567-51727,,2000.0
76,,2006.0,2214,,3.0,WI,No Tolls on 1+ lane,2850,2006.0,1.0,2006.0,1-State DOT,4-Regional travel model,,58-6378-2214-,,58-22569-51600,2006.0,3000.0,51600.0,Wisconsin,58-22569-51600,,2850.0
77,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,8700,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6379-1929-,,58-22571-51289,2009.0,8600.0,51289.0,Wisconsin,58-22571-51289,,8700.0
78,,2005.0,1929,,3.0,WI,No Tolls on 1+ lane,8900,2009.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6380-1929-,,58-22573-51288,2009.0,8800.0,51288.0,Wisconsin,58-22573-51288,,8900.0
79,,2007.0,2514,,3.0,WI,No Tolls on 1+ lane,760,2010.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6381-2514-,,58-22575-70256,2010.0,560.0,70256.0,Wisconsin,58-22575-70256,5-Major Collector,760.0
80,,2007.0,2514,,3.0,WI,No Tolls on 1+ lane,900,2010.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6382-2514-,,58-22577-70251,2010.0,740.0,70251.0,Wisconsin,58-22577-70251,5-Major Collector,900.0
81,,2007.0,2514,,3.0,WI,No Tolls on 1+ lane,480,2010.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6383-2514-,,58-22579-70258,2010.0,430.0,70258.0,Wisconsin,58-22579-70258,5-Major Collector,480.0
82,,2007.0,2411,,3.0,WI,No Tolls on 1+ lane,10700,2010.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6384-2411-,,58-22581-80204,2010.0,8200.0,80204.0,Wisconsin,58-22581-80204,4-Minor Arterial,10700.0
83,,2007.0,2411,,3.0,WI,No Tolls on 1+ lane,11500,2010.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6385-2411-,,58-22583-80103,2010.0,9000.0,80103.0,Wisconsin,58-22583-80103,4-Minor Arterial,11500.0
84,,2007.0,2411,,3.0,WI,No Tolls on 1+ lane,2800,2010.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6386-2411-,,58-22585-80175,2010.0,2600.0,80175.0,Wisconsin,58-22585-80175,4-Minor Arterial,2800.0
85,,2007.0,2411,,3.0,WI,No Tolls on 1+ lane,1200,2010.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6387-2411-,,58-22587-80523,2010.0,1100.0,80523.0,Wisconsin,58-22587-80523,6-Minor Collector,1200.0
86,,2007.0,2388,,3.0,WI,No Tolls on 1+ lane,12600,2010.0,1.0,2007.0,1-State DOT,4-Regional travel model,,58-6388-2388-,,58-22589-80203,2010.0,10200.0,80203.0,Wisconsin,58-22589-80203,4-Minor Arterial,12600.0
87,,2007.0,2388,,3.0,WI,No Tolls on 1+ lane,10000,2010.0,1.0,2007.0,1-State DOT,4-Regional travel model,,58-6389-2388-,,58-22591-80498,2010.0,8300.0,80498.0,Wisconsin,58-22591-80498,4-Minor Arterial,10000.0
88,,2007.0,2388,,3.0,WI,No Tolls on 1+ lane,3100,2010.0,1.0,2007.0,1-State DOT,4-Regional travel model,,58-6390-2388-,,58-22593-80550,2010.0,2900.0,80550.0,Wisconsin,58-22593-80550,5-Major Collector,3100.0
89,,2010.0,3376,,3.0,WI,No Tolls on 1+ lane,700,2011.0,1.0,2010.0,1-State DOT,1-Traffic count trend,,58-6391-3376-,,58-22595-90259,2011.0,780.0,90259.0,Wisconsin,58-22595-90259,5-Major Collector,700.0
90,,2010.0,3374,,3.0,WI,No Tolls on 1+ lane,700,2011.0,1.0,2010.0,1-State DOT,1-Traffic count trend,,58-6392-3374-,,58-22597-90348,2011.0,720.0,90348.0,Wisconsin,58-22597-90348,5-Major Collector,700.0
91,,2005.0,2084,,3.0,WI,No Tolls on 1+ lane,1500,2011.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6393-2084-,,58-22599-90173,2011.0,3700.0,90173.0,Wisconsin,58-22599-90173,4-Minor Arterial,1500.0
92,,2005.0,2084,,3.0,WI,No Tolls on 1+ lane,1200,2011.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6394-2084-,,58-22601-90101,2011.0,1450.0,90101.0,Wisconsin,58-22601-90101,4-Minor Arterial,1200.0
93,,2010.0,3531,,3.0,WI,No Tolls on 1+ lane,6600,2011.0,1.0,2010.0,1-State DOT,4-Regional travel model,,58-6395-3531-,,58-22603-90954,2011.0,4300.0,90954.0,Wisconsin,58-22603-90954,4-Minor Arterial,6600.0
94,,2007.0,1693,,1.0,WI,No Tolls on 1+ lane,10900,2007.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6396-1693-,,58-22605-100101,2007.0,12600.0,100101.0,Wisconsin,58-22605-100101,3-Principal Arterial,10900.0
95,,2007.0,1693,,1.0,WI,No Tolls on 1+ lane,10200,2007.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6397-1693-,,58-22607-100176,2007.0,11300.0,100176.0,Wisconsin,58-22607-100176,3-Principal Arterial,10200.0
96,,2007.0,1693,,1.0,WI,No Tolls on 1+ lane,10500,2007.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6398-1693-,,58-22609-100175,2007.0,11600.0,100175.0,Wisconsin,58-22609-100175,3-Principal Arterial,10500.0
97,,2007.0,1693,,1.0,WI,No Tolls on 1+ lane,11200,2007.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6399-1693-,,58-22611-100001,2007.0,11600.0,100001.0,Wisconsin,58-22611-100001,3-Principal Arterial,11200.0
98,,2007.0,1693,,1.0,WI,No Tolls on 1+ lane,11600,2007.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6400-1693-,,58-22613-100179,2007.0,12000.0,100179.0,Wisconsin,58-22613-100179,3-Principal Arterial,11600.0
99,,2006.0,2298,,3.0,WI,No Tolls on 1+ lane,1450,2007.0,1.0,2006.0,1-State DOT,1-Traffic count trend,,58-6401-2298-,,58-22615-100234,2007.0,3000.0,100234.0,Wisconsin,58-22615-100234,5-Major Collector,1450.0
100,,2007.0,2621,,1.0,WI,No Tolls on 1+ lane,1900,2010.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6402-2621-,,58-22617-120289,2010.0,1800.0,120289.0,Wisconsin,58-22617-120289,3-Principal Arterial,1900.0
101,,2007.0,2442,,3.0,WI,No Tolls on 1+ lane,2900,2009.0,1.0,2007.0,1-State DOT,4-Regional travel model,,58-6403-2442-,,58-22619-132116,2009.0,410.0,132116.0,Wisconsin,58-22619-132116,5-Major Collector,2900.0
102,,2005.0,1965,,3.0,WI,No Tolls on 1+ lane,6400,2006.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6404-1965-,,58-22621-130424,2006.0,4900.0,130424.0,Wisconsin,58-22621-130424,4-Minor Arterial,6400.0
103,,2005.0,1965,,3.0,WI,No Tolls on 1+ lane,6600,2006.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6405-1965-,,58-22623-130425,2006.0,5200.0,130425.0,Wisconsin,58-22623-130425,4-Minor Arterial,6600.0
104,,2009.0,2927,,3.0,WI,No Tolls on 1+ lane,3600,2009.0,1.0,2009.0,1-State DOT,4-Regional travel model,,58-6406-2927-,,58-22625-130519,2009.0,2800.0,130519.0,Wisconsin,58-22625-130519,5-Major Collector,3600.0
105,,2005.0,1965,,3.0,WI,No Tolls on 1+ lane,11300,2006.0,1.0,2005.0,1-State DOT,4-Regional travel model,,58-6407-1965-,,58-22627-131032,2006.0,10000.0,131032.0,Wisconsin,58-22627-131032,3-Principal Arterial,11300.0
106,,2009.0,2927,,1.0,WI,No Tolls on 1+ lane,6500,2009.0,1.0,2009.0,1-State DOT,4-Regional travel model,,58-6408-2927-,,58-22629-130126,2009.0,7400.0,130126.0,Wisconsin,58-22629-130126,3-Principal Arterial,6500.0
