BriefDescription,County,ForecastMethodology,ForecastYear,ForecastYearType,FunctionalClass,ImprovementType,InternalProjectID,Length_miles,SegmentDescription,SegmentID,State,TollType,TrafficForecast,YearForecastProduced,Year_ofObservation,Count,main_ProjectInformation_ProjectID,main_TrafficForecast_ProjectID,AdjustedForecast,n,Error,PercentError,AbsPE
,Washington,1.00,2007,1,0,12,2126,,,,58,1,1600,2006,2007,1600,58-6249-2126-,6249,1600,10,0,0,0
,Washington,1.00,2010,1,5,12,2486,,,,58,1,1300,2007,2010,1000,58-6240-2486-,6240,1300,1,-300,-23.07692308,23.07692308
,Waukesha,1.00,2009,1,4,12,1745,,,,58,1,3800,2007,2009,3800,58-6250-1745-,6250,3800,12,0,0,0
,Waukesha,1.00,2009,1,4,12,1745,,,,58,1,4600,2007,2009,4400,58-6251-1745-,6251,4600,12,-200,-4.347826087,4.347826087
,Waukesha,1.00,2009,1,4,12,1745,,,,58,1,7900,2007,2009,5800,58-6254-1745-,6254,7900,12,-2100,-26.58227848,26.58227848
,Waukesha,1.00,2009,1,4,12,1745,,,,58,1,5350,2007,2009,5400,58-6255-1745-,6255,5350,12,50,0.934579439,0.934579439
,Waukesha,1.00,2009,1,4,12,1745,,,,58,1,3500,2007,2009,3700,58-6256-1745-,6256,3500,12,200,5.714285714,5.714285714
,Waukesha,1.00,2009,1,4,12,1745,,,,58,1,3850,2007,2009,3500,58-6257-1745-,6257,3850,12,-350,-9.090909091,9.090909091
,Waukesha,1.00,2009,1,4,12,1745,,,,58,1,2350,2007,2009,2000,58-6261-1745-,6261,2350,12,-350,-14.89361702,14.89361702
,Waukesha,1.00,2009,1,6,12,1745,,,,58,1,3300,2007,2009,5000,58-6277-1745-,6277,3300,12,1700,51.51515152,51.51515152
,Waukesha,1.00,2009,1,6,12,1745,,,,58,1,1150,2007,2009,840,58-6280-1745-,6280,1150,12,-310,-26.95652174,26.95652174
,Waukesha,1.00,2009,1,5,12,1745,,,,58,1,1550,2007,2009,1400,58-6282-1745-,6282,1550,12,-150,-9.677419355,9.677419355
,Waukesha,1.00,2009,1,6,12,1745,,,,58,1,1150,2007,2009,1100,58-6283-1745-,6283,1150,12,-50,-4.347826087,4.347826087
,Waukesha,1.00,2009,1,5,12,1745,,,,58,1,1450,2007,2009,1200,58-6285-1745-,6285,1450,12,-250,-17.24137931,17.24137931
,Waukesha,1.00,2006,1,3,12,2064,,,,58,1,14200,2005,2006,12900,58-6252-2064-,6252,14200,1,-1300,-9.154929577,9.154929577
,Waukesha,1.00,2009,1,3,12,2256,,,,58,1,9400,2006,2009,8500,58-6253-2256-,6253,9400,3,-900,-9.574468085,9.574468085
,Waukesha,1.00,2009,1,5,12,2256,,,,58,1,3200,2006,2009,3200,58-6274-2256-,6274,3200,3,0,0,0
,Waukesha,1.00,2009,1,3,12,2256,,,,58,1,8900,2006,2009,7800,58-6279-2256-,6279,8900,3,-1100,-12.35955056,12.35955056
,Waukesha,1.00,2009,1,3,12,2137,,,,58,1,30100,2006,2009,30000,58-6258-2137-,6258,30100,8,-100,-0.332225914,0.332225914
,Waukesha,1.00,2009,1,3,12,2137,,,,58,1,33800,2006,2009,37200,58-6259-2137-,6259,33800,8,3400,10.0591716,10.0591716
,Waukesha,1.00,2009,1,3,12,2137,,,,58,1,37300,2006,2009,34900,58-6262-2137-,6262,37300,8,-2400,-6.434316354,6.434316354
,Waukesha,1.00,2009,1,3,12,2137,,,,58,1,38500,2006,2009,47800,58-6263-2137-,6263,38500,8,9300,24.15584416,24.15584416
,Waukesha,1.00,2009,1,3,12,2137,,,,58,1,37400,2006,2009,33900,58-6264-2137-,6264,37400,8,-3500,-9.35828877,9.35828877
,Waukesha,1.00,2009,1,3,12,2137,,,,58,1,38100,2006,2009,39600,58-6276-2137-,6276,38100,8,1500,3.937007874,3.937007874
,Waukesha,1.00,2009,1,3,12,2137,,,,58,1,42900,2006,2009,37900,58-6284-2137-,6284,42900,8,-5000,-11.65501166,11.65501166
,Waukesha,1.00,2009,1,3,12,2137,,,,58,1,32800,2006,2009,49900,58-6286-2137-,6286,32800,8,17100,52.13414634,52.13414634
,Waukesha,1.00,2009,1,3,12,2577,,,,58,1,18600,2007,2009,23500,58-6260-2577-,6260,18600,6,4900,26.34408602,26.34408602
,Waukesha,1.00,2009,1,3,12,2577,,,,58,1,8700,2007,2009,10200,58-6271-2577-,6271,8700,6,1500,17.24137931,17.24137931
,Waukesha,1.00,2009,1,3,12,2577,,,,58,1,17000,2007,2009,18300,58-6272-2577-,6272,17000,6,1300,7.647058824,7.647058824
,Waukesha,1.00,2009,1,3,12,2577,,,,58,1,20100,2007,2009,20700,58-6273-2577-,6273,20100,6,600,2.985074627,2.985074627
,Waukesha,1.00,2009,1,3,12,2577,,,,58,1,18400,2007,2009,25900,58-6275-2577-,6275,18400,6,7500,40.76086957,40.76086957
,Waukesha,1.00,2009,1,4,12,2577,,,,58,1,5200,2007,2009,5500,58-6281-2577-,6281,5200,6,300,5.769230769,5.769230769
,Waukesha,1.00,2009,1,4,12,2739,,,,58,1,4700,2008,2009,3100,58-6265-2739-,6265,4700,1,-1600,-34.04255319,34.04255319
,Waukesha,1.00,2009,1,3,12,2627,,,,58,1,17400,2007,2009,22000,58-6266-2627-,6266,17400,1,4600,26.43678161,26.43678161
,Waukesha,1.00,2009,1,3,12,2536,,,,58,1,17250,2007,2009,13700,58-6267-2536-,6267,17250,5,-3550,-20.57971014,20.57971014
,Waukesha,1.00,2009,1,3,12,2536,,,,58,1,16200,2007,2009,13900,58-6268-2536-,6268,16200,5,-2300,-14.19753086,14.19753086
,Waukesha,1.00,2009,1,4,12,2536,,,,58,1,4600,2007,2009,6000,58-6269-2536-,6269,4600,5,1400,30.43478261,30.43478261
,Waukesha,1.00,2009,1,4,12,2536,,,,58,1,8400,2007,2009,7600,58-6270-2536-,6270,8400,5,-800,-9.523809524,9.523809524
,Waukesha,1.00,2009,1,3,12,2536,,,,58,1,16100,2007,2009,13500,58-6278-2536-,6278,16100,5,-2600,-16.14906832,16.14906832
,Milwaukee,1.00,2008,1,4,12,1959,,,,58,1,18800,2006,2008,11200,58-6287-1959-,6287,18800,8,-7600,-40.42553191,40.42553191
,Milwaukee,1.00,2008,1,4,12,1959,,,,58,1,17700,2006,2008,11500,58-6288-1959-,6288,17700,8,-6200,-35.02824859,35.02824859
,Milwaukee,1.00,2008,1,4,12,1959,,,,58,1,14500,2006,2008,9200,58-6289-1959-,6289,14500,8,-5300,-36.55172414,36.55172414
,Milwaukee,1.00,2008,1,4,12,1959,,,,58,1,9400,2006,2008,6000,58-6290-1959-,6290,9400,8,-3400,-36.17021277,36.17021277
,Milwaukee,1.00,2008,1,4,12,1959,,,,58,1,22400,2006,2008,17500,58-6291-1959-,6291,22400,8,-4900,-21.875,21.875
,Milwaukee,1.00,2008,1,4,12,1959,,,,58,1,3300,2006,2008,4800,58-6292-1959-,6292,3300,8,1500,45.45454545,45.45454545
,Milwaukee,1.00,2008,1,4,12,1959,,,,58,1,17600,2006,2008,14900,58-6293-1959-,6293,17600,8,-2700,-15.34090909,15.34090909
,Milwaukee,1.00,2008,1,4,12,1959,,,,58,1,9800,2006,2008,9000,58-6295-1959-,6295,9800,8,-800,-8.163265306,8.163265306
,Milwaukee,1.00,2007,1,3,12,2198,,,,58,1,20500,2006,2007,18100,58-6294-2198-,6294,20500,1,-2400,-11.70731707,11.70731707
,Milwaukee,1.00,2009,1,3,12,2322,,,,58,1,23800,2006,2009,38000,58-6296-2322-,6296,23800,3,14200,59.66386555,59.66386555
,Milwaukee,1.00,2009,1,3,12,2322,,,,58,1,22300,2006,2009,31100,58-6297-2322-,6297,22300,3,8800,39.46188341,39.46188341
,Milwaukee,1.00,2009,1,3,12,2322,,,,58,1,22700,2006,2009,22600,58-6306-2322-,6306,22700,3,-100,-0.440528634,0.440528634
,Milwaukee,1.00,2011,1,3,12,3609,,,,58,1,40000,2010,2011,37700,58-6298-3609-,6298,40000,2,-2300,-5.75,5.75
,Milwaukee,1.00,2011,1,3,12,3609,,,,58,1,36600,2010,2011,33700,58-6300-3609-,6300,36600,2,-2900,-7.923497268,7.923497268
,Milwaukee,1.00,2007,1,3,12,2320,,,,58,1,30000,2006,2007,25800,58-6299-2320-,6299,30000,2,-4200,-14,14
,Milwaukee,1.00,2007,1,3,12,2320,,,,58,1,34000,2006,2007,31500,58-6302-2320-,6302,34000,2,-2500,-7.352941176,7.352941176
,Milwaukee,1.00,2011,1,5,12,3558,,,,58,1,4300,2010,2011,4100,58-6301-3558-,6301,4300,1,-200,-4.651162791,4.651162791
,Milwaukee,1.00,2011,1,3,12,2467,,,,58,1,30000,2007,2011,22200,58-6303-2467-,6303,30000,7,-7800,-26,26
,Milwaukee,1.00,2011,1,3,12,2467,,,,58,1,19000,2007,2011,20100,58-6304-2467-,6304,19000,7,1100,5.789473684,5.789473684
,Milwaukee,1.00,2011,1,4,12,2467,,,,58,1,21900,2007,2011,18400,58-6305-2467-,6305,21900,7,-3500,-15.98173516,15.98173516
,Milwaukee,1.00,2011,1,5,12,2467,,,,58,1,2800,2007,2011,2500,58-6307-2467-,6307,2800,7,-300,-10.71428571,10.71428571
,Milwaukee,1.00,2011,1,3,12,2467,,,,58,1,33500,2007,2011,33500,58-6308-2467-,6308,33500,7,0,0,0
,Milwaukee,1.00,2011,1,7,12,2467,,,,58,1,1500,2007,2011,2200,58-6309-2467-,6309,1500,7,700,46.66666667,46.66666667
,Milwaukee,1.00,2011,1,3,12,2467,,,,58,1,23800,2007,2011,25400,58-6310-2467-,6310,23800,7,1600,6.722689076,6.722689076
,Racine,1.00,2008,1,3,12,2373,,,,58,1,8600,2006,2008,6600,58-6311-2373-,6311,8600,2,-2000,-23.25581395,23.25581395
,Racine,1.00,2008,1,3,12,2373,,,,58,1,8800,2006,2008,8800,58-6318-2373-,6318,8800,2,0,0,0
,Racine,1.00,2008,1,3,12,2359,,,,58,1,13600,2006,2008,12300,58-6312-2359-,6312,13600,3,-1300,-9.558823529,9.558823529
,Racine,1.00,2008,1,3,12,2359,,,,58,1,7600,2006,2008,8200,58-6315-2359-,6315,7600,3,600,7.894736842,7.894736842
,Racine,1.00,2008,1,3,12,2359,,,,58,1,7100,2006,2008,7000,58-6317-2359-,6317,7100,3,-100,-1.408450704,1.408450704
,Racine,1.00,2008,1,3,12,2217,,,,58,1,6900,2006,2008,6200,58-6313-2217-,6313,6900,2,-700,-10.14492754,10.14492754
,Racine,1.00,2008,1,3,12,2217,,,,58,1,5600,2006,2008,5200,58-6316-2217-,6316,5600,2,-400,-7.142857143,7.142857143
,Racine,1.00,2008,1,3,12,2690,,,,58,1,18500,2008,2008,19600,58-6314-2690-,6314,18500,1,1100,5.945945946,5.945945946
,Kenosha,1.00,2008,1,5,12,2545,,,,58,1,2100,2007,2008,2600,58-6319-2545-,6319,2100,3,500,23.80952381,23.80952381
,Kenosha,1.00,2008,1,5,12,2545,,,,58,1,4250,2007,2008,4500,58-6320-2545-,6320,4250,3,250,5.882352941,5.882352941
,Kenosha,1.00,2008,1,4,12,2545,,,,58,1,7300,2007,2008,7100,58-6321-2545-,6321,7300,3,-200,-2.739726027,2.739726027
,Walworth,1.00,2009,1,4,12,2533,,,,58,1,7900,2007,2009,4300,58-6322-2533-,6322,7900,20,-3600,-45.56962025,45.56962025
,Walworth,1.00,2009,1,3,12,2533,,,,58,1,7100,2007,2009,5400,58-6323-2533-,6323,7100,20,-1700,-23.94366197,23.94366197
,Walworth,1.00,2009,1,3,12,2533,,,,58,1,6700,2007,2009,5300,58-6324-2533-,6324,6700,20,-1400,-20.89552239,20.89552239
,Walworth,1.00,2009,1,4,12,2533,,,,58,1,8100,2007,2009,9800,58-6325-2533-,6325,8100,20,1700,20.98765432,20.98765432
,Walworth,1.00,2009,1,4,12,2533,,,,58,1,8800,2007,2009,7300,58-6326-2533-,6326,8800,20,-1500,-17.04545455,17.04545455
,Walworth,1.00,2009,1,1,12,2533,,,,58,1,21100,2007,2009,19200,58-6327-2533-,6327,21100,20,-1900,-9.004739336,9.004739336
,Walworth,1.00,2009,1,3,12,2533,,,,58,1,6200,2007,2009,5400,58-6328-2533-,6328,6200,20,-800,-12.90322581,12.90322581
,Walworth,1.00,2009,1,1,12,2533,,,,58,1,25200,2007,2009,23600,58-6329-2533-,6329,25200,20,-1600,-6.349206349,6.349206349
,Walworth,1.00,2009,1,3,12,2533,,,,58,1,4400,2007,2009,5100,58-6330-2533-,6330,4400,20,700,15.90909091,15.90909091
,Walworth,1.00,2009,1,3,12,2533,,,,58,1,13700,2007,2009,14900,58-6331-2533-,6331,13700,20,1200,8.759124088,8.759124088
,Walworth,1.00,2009,1,5,12,2533,,,,58,1,3300,2007,2009,3900,58-6332-2533-,6332,3300,20,600,18.18181818,18.18181818
,Walworth,1.00,2009,1,3,12,2533,,,,58,1,8000,2007,2009,8900,58-6333-2533-,6333,8000,20,900,11.25,11.25
,Walworth,1.00,2009,1,4,12,2533,,,,58,1,4000,2007,2009,3600,58-6334-2533-,6334,4000,20,-400,-10,10
,Walworth,1.00,2009,1,0,12,2533,,,,58,1,1800,2007,2009,1600,58-6335-2533-,6335,1800,20,-200,-11.11111111,11.11111111
,Walworth,1.00,2009,1,5,12,2533,,,,58,1,1800,2007,2009,2000,58-6336-2533-,6336,1800,20,200,11.11111111,11.11111111
,Walworth,1.00,2009,1,3,12,2533,,,,58,1,9800,2007,2009,9500,58-6337-2533-,6337,9800,20,-300,-3.06122449,3.06122449
,Walworth,1.00,2009,1,0,12,2533,,,,58,1,1500,2007,2009,1600,58-6338-2533-,6338,1500,20,100,6.666666667,6.666666667
,Walworth,1.00,2009,1,0,12,2533,,,,58,1,790,2007,2009,850,58-6339-2533-,6339,790,20,60,7.594936709,7.594936709
,Walworth,1.00,2009,1,3,12,2533,,,,58,1,10300,2007,2009,10400,58-6340-2533-,6340,10300,20,100,0.970873786,0.970873786
,Walworth,1.00,2009,1,0,12,2533,,,,58,1,1100,2007,2009,1100,58-6341-2533-,6341,1100,20,0,0,0
,Ashland,1.00,2009,1,4,12,2737,,,,58,1,3600,2008,2009,3000,58-6342-2737-,6342,3600,1,-600,-16.66666667,16.66666667
,Barron,1.00,2011,1,3,12,2159,,,,58,1,15300,2007,2011,10100,58-6343-2159-,6343,15300,6,-5200,-33.9869281,33.9869281
,Barron,1.00,2011,1,3,12,2159,,,,58,1,11000,2007,2011,7500,58-6344-2159-,6344,11000,6,-3500,-31.81818182,31.81818182
,Barron,1.00,2011,1,3,12,2159,,,,58,1,11300,2007,2011,8100,58-6345-2159-,6345,11300,6,-3200,-28.31858407,28.31858407
,Barron,1.00,2011,1,3,12,2159,,,,58,1,11100,2007,2011,8500,58-6346-2159-,6346,11100,6,-2600,-23.42342342,23.42342342
,Barron,1.00,2011,1,5,12,2159,,,,58,1,900,2007,2011,1000,58-6347-2159-,6347,900,6,100,11.11111111,11.11111111
,Barron,1.00,2011,1,5,12,2159,,,,58,1,630,2007,2011,660,58-6348-2159-,6348,630,6,30,4.761904762,4.761904762
,Barron,1.00,2011,1,3,12,2501,,,,58,1,13400,2007,2011,10300,58-6349-2501-,6349,13400,1,-3100,-23.13432836,23.13432836
,Brown,4.00,2009,1,3,12,1929,,,,58,1,82000,2005,2009,65000,58-6350-1929-,6350,82000,23,-17000,-20.73170732,20.73170732
,Brown,4.00,2009,1,0,12,1929,,,,58,1,6900,2005,2009,3800,58-6351-1929-,6351,6900,23,-3100,-44.92753623,44.92753623
,Brown,4.00,2009,1,0,12,1929,,,,58,1,20300,2005,2009,14800,58-6352-1929-,6352,20300,23,-5500,-27.09359606,27.09359606
,Brown,4.00,2009,1,0,12,1929,,,,58,1,17100,2005,2009,12100,58-6353-1929-,6353,17100,23,-5000,-29.23976608,29.23976608
,Brown,4.00,2009,1,0,12,1929,,,,58,1,7600,2005,2009,4400,58-6354-1929-,6354,7600,23,-3200,-42.10526316,42.10526316
,Brown,4.00,2009,1,3,12,1929,,,,58,1,54000,2005,2009,45000,58-6355-1929-,6355,54000,23,-9000,-16.66666667,16.66666667
,Brown,4.00,2009,1,3,12,1929,,,,58,1,67000,2005,2009,57400,58-6356-1929-,6356,67000,23,-9600,-14.32835821,14.32835821
,Brown,4.00,2009,1,0,12,1929,,,,58,1,20200,2005,2009,15400,58-6357-1929-,6357,20200,23,-4800,-23.76237624,23.76237624
,Brown,4.00,2009,1,0,12,1929,,,,58,1,16000,2005,2009,11800,58-6358-1929-,6358,16000,23,-4200,-26.25,26.25
,Brown,4.00,2009,1,0,12,1929,,,,58,1,14900,2005,2009,11100,58-6359-1929-,6359,14900,23,-3800,-25.5033557,25.5033557
,Brown,4.00,2009,1,0,12,1929,,,,58,1,7300,2005,2009,4800,58-6360-1929-,6360,7300,23,-2500,-34.24657534,34.24657534
,Brown,4.00,2009,1,0,12,1929,,,,58,1,13400,2005,2009,10000,58-6361-1929-,6361,13400,23,-3400,-25.37313433,25.37313433
,Brown,4.00,2009,1,0,12,1929,,,,58,1,6000,2005,2009,4200,58-6365-1929-,6365,6000,23,-1800,-30,30
,Brown,4.00,2009,1,0,12,1929,,,,58,1,6100,2005,2009,4300,58-6366-1929-,6366,6100,23,-1800,-29.50819672,29.50819672
,Brown,4.00,2009,1,0,12,1929,,,,58,1,2500,2005,2009,1600,58-6368-1929-,6368,2500,23,-900,-36,36
,Brown,4.00,2009,1,0,12,1929,,,,58,1,7200,2005,2009,8700,58-6370-1929-,6370,7200,23,1500,20.83333333,20.83333333
,Brown,4.00,2009,1,0,12,1929,,,,58,1,4800,2005,2009,5700,58-6372-1929-,6372,4800,23,900,18.75,18.75
,Brown,4.00,2009,1,0,12,1929,,,,58,1,4500,2005,2009,3900,58-6373-1929-,6373,4500,23,-600,-13.33333333,13.33333333
,Brown,4.00,2009,1,0,12,1929,,,,58,1,4900,2005,2009,5500,58-6374-1929-,6374,4900,23,600,12.24489796,12.24489796
,Brown,4.00,2009,1,0,12,1929,,,,58,1,8500,2005,2009,9100,58-6376-1929-,6376,8500,23,600,7.058823529,7.058823529
,Brown,4.00,2009,1,0,12,1929,,,,58,1,2000,2005,2009,1800,58-6377-1929-,6377,2000,23,-200,-10,10
,Brown,4.00,2009,1,0,12,1929,,,,58,1,8700,2005,2009,8600,58-6379-1929-,6379,8700,23,-100,-1.149425287,1.149425287
,Brown,4.00,2009,1,0,12,1929,,,,58,1,8900,2005,2009,8800,58-6380-1929-,6380,8900,23,-100,-1.123595506,1.123595506
,Brown,4.00,2006,1,0,12,2214,,,,58,1,9150,2006,2006,12100,58-6362-2214-,6362,9150,7,2950,32.24043716,32.24043716
,Brown,4.00,2006,1,4,12,2214,,,,58,1,3000,2006,2006,4700,58-6363-2214-,6363,3000,7,1700,56.66666667,56.66666667
,Brown,4.00,2006,1,0,12,2214,,,,58,1,9450,2006,2006,12100,58-6364-2214-,6364,9450,7,2650,28.04232804,28.04232804
,Brown,4.00,2006,1,4,12,2214,,,,58,1,7700,2006,2006,9900,58-6367-2214-,6367,7700,7,2200,28.57142857,28.57142857
,Brown,4.00,2006,1,4,12,2214,,,,58,1,9200,2006,2006,11100,58-6369-2214-,6369,9200,7,1900,20.65217391,20.65217391
,Brown,4.00,2006,1,0,12,2214,,,,58,1,2850,2006,2006,3300,58-6375-2214-,6375,2850,7,450,15.78947368,15.78947368
,Brown,4.00,2006,1,0,12,2214,,,,58,1,2850,2006,2006,3000,58-6378-2214-,6378,2850,7,150,5.263157895,5.263157895
,Brown,4.00,2006,1,4,12,2241,,,,58,1,24500,2006,2006,22000,58-6371-2241-,6371,24500,1,-2500,-10.20408163,10.20408163
,Burnett,1.00,2010,1,5,12,2514,,,,58,1,760,2007,2010,560,58-6381-2514-,6381,760,3,-200,-26.31578947,26.31578947
,Burnett,1.00,2010,1,5,12,2514,,,,58,1,900,2007,2010,740,58-6382-2514-,6382,900,3,-160,-17.77777778,17.77777778
,Burnett,1.00,2010,1,5,12,2514,,,,58,1,480,2007,2010,430,58-6383-2514-,6383,480,3,-50,-10.41666667,10.41666667
,Calumet,1.00,2010,1,4,12,2411,,,,58,1,10700,2007,2010,8200,58-6384-2411-,6384,10700,4,-2500,-23.36448598,23.36448598
,Calumet,1.00,2010,1,4,12,2411,,,,58,1,11500,2007,2010,9000,58-6385-2411-,6385,11500,4,-2500,-21.73913043,21.73913043
,Calumet,1.00,2010,1,4,12,2411,,,,58,1,2800,2007,2010,2600,58-6386-2411-,6386,2800,4,-200,-7.142857143,7.142857143
,Calumet,1.00,2010,1,6,12,2411,,,,58,1,1200,2007,2010,1100,58-6387-2411-,6387,1200,4,-100,-8.333333333,8.333333333
,Calumet,4.00,2010,1,4,12,2388,,,,58,1,12600,2007,2010,10200,58-6388-2388-,6388,12600,3,-2400,-19.04761905,19.04761905
,Calumet,4.00,2010,1,4,12,2388,,,,58,1,10000,2007,2010,8300,58-6389-2388-,6389,10000,3,-1700,-17,17
,Calumet,4.00,2010,1,5,12,2388,,,,58,1,3100,2007,2010,2900,58-6390-2388-,6390,3100,3,-200,-6.451612903,6.451612903
,Chippewa,1.00,2011,1,5,12,3376,,,,58,1,700,2010,2011,780,58-6391-3376-,6391,700,1,80,11.42857143,11.42857143
,Chippewa,1.00,2011,1,5,12,3374,,,,58,1,700,2010,2011,720,58-6392-3374-,6392,700,1,20,2.857142857,2.857142857
,Chippewa,4.00,2011,1,4,12,2084,,,,58,1,1500,2005,2011,3700,58-6393-2084-,6393,1500,2,2200,146.6666667,146.6666667
,Chippewa,4.00,2011,1,4,12,2084,,,,58,1,1200,2005,2011,1450,58-6394-2084-,6394,1200,2,250,20.83333333,20.83333333
,Chippewa,4.00,2011,1,4,12,3531,,,,58,1,6600,2010,2011,4300,58-6395-3531-,6395,6600,1,-2300,-34.84848485,34.84848485
,Clark,1.00,2007,1,3,12,1693,,,,58,1,10900,2007,2007,12600,58-6396-1693-,6396,10900,5,1700,15.59633028,15.59633028
,Clark,1.00,2007,1,3,12,1693,,,,58,1,10200,2007,2007,11300,58-6397-1693-,6397,10200,5,1100,10.78431373,10.78431373
,Clark,1.00,2007,1,3,12,1693,,,,58,1,10500,2007,2007,11600,58-6398-1693-,6398,10500,5,1100,10.47619048,10.47619048
,Clark,1.00,2007,1,3,12,1693,,,,58,1,11200,2007,2007,11600,58-6399-1693-,6399,11200,5,400,3.571428571,3.571428571
,Clark,1.00,2007,1,3,12,1693,,,,58,1,11600,2007,2007,12000,58-6400-1693-,6400,11600,5,400,3.448275862,3.448275862
,Clark,1.00,2007,1,5,12,2298,,,,58,1,1450,2006,2007,3000,58-6401-2298-,6401,1450,3,1550,106.8965517,106.8965517
,Marathon,4.00,2007,1,5,12,2298,,,,58,1,850,2006,2007,990,58-6521-2298-,6521,850,3,140,16.47058824,16.47058824
,Taylor,1.00,2007,1,3,12,2298,,,,58,1,6900,2006,2007,6500,58-6672-2298-,6672,6900,3,-400,-5.797101449,5.797101449
,Crawford,1.00,2010,1,3,12,2621,,,,58,1,1900,2007,2010,1800,58-6402-2621-,6402,1900,1,-100,-5.263157895,5.263157895
,Dane,4.00,2009,1,5,12,2442,,,,58,1,2900,2007,2009,410,58-6403-2442-,6403,2900,1,-2490,-85.86206897,85.86206897
,Dane,4.00,2006,1,4,12,1965,,,,58,1,6400,2005,2006,4900,58-6404-1965-,6404,6400,5,-1500,-23.4375,23.4375
,Dane,4.00,2006,1,4,12,1965,,,,58,1,6600,2005,2006,5200,58-6405-1965-,6405,6600,5,-1400,-21.21212121,21.21212121
,Dane,4.00,2006,1,3,12,1965,,,,58,1,11300,2005,2006,10000,58-6407-1965-,6407,11300,5,-1300,-11.50442478,11.50442478
,Dane,4.00,2006,1,3,12,1965,,,,58,1,10300,2005,2006,10100,58-6416-1965-,6416,10300,5,-200,-1.941747573,1.941747573
,Dane,4.00,2006,1,4,12,1965,,,,58,1,4300,2005,2006,4300,58-6418-1965-,6418,4300,5,0,0,0
,Dane,4.00,2009,1,5,12,2927,,,,58,1,3600,2009,2009,2800,58-6406-2927-,6406,3600,4,-800,-22.22222222,22.22222222
,Dane,4.00,2009,1,3,12,2927,,,,58,1,6500,2009,2009,7400,58-6408-2927-,6408,6500,4,900,13.84615385,13.84615385
,Dane,4.00,2009,1,5,12,2927,,,,58,1,2200,2009,2009,2000,58-6412-2927-,6412,2200,4,-200,-9.090909091,9.090909091
,Dane,4.00,2009,1,3,12,2927,,,,58,1,5800,2009,2009,5700,58-6417-2927-,6417,5800,4,-100,-1.724137931,1.724137931
,Dane,4.00,2009,1,3,12,2345,,,,58,1,11600,2006,2009,10500,58-6409-2345-,6409,11600,3,-1100,-9.482758621,9.482758621
,Dane,4.00,2009,1,5,12,2345,,,,58,1,2500,2006,2009,2800,58-6411-2345-,6411,2500,3,300,12,12
,Dane,4.00,2009,1,3,12,2345,,,,58,1,10600,2006,2009,10300,58-6413-2345-,6413,10600,3,-300,-2.830188679,2.830188679
