PID,County,Rte,Log,FUN CLASS,Project Description,Project Type,Who,Year Forecast Made,"Forecast 
Method",Opening Year,OY ADT Forecast,Design Year,DY ADT Forecast,Notes,Near Actual Open Year,Near Open Yr Count,Recent Cnt Yr or Near DY,Recent or Near DY Count,Revised Design Year Reg.,Adj Rev DY Reg.,Physical Work Complete Date,,Methodology,State,Count Units,Toll Type,CLASS-from Func(check previous excel),Functional Class,Improment Type
12769,PIC,22,16.98,14,PIC-22-16.98,,US,2002,RC,2002,9640,2022,10930,,2003,8490,2007,9210,9872,10119,10/7/2004,,6,41,1,1,,3,12
19578,TUS,250,14.64,12,TUS-0250-17.150,,US,1999,RC,2003,21450,2023,30190,,2003,21000,2010,19760,25894,23902,#N/A,,6,41,1,1,,1,12
19578,TUS,250,17.15,12,TUS-0250-17.150,,US,1999,RC,2003,20770,2023,29380,,2003,20450,2010,18370,23538,21477,#N/A,,6,41,1,1,,1,12
19578,TUS,259,1.21,16,TUS-0250-17.150,,US,1999,RC,2003,9350,2023,12180,,2003,7420,2010,5940,7290,5934,#N/A,,6,41,1,1,,4,12
19578,TUS,259,1.38,16,TUS-0250-17.150,,US,1999,RC,2003,10320,2023,13370,,2003,12670,2010,9420,12170,10384,#N/A,,6,41,1,1,,4,12
19578,TUS,259,1.38,16,TUS-0250-17.150,,US,1999,RC,2003,11850,2023,14800,,2003,12670,2010,9420,12170,10384,#N/A,,6,41,1,1,,4,12
19578,TUS,259,0.00,17,TUS-0250-17.150,,US,1999,RC,2003,3290,2023,5760,,2003,3090,2010,2430,#VALUE!,#VALUE!,#N/A,,6,41,1,1,,5,12
75086,BEL,70,3.45,1,BEL-70-3.45,Design Designation,US,2002,RC,2003,27070,2023,34380,,2002,26700,2008,28740,36508,35996,8/25/2003,,6,41,1,1,,1,1
25377,LUC,24,1.24,2,LUC-24-3.60,,US,2002,MR,2003,11540,2023,18800,,2003,11000,2010,11210,14399,13498,11/21/2003,,6,41,1,1,,3,12
25377,LUC,24,3.60,2,LUC-24-3.60,,US,2002,MR,2003,10740,2023,17690,,2003,11670,2010,10810,16836,14059,11/21/2003,,6,41,1,1,,3,12
18473,MRG,37,8.23,6,MRG-37-8.23,Realignment,US,2002,RC,2003,4800,2023,6790,,2004,3840,2011,4090,#VALUE!,#VALUE!,9/9/2005,,6,41,1,1,,4,1
25377,LUC,295,0.00,7,LUC-24-3.60,,US,2002,MR,2003,1020,2023,1370,,2004,1440,2010,1690,2320,2282,11/21/2003,,6,41,1,1,,5,12
21452,TUS,77,13.44,11,TUS-77-20.73 (TUS-250-11.88 TO 12.79),ADDENDUM,US,2002,UNK,2003,21860,2023,30140,,2003,18550,2010,19000,25659,23574,10/1/2004,,6,41,1,1,,1,12
21452,TUS,77,20.73,11,TUS-77-20.73 (TUS-250-11.88 TO 12.79),ADDENDUM,US,2002,UNK,2003,42070,2023,59890,,2003,41360,2010,36900,51417,45895,10/1/2004,,6,41,1,1,,1,12
16964,MOT,675,3.99,11,MOT-675-3.99,,US,2002,MR,2003,62530,2023,83390,,2003,67020,2009,66090,#VALUE!,#VALUE!,11/27/2002,,6,41,1,1,,1,12
22788,STA,77,8.14,11,STA-77-8.14,,US,2002,UNK,2003,46460,2023,55790,,2003,34920,2009,34230,47201,43951,11/25/2002,,6,41,1,1,,1,12
21452,TUS,250,11.88,12,TUS-77-20.73 (TUS-250-11.88 TO 12.79),ADDENDUM,US,2002,UNK,2003,23580,2023,34900,,2003,22060,2010,10990,20312,12953,10/1/2004,,6,41,1,1,,1,12
23675,MAH,680,15.41,1,MAH-680-9.92,,US,2002,MR,2004,3070,2024,3880,,2005,3660,2008,5630,6790,7745,12/3/2005,,6,41,1,1,,1,12
20996,TUS,77,7.55,1,TUS-77-7.55,,US,2002,RC,2004,20540,2024,30400,,2003,18640,2010,17970,24965,22685,5/11/2004,,6,41,1,1,,1,12
23956,OTT,2,28.47,2,OTT-2-28.47,bridge replacement,US,2002,RC,2004,22820,2024,34460,,2003,23340,2009,18840,28848,25351,7/31/2007,,6,41,1,1,,3,1
24257,CLA,68,0.08,2,CLA-68-0.08,Design Designation,US,2002,MR,2004,7700,2024,10060,,2005,7300,2008,7030,7723,7456,10/28/2005,,6,41,1,1,,3,1
21582,BEL,7,6.11,2,BEL-7-6.11,Repaving,US,2002,UNK,2004,6550,2016,7130,,2005,6090,2008,7550,6934,7756,10/28/2004,,6,41,1,1,,3,1
24316,STA,30,31.96,2,STA-183/30-0.00/0.68/2.89/5.88/31.96,Resurfacing,US,2002,UNK,2004,7280,2024,8680,,2003,6890,2009,6470,6027,5751,7/29/2004,,6,41,1,1,,3,1
24316,STA,30,32.36,2,STA-183/30-0.00/0.68/2.89/5.88/31.96,Resurfacing,US,2002,UNK,2004,12170,2024,14510,,2003,10410,2009,10150,13878,12121,7/29/2004,,6,41,1,1,,3,1
24316,STA,30,33.39,2,STA-183/30-0.00/0.68/2.89/5.88/31.96,Resurfacing,US,2002,UNK,2004,8540,2024,10180,,2003,8020,2009,6910,8926,7707,7/29/2004,,6,41,1,1,,3,1
23569,OTT,2,0.00,2,OTT-2-1.44,,US,2002,RC,2004,6070,2024,7230,,2003,8430,2009,6200,8721,7882,11/8/2004,,6,41,1,1,,3,12
23569,OTT,2,1.44,2,OTT-2-1.44,,US,2002,RC,2004,9430,2024,11320,,2003,10790,2009,6510,7810,6158,11/8/2004,,6,41,1,1,,3,12
22398,SAN,20,10.23,2,SAN-20-11.43,,US,2002,RC,2004,16370,2024,21600,,2003,14800,2009,12330,16308,13905,10/19/2004,,6,41,1,1,,3,12
22398,SAN,20,11.43,2,SAN-20-11.43,,US,2002,RC,2004,17410,2024,22570,,2003,15690,2009,13320,15898,13818,10/19/2004,,6,41,1,1,,3,12
24178,ATB,6,22.44,6,ATB-6/6DA/7/7/193-VAR,Design Designation,US,2002,UNK,2004,7110,2024,8410,,2003,8440,2009,5000,6863,4953,5/15/2005,,6,41,1,1,,4,1
24178,ATB,6,22.50,6,ATB-6/6DA/7/7/193-VAR,Design Designation,US,2002,UNK,2004,6970,2024,8240,,2003,6160,2009,7740,7477,8154,5/15/2005,,6,41,1,1,,4,1
24178,ATB,6,22.56,6,ATB-6/6DA/7/7/193-VAR,Design Designation,US,2002,UNK,2004,3140,2024,3440,,2003,2400,2009,2010,1115,1007,5/15/2005,,6,41,1,1,,4,1
24178,ATB,7,6.98,6,ATB-6/6DA/7/7/193-VAR,Design Designation,US,2002,UNK,2004,3960,2024,4340,,2003,2900,2009,2920,1628,1749,5/15/2005,,6,41,1,1,,4,1
24178,ATB,7,14.95,6,ATB-6/6DA/7/7/193-VAR,Design Designation,US,2002,UNK,2004,2280,2024,2500,,2003,1930,2009,1620,1697,1518,5/15/2005,,6,41,1,1,,4,1
24316,STA,183,5.88,6,STA-183/30-0.00/0.68/2.89/5.88/31.96,Resurfacing,US,2002,UNK,2004,5760,2024,6870,,2003,4120,2009,4140,5306,4817,7/29/2004,,6,41,1,1,,4,1
24178,ATB,6DA,0.00,7,ATB-6/6DA/7/7/193-VAR,Design Designation,US,2002,UNK,2004,6580,2024,7790,,2003,6410,2009,5710,4856,5134,5/15/2005,,6,41,1,1,,5,1
24178,ATB,6,22.37,7,ATB-6/6DA/7/7/193-VAR,Design Designation,US,2002,UNK,2004,8630,2024,11550,,2003,8300,2009,6480,8151,6893,5/15/2005,,6,41,1,1,,5,1
24178,ATB,193,14.57,7,ATB-6/6DA/7/7/193-VAR,Design Designation,US,2002,UNK,2004,1180,2024,1290,,2003,1270,2009,930,1134,956,5/15/2005,,6,41,1,1,,5,1
24178,ATB,193,17.98,7,ATB-6/6DA/7/7/193-VAR,Design Designation,US,2002,UNK,2004,2640,2024,3120,,2003,2620,2009,2380,3676,3328,5/15/2005,,6,41,1,1,,5,1
22666,HAN,235,20.39,7,HAN-235-20.39,Design Designation,US,2002,UNK,2004,2280,2024,2720,,2004,1720,2010,1530,1778,1795,10/1/2004,,6,41,1,1,,5,1
X,ASD,511,14.94,7,ASD-511-14.94 (to 27.90),Resurfacing,US,2002,RC,2004,2200,2016,2890,,2003,2000,2009,2140,2401,2383,#N/A,,6,41,1,1,,5,1
X,ASD,511,18.19,7,ASD-511-14.94 (to 27.90),Resurfacing,US,2002,RC,2004,1970,2016,2390,,2003,1880,2009,1810,2082,1968,#N/A,,6,41,1,1,,5,1
X,ASD,511,18.54,7,ASD-511-14.94 (to 27.90),Resurfacing,US,2002,RC,2004,1730,2016,2320,,2003,1650,2009,1580,1851,1768,#N/A,,6,41,1,1,,5,1
X,ASD,511,25.35,7,ASD-511-14.94 (to 27.90),Resurfacing,US,2002,RC,2004,1570,2016,2200,,2003,1480,2009,1680,1658,1703,#N/A,,6,41,1,1,,5,1
24316,STA,183,0,7,STA-183/30-0.00/0.68/2.89/5.88/31.96,Resurfacing,US,2002,UNK,2004,4440,2024,5290,,2003,4360,2009,3540,4062,3538,7/29/2004,,6,41,1,1,,5,1
24316,STA,183,2.89,7,STA-183/30-0.00/0.68/2.89/5.88/31.96,Resurfacing,US,2002,UNK,2004,9450,2024,10300,,2003,5490,2009,4390,7452,6061,7/29/2004,,6,41,1,1,,5,1
23569,OTT,579,0.98,7,OTT-2-1.44,,US,2002,RC,2004,3400,2024,4130,,2003,4860,2009,3810,5892,4376,11/8/2004,,6,41,1,1,,5,12
22398,SAN,590,6.55,7,SAN-20-11.43,,US,2002,RC,2004,1350,2024,1910,,2003,1500,2009,1690,1805,1898,10/19/2004,,6,41,1,1,,5,12
22398,SAN,590,10.07,7,SAN-20-11.43,,US,2002,RC,2004,1890,2024,2640,,2003,1750,2009,2040,1463,1750,10/19/2004,,6,41,1,1,,5,12
23174,PAU,111,21.96,7,PAU-111-23.26,,US,2002,RC,2004,4260,2024,5950,,2003,2760,2009,2630,2773,2632,10/27/2004,,6,41,1,1,,5,12
23174,PAU,111,23.40,7,PAU-111-23.26,,US,2002,RC,2004,3290,2024,4600,,2003,2930,2009,2670,3348,3059,10/27/2004,,6,41,1,1,,5,12
23174,PAU,637,23.26,7,PAU-111-23.26,,US,2002,RC,2004,3370,2024,4690,,2003,1270,2009,1310,1161,1186,10/27/2004,,6,41,1,1,,5,12
23174,PAU,637,23.26,7,PAU-111-23.26,,US,2002,RC,2004,2830,2024,3930,,2003,1270,2009,1310,1161,1186,10/27/2004,,6,41,1,1,,5,12
22179,MAH,680,7.24,11,MAH-680-7.24,,US,2002,MR,2004,51910,2024,65630,,2005,51920,2008,48270,59340,56197,#N/A,,6,41,1,1,,1,12
22179,MAH,680,8.18,11,MAH-680-7.24,,US,2002,MR,2004,46740,2024,59100,,2005,51920,2008,48270,62712,58728,#N/A,,6,41,1,1,,1,12
22179,MAH,680,8.34,11,MAH-680-7.24,,US,2002,MR,2004,46740,2024,59100,,2005,50740,2008,46670,55166,53058,#N/A,,6,41,1,1,,1,12
23675,MAH,680,9.92,11,MAH-680-9.92,,US,2002,MR,2004,39150,2024,51270,,2005,39870,2008,38400,48186,46615,12/3/2005,,6,41,1,1,,1,12
23675,MAH,680,13.38,11,MAH-680-9.92,,US,2002,MR,2004,21090,2024,29720,,2005,20080,2008,21910,29206,28835,12/3/2005,,6,41,1,1,,1,12
21453,JEF,7,14.78,12,JEF-7-14.78,repaving,US,2002,UNK,2004,26400,2016,29200,,2005,20800,2007,23310,24999,25097,11/17/2004,,6,41,1,1,,1,1
21453,JEF,7,16.55,12,JEF-7-14.78,repaving,US,2002,UNK,2004,17700,2016,19800,,2005,16210,2007,16980,16791,17408,11/17/2004,,6,41,1,1,,1,1
21938,BUT,73,19.09,14,BUT-73-19.09,resurfacing,US,2002,UNK,2004,17980,2024,23730,,2003,13000,2007,15060,14083,14497,6/28/2004,,6,41,1,1,,3,1
21938,BUT,73,19.25,14,BUT-73-19.10,resurfacing,US,2002,UNK,2004,12790,2024,17300,,2003,11820,2007,11830,13022,12899,6/28/2004,,6,41,1,1,,3,1
22232,TRU,62,4.93,14,TRU-62-4.58,,US,2002,MR,2004,21590,2024,26970,,2005,17890,2008,19420,22974,22551,8/24/2004,,6,41,1,1,,3,12
22232,TRU,62,5.71,14,TRU-62-4.58,,US,2002,MR,2004,11890,2024,15010,,2005,10320,2008,10860,12845,12531,8/24/2004,,6,41,1,1,,3,12
22232,TRU,62,8.54,14,TRU-62-4.58,,US,2002,MR,2004,16020,2024,16490,,2005,13800,2008,13900,14787,13959,8/24/2004,,6,41,1,1,,3,12
24443,MOT,40,18.69,16,MOT-40-18.69,,US,2002,RC,2004,7470,2024,10620,,2006,6160,2009,5950,8334,7515,2/4/2005,,6,41,1,1,,4,12
75186,HAN,75,19.62,1,HAN-75-19.62,IJS,US,2003,UNK,2004,52960,2024,71610,,2004,51030,2010,47190,63669,60600,#N/A,,6,41,1,1,,1,11
20996,TUS,77,7.55,1,TUS-77-7.55,,US,2003,UNK,2004,20540,2024,30400,,2003,18640,2010,17970,24965,22685,5/11/2004,,6,41,1,1,,1,12
23366,LOR,18,0,2,LOR-0018-00.00,12-year resurfacing,US,2003,RC,2004,5250,2016,6570,,2005,3660,2008,3310,3760,3276,10/18/2005,,6,41,1,1,,3,1
23366,LOR,18,5.74,2,LOR-0018-00.00,12-year resurfacing,US,2003,RC,2004,10640,2016,11490,,2005,7060,2008,4690,5320,4167,10/18/2005,,6,41,1,1,,3,1
23366,LOR,18,7.04,2,LOR-0018-00.00,12-year resurfacing,US,2003,RC,2004,5000,2016,5540,,2005,5620,2008,4440,4390,4079,10/18/2005,,6,41,1,1,,3,1
18311,MED,18,0,2,MED-18-0.00 ,2-lane resurfacing,US,2003,MR,2004,5930,2016,6880,,2004,4530,2010,4540,4877,4726,7/18/2005,,6,41,1,1,,3,1
18311,MED,18,2.69,2,MED-18-0.00 ,2-lane resurfacing,US,2003,MR,2004,7380,2016,9060,,2004,7160,2010,6670,8529,7421,7/18/2005,,6,41,1,1,,3,1
18311,MED,18,7.78,2,MED-18-0.00 ,2-lane resurfacing,US,2003,MR,2004,11160,2016,13480,,2004,10260,2010,9310,11385,10064,7/18/2005,,6,41,1,1,,3,1
23366,LOR,58,0,6,LOR-0018-00.00,12-year resurfacing,US,2003,RC,2004,5580,2016,6620,,2005,4200,2008,3960,4457,4098,10/18/2005,,6,41,1,1,,4,1
23366,LOR,58,5.78,6,LOR-0018-00.00,12-year resurfacing,US,2003,RC,2004,9270,2016,11220,,2005,8420,2008,8660,10119,9619,10/18/2005,,6,41,1,1,,4,1
23366,LOR,58,7.23,6,LOR-0018-00.00,12-year resurfacing,US,2003,RC,2004,13660,2016,16750,,2005,11810,2008,12030,13494,12807,10/18/2005,,6,41,1,1,,4,1
24732,CAR,39,6.53,6,CAR-39-6.53,resurfacing,US,2003,RC,2004,3000,2016,3340,,2005,2540,2008,2210,2241,2145,6/9/2005,,6,41,1,1,,4,1
24732,CAR,43,22.72,6,CAR-43-22.72,resurfacing,US,2003,RC,2004,8740,2016,9740,,2005,9140,2008,8990,10182,9800,6/9/2005,,6,41,1,1,,4,1
24738,HOL,83,9.04,6,HOL-83-9.04,resurfacing,US,2003,UNK,2004,9160,2016,9700,,2004,9320,2008,9030,9595,9423,8/20/2004,,6,41,1,1,,4,1
18311,MED,57,3.24,7,MED-57-3.24,2-lane resurfacing,US,2003,MR,2004,7000,2016,7970,,2004,7610,2010,8310,8788,9000,7/18/2005,,6,41,1,1,,5,1
18311,MED,94,5.53,7,MED-94-5.53 ,2-lane resurfacing,US,2003,MR,2004,6760,2016,8170,,2004,5650,2010,6200,7270,6757,7/18/2005,,6,41,1,1,,5,1
18311,MED,94,15.16,7,MED-94-5.53 ,2-lane resurfacing,US,2003,MR,2004,12350,2016,16840,,2004,9000,2010,11570,11875,12716,7/18/2005,,6,41,1,1,,5,1
18311,MED,94,15.33,7,MED-94-5.53 ,2-lane resurfacing,US,2003,MR,2004,8760,2016,10770,,2004,3940,2010,4660,5420,5070,7/18/2005,,6,41,1,1,,5,1
X,CLE,232,10.54,7,CLE-232-10.54,Design Designation,US,2003,UNK,2004,3320,2024,4160,,2003,3010,2011,2800,3476,3174,#N/A,,6,41,1,1,,5,1
24732,CAR,542,0,7,CAR-542-0.00,resurfacing,US,2003,RC,2004,1540,2016,1720,,2005,1370,2008,1450,1701,1612,6/9/2005,,6,41,1,1,,5,1
24738,HOL,60,4.93,7,HOL-60-4.93,resurfacing,US,2003,UNK,2004,1070,2016,1190,,2004,1360,2008,1220,1408,1347,8/20/2004,,6,41,1,1,,5,1
25154,MOT,675,2.99,11,MOT-675-2.99 ,bridge repair,US,2003,UNK,2004,61870,2024,75450,,2003,67020,2009,66090,#VALUE!,#VALUE!,8/19/2004,,6,41,1,1,,1,1
25154,MOT,675,6.14,11,MOT-675-2.99 ,bridge repair,US,2003,UNK,2004,97990,2024,108410,,2003,66450,2009,66090,#VALUE!,#VALUE!,8/19/2004,,6,41,1,1,,1,1
,CUY,71,5.21,11,CUY-71-6.68 ,IMS,US,2003,MR,2004,88310,2024,104720,,2003,92550,2010,93650,114967,110838,#N/A,,6,41,1,1,,1,11
,CUY,71,5.52,11,CUY-71-6.68 ,IMS,US,2003,MR,2004,99150,2024,112650,,2003,108520,2010,104340,132736,123498,#N/A,,6,41,1,1,,1,11
,CUY,71,6.68,11,CUY-71-6.68 ,IMS,US,2003,MR,2004,111280,2024,123940,,2003,116790,2010,110160,141385,129842,#N/A,,6,41,1,1,,1,11
,CUY,71,8.84,11,CUY-71-6.68 ,IMS,US,2003,MR,2004,114080,2024,124140,,2003,119890,2010,114050,150333,136653,#N/A,,6,41,1,1,,1,11
25159,MIA,75,3.74,11,MIA-75-3.74/4.90 ,structure repair,US,2003,MR,2004,64940,2024,80560,,2004,63900,2009,59680,86963,79404,8/6/2004,,6,41,1,1,,1,1
25159,MIA,75,4.9,11,MIA-75-3.74/4.90 ,structure repair,US,2003,MR,2004,64130,2024,80970,,2004,65220,2009,58340,87131,78566,8/6/2004,,6,41,1,1,,1,1
18311,MED,18,13.25,14,MED-18-13.33 ,2-lane resurfacing,US,2003,MR,2004,20380,2016,23930,,2004,17500,2010,17540,18737,17705,7/18/2005,,6,41,1,1,,3,1
23029,JEF,43,2.8,14,JEF-43-2.80 ,intersection improvement,US,2003,MR,2004,21200,2024,23590,,2005,19800,2007,19610,14706,14297,#N/A,,6,41,1,1,,3,2
23029,JEF,43,2.8,14,JEF-43-2.80 ,intersection improvement,US,2003,MR,2004,20770,2024,23080,,2005,16240,2007,16360,5732,6866,#N/A,,6,41,1,1,,3,2
75078,MOT,35,9.7,14,MOT-35-9.70,reconstruction,US,2003,MR,2004,12490,2024,15910,,2006,10260,2009,10350,11899,10173,#N/A,,6,41,1,1,,3,3
24771,JEF,43,0.92,14,JEF-43-1.06,reconstruction,US,2003,MR,2004,16500,2024,18750,,2005,16000,2007,16060,11383,10902,#N/A,,6,41,1,1,,3,3
24771,JEF,43,1.06,14,JEF-43-1.06,reconstruction,US,2003,MR,2004,20280,2024,23010,,2005,16000,2007,16060,11383,10902,#N/A,,6,41,1,1,,3,3
75077,MOT,35,9.2,14,MOT-35-9.20 ,resurfacing,US,2003,MR,2004,12490,2024,15910,,2006,10260,2009,10350,13526,11270,#N/A,,6,41,1,1,,3,1
77057,SAN,20,21.50,14,SAN-20-21.90-Signal-@-20/19,signal installation,US,2003,RC,2004,23590,2024,31000,,2006,17770,2009,17930,20128,18173,7/10/2004,,6,41,1,1,,3,12
77057,SAN,20,21.92,14,SAN-20-21.90-Signal-@-20/19,signal installation,US,2003,RC,2004,21820,2024,28940,,2006,17830,2009,17520,21358,19712,7/10/2004,,6,41,1,1,,3,12
18311,MED,57,10.02,16,MED-57-3.24,2-lane resurfacing,US,2003,MR,2004,8400,2016,10540,,2004,8490,2010,8040,9208,8659,7/18/2005,,6,41,1,1,,4,1
25369,CLE,48,3.98,16,CLE-48-3.98,slide area,US,2003,MR,2004,6100,2024,6690,,2003,6840,2006,6380,8756,8371,11/15/2005,,6,41,1,1,,4,1
77057,SAN,19,0.50,17,SAN-20-21.90-Signal-@-20/19,signal installation,US,2003,RC,2004,2650,2024,3010,,2006,2070,2009,2190,135,587,7/10/2004,,6,41,1,1,,5,12
20236,WAR,71,8.42,1,WAR-123-9.45,IMS,US,2004,MR,2004,40720,2024,61940,,2006,39990,2010,36130,48697,44030,7/29/2004,,6,41,1,1,,1,11
20236,WAR,71,12.65,1,WAR-123-9.45,IMS,US,2004,MR,2004,40690,2024,61230,,2006,40130,2010,36520,48771,44281,7/29/2004,,6,41,1,1,,1,11
77688,COL,45,0.9,7,COL-45-0.900,design designation,US,2004,RC,2004,3950,2024,5250,,2003,3880,2009,3310,4093,3648,#N/A,,6,41,1,1,,5,1
20236,WAR,123,14.81,7,WAR-123-9.45,IMS,US,2004,MR,2004,8900,2024,12800,,2006,7020,2010,7270,9814,9117,7/29/2004,,6,41,1,1,,5,11
20236,WAR,123,14.97,7,WAR-123-9.45,IMS,US,2004,MR,2004,8210,2024,13070,,2006,7230,2010,7890,10239,9925,7/29/2004,,6,41,1,1,,5,11
23586,RIC,314,0.00,7,RIC-0314-00.00,resurfacing,US,2004,UNK,2004,4490,2016,5370,,2005,3850,2008,3490,4865,4155,9/20/2004,,6,41,1,1,,5,1
23586,RIC,314,5.03,7,RIC-0314-00.00,resurfacing,US,2004,UNK,2004,2450,2016,2800,,2005,2490,2008,2440,2914,2746,9/20/2004,,6,41,1,1,,5,1
20424,DEL,23,0.00,14,DEL-23 HES,Safety,US,2004,MR,2004,45820,2024,58450,,2004,43330,2008,40940,52718,50786,#N/A,,6,41,1,1,,3,1
20424,DEL,23,1.39,14,DEL-23 HES,Safety,US,2004,MR,2004,44940,2024,57570,,2004,34150,2008,31500,37963,36042,#N/A,,6,41,1,1,,3,1
20424,DEL,23,1.39,14,DEL-23 HES,Safety,US,2004,MR,2004,41360,2024,60010,,2004,34150,2008,31500,37963,36042,#N/A,,6,41,1,1,,3,1
20424,DEL,23,1.39,14,DEL-23 HES,Safety,US,2004,MR,2004,40620,2024,59270,,2004,34150,2008,31500,37963,36042,#N/A,,6,41,1,1,,3,1
20424,DEL,23,1.39,14,DEL-23 HES,Safety,US,2004,MR,2004,43320,2024,61970,,2004,34150,2008,31500,37963,36042,#N/A,,6,41,1,1,,3,1
20424,DEL,23,1.39,14,DEL-23 HES,Safety,US,2004,MR,2004,39180,2024,64700,,2004,34150,2008,31500,37963,36042,#N/A,,6,41,1,1,,3,1
20424,DEL,23,1.39,14,DEL-23 HES,Safety,US,2004,MR,2004,33680,2024,58930,,2004,34150,2008,31500,37963,36042,#N/A,,6,41,1,1,,3,1
75395,CUY,14,11.35,14,CUY-14-11.35,design designation,US,2006,MR,2004,13800,2024,14760,,2003,13710,2010,12450,13646,12923,#N/A,,6,41,1,1,,3,1
24794,NOB,77,4.08,1,NOB-77-4.08,bridge replacements,US,2002,UNK,2005,15130,2025,22700,,2004,15580,2008,15190,22367,21223,8/25/2004,,6,41,1,1,,1,1
24794,NOB,77,11.08,1,NOB-77-4.08,bridge replacements,US,2002,UNK,2005,17250,2025,26240,,2004,17800,2008,17340,26369,24881,8/25/2004,,6,41,1,1,,1,1
24794,NOB,77,11.19,1,NOB-77-4.08,bridge replacements,US,2002,UNK,2005,15530,2025,24300,,2004,18020,2008,17770,25893,24657,8/25/2004,,6,41,1,1,,1,1
23823,CLA,70,25.11,1,CLA-70-25.11 ,LANE ADDITION,US,2002,RC,2005,47720,2025,67110,,2005,53130,2008,46570,67884,63502,#N/A,,6,41,1,1,,1,3
19971,GAL,7,30.5,2,GAL-7-30.50,landslide repair,US,2002,UNK,2005,12140,2025,14590,,2006,9850,2009,9920,12549,11511,#N/A,,6,41,1,1,,3,1
19181,GEA,422,18.31,2,GEA-422-18.31,,US,2002,MR,2005,14460,2025,17920,,2004,12340,2007,11140,19535,17520,12/4/2009,,6,41,1,1,,3,12
19468,TUS,250,5.21,2,TUS-250-5.21,,US,2002,UNK,2005,14610,2025,18800,,2006,14470,2010,12990,16703,14298,#N/A,,6,41,1,1,,3,12
19580,TUS,250,1.38,2,TUS-250-2.22,,US,2002,RC,2005,8100,2025,11260,,2006,7490,2010,6520,8925,7941,#N/A,,6,41,1,1,,3,12
19580,TUS,250,2.22,2,TUS-250-2.22,,US,2002,RC,2005,13670,2025,17990,,2006,11900,2010,11170,14426,13116,#N/A,,6,41,1,1,,3,12
19580,TUS,250,2.22,2,TUS-250-2.22,,US,2002,RC,2005,7280,2025,8770,,2006,5200,2010,5740,6341,6227,#N/A,,6,41,1,1,,3,12
