Project ID,Count ID,InternalProjectID,YEAR TYPE,StationID,Year,Actual AADT,Proj AADT,AADTDifference,AADT%Change,y
41-33-21452-TUS-77-20.73 (TUS-250-11.88 TO 12.79),41-14024-,21452,3-Design Year,,2023,"10,990","34,900","23,910",217.56%,0.31
41-34-23675-MAH-680-9.92,41-14025-,23675,1-Opening Year,,2004,"3,660","3,070",-590,-16.12%,1.19
41-34-23675-MAH-680-9.92,41-14026-,23675,3-Design Year,,2024,"5,630","3,880","-1,750",-31.08%,1.45
41-35-20996-TUS-77-7.55,41-14027-,20996,1-Opening Year,,2004,"18,640","20,540","1,900",10.19%,0.91
41-35-20996-TUS-77-7.55,41-14028-,20996,3-Design Year,,2024,"17,970","30,400","12,430",69.17%,0.59
41-36-23956-OTT-2-28.47,41-14029-,23956,1-Opening Year,,2004,"23,340","22,820",-520,-2.23%,1.02
41-36-23956-OTT-2-28.47,41-14030-,23956,3-Design Year,,2024,"18,840","34,460","15,620",82.91%,0.55
41-37-24257-CLA-68-0.08,41-14031-,24257,1-Opening Year,,2004,"7,300","7,700",400,5.48%,0.95
41-37-24257-CLA-68-0.08,41-14032-,24257,3-Design Year,,2024,"7,030","10,060","3,030",43.10%,0.70
41-38-21582-BEL-7-6.11,41-14033-,21582,1-Opening Year,,2004,"6,090","6,550",460,7.55%,0.93
41-38-21582-BEL-7-6.11,41-14034-,21582,3-Design Year,,2016,"7,550","7,130",-420,-5.56%,1.06
41-39-24316-STA-183/30-0.00/0.68/2.89/5.88/31.96,41-14035-,24316,1-Opening Year,,2004,"6,890","7,280",390,5.66%,0.95
41-39-24316-STA-183/30-0.00/0.68/2.89/5.88/31.96,41-14036-,24316,3-Design Year,,2024,"6,470","8,680","2,210",34.16%,0.75
41-40-24316-STA-183/30-0.00/0.68/2.89/5.88/31.96,41-14037-,24316,1-Opening Year,,2004,"10,410","12,170","1,760",16.91%,0.86
41-40-24316-STA-183/30-0.00/0.68/2.89/5.88/31.96,41-14038-,24316,3-Design Year,,2024,"10,150","14,510","4,360",42.96%,0.70
41-41-24316-STA-183/30-0.00/0.68/2.89/5.88/31.96,41-14039-,24316,1-Opening Year,,2004,"8,020","8,540",520,6.48%,0.94
41-41-24316-STA-183/30-0.00/0.68/2.89/5.88/31.96,41-14040-,24316,3-Design Year,,2024,"6,910","10,180","3,270",47.32%,0.68
41-42-23569-OTT-2-1.44,41-14041-,23569,1-Opening Year,,2004,"8,430","6,070","-2,360",-28.00%,1.39
41-42-23569-OTT-2-1.44,41-14042-,23569,3-Design Year,,2024,"6,200","7,230","1,030",16.61%,0.86
41-43-23569-OTT-2-1.44,41-14043-,23569,1-Opening Year,,2004,"10,790","9,430","-1,360",-12.60%,1.14
41-43-23569-OTT-2-1.44,41-14044-,23569,3-Design Year,,2024,"6,510","11,320","4,810",73.89%,0.58
41-44-22398-SAN-20-11.43,41-14045-,22398,1-Opening Year,,2004,"14,800","16,370","1,570",10.61%,0.90
41-44-22398-SAN-20-11.43,41-14046-,22398,3-Design Year,,2024,"12,330","21,600","9,270",75.18%,0.57
41-45-22398-SAN-20-11.43,41-14047-,22398,1-Opening Year,,2004,"15,690","17,410","1,720",10.96%,0.90
41-45-22398-SAN-20-11.43,41-14048-,22398,3-Design Year,,2024,"13,320","22,570","9,250",69.44%,0.59
41-46-24178-ATB-6/6DA/7/7/193-VAR,41-14049-,24178,1-Opening Year,,2004,"8,440","7,110","-1,330",-15.76%,1.19
41-46-24178-ATB-6/6DA/7/7/193-VAR,41-14050-,24178,3-Design Year,,2024,"5,000","8,410","3,410",68.20%,0.59
41-47-24178-ATB-6/6DA/7/7/193-VAR,41-14051-,24178,1-Opening Year,,2004,"6,160","6,970",810,13.15%,0.88
41-47-24178-ATB-6/6DA/7/7/193-VAR,41-14052-,24178,3-Design Year,,2024,"7,740","8,240",500,6.46%,0.94
41-48-24178-ATB-6/6DA/7/7/193-VAR,41-14053-,24178,1-Opening Year,,2004,"2,400","3,140",740,30.83%,0.76
41-48-24178-ATB-6/6DA/7/7/193-VAR,41-14054-,24178,3-Design Year,,2024,"2,010","3,440","1,430",71.14%,0.58
41-49-24178-ATB-6/6DA/7/7/193-VAR,41-14055-,24178,1-Opening Year,,2004,"2,900","3,960","1,060",36.55%,0.73
41-49-24178-ATB-6/6DA/7/7/193-VAR,41-14056-,24178,3-Design Year,,2024,"2,920","4,340","1,420",48.63%,0.67
41-50-24178-ATB-6/6DA/7/7/193-VAR,41-14057-,24178,1-Opening Year,,2004,"1,930","2,280",350,18.13%,0.85
41-50-24178-ATB-6/6DA/7/7/193-VAR,41-14058-,24178,3-Design Year,,2024,"1,620","2,500",880,54.32%,0.65
41-51-24316-STA-183/30-0.00/0.68/2.89/5.88/31.96,41-14059-,24316,1-Opening Year,,2004,"4,120","5,760","1,640",39.81%,0.72
41-51-24316-STA-183/30-0.00/0.68/2.89/5.88/31.96,41-14060-,24316,3-Design Year,,2024,"4,140","6,870","2,730",65.94%,0.60
41-52-24178-ATB-6/6DA/7/7/193-VAR,41-14061-,24178,1-Opening Year,,2004,"6,410","6,580",170,2.65%,0.97
41-52-24178-ATB-6/6DA/7/7/193-VAR,41-14062-,24178,3-Design Year,,2024,"5,710","7,790","2,080",36.43%,0.73
41-53-24178-ATB-6/6DA/7/7/193-VAR,41-14063-,24178,1-Opening Year,,2004,"8,300","8,630",330,3.98%,0.96
41-53-24178-ATB-6/6DA/7/7/193-VAR,41-14064-,24178,3-Design Year,,2024,"6,480","11,550","5,070",78.24%,0.56
41-54-24178-ATB-6/6DA/7/7/193-VAR,41-14065-,24178,1-Opening Year,,2004,"1,270","1,180",-90,-7.09%,1.08
41-54-24178-ATB-6/6DA/7/7/193-VAR,41-14066-,24178,3-Design Year,,2024,930,"1,290",360,38.71%,0.72
41-55-24178-ATB-6/6DA/7/7/193-VAR,41-14067-,24178,1-Opening Year,,2004,"2,620","2,640",20,0.76%,0.99
41-55-24178-ATB-6/6DA/7/7/193-VAR,41-14068-,24178,3-Design Year,,2024,"2,380","3,120",740,31.09%,0.76
41-56-22666-HAN-235-20.39,41-14069-,22666,1-Opening Year,,2004,"1,720","2,280",560,32.56%,0.75
41-56-22666-HAN-235-20.39,41-14070-,22666,3-Design Year,,2024,"1,530","2,720","1,190",77.78%,0.56
41-57-X-ASD-511-14.94 (to 27.90),41-14071-,X,1-Opening Year,,2004,"2,000","2,200",200,10.00%,0.91
41-57-X-ASD-511-14.94 (to 27.90),41-14072-,X,3-Design Year,,2016,"2,140","2,890",750,35.05%,0.74
41-58-X-ASD-511-14.94 (to 27.90),41-14073-,X,1-Opening Year,,2004,"1,880","1,970",90,4.79%,0.95
41-58-X-ASD-511-14.94 (to 27.90),41-14074-,X,3-Design Year,,2016,"1,810","2,390",580,32.04%,0.76
41-59-X-ASD-511-14.94 (to 27.90),41-14075-,X,1-Opening Year,,2004,"1,650","1,730",80,4.85%,0.95
41-59-X-ASD-511-14.94 (to 27.90),41-14076-,X,3-Design Year,,2016,"1,580","2,320",740,46.84%,0.68
41-60-X-ASD-511-14.94 (to 27.90),41-14077-,X,1-Opening Year,,2004,"1,480","1,570",90,6.08%,0.94
41-60-X-ASD-511-14.94 (to 27.90),41-14078-,X,3-Design Year,,2016,"1,680","2,200",520,30.95%,0.76
41-61-24316-STA-183/30-0.00/0.68/2.89/5.88/31.96,41-14079-,24316,1-Opening Year,,2004,"4,360","4,440",80,1.83%,0.98
41-61-24316-STA-183/30-0.00/0.68/2.89/5.88/31.96,41-14080-,24316,3-Design Year,,2024,"3,540","5,290","1,750",49.44%,0.67
41-62-24316-STA-183/30-0.00/0.68/2.89/5.88/31.96,41-14081-,24316,1-Opening Year,,2004,"5,490","9,450","3,960",72.13%,0.58
41-62-24316-STA-183/30-0.00/0.68/2.89/5.88/31.96,41-14082-,24316,3-Design Year,,2024,"4,390","10,300","5,910",134.62%,0.43
41-63-23569-OTT-2-1.44,41-14083-,23569,1-Opening Year,,2004,"4,860","3,400","-1,460",-30.04%,1.43
41-63-23569-OTT-2-1.44,41-14084-,23569,3-Design Year,,2024,"3,810","4,130",320,8.40%,0.92
41-64-22398-SAN-20-11.43,41-14085-,22398,1-Opening Year,,2004,"1,500","1,350",-150,-10.00%,1.11
41-64-22398-SAN-20-11.43,41-14086-,22398,3-Design Year,,2024,"1,690","1,910",220,13.02%,0.88
41-65-22398-SAN-20-11.43,41-14087-,22398,1-Opening Year,,2004,"1,750","1,890",140,8.00%,0.93
41-65-22398-SAN-20-11.43,41-14088-,22398,3-Design Year,,2024,"2,040","2,640",600,29.41%,0.77
41-66-23174-PAU-111-23.26,41-14089-,23174,1-Opening Year,,2004,"2,760","4,260","1,500",54.35%,0.65
41-66-23174-PAU-111-23.26,41-14090-,23174,3-Design Year,,2024,"2,630","5,950","3,320",126.24%,0.44
41-67-23174-PAU-111-23.26,41-14091-,23174,1-Opening Year,,2004,"2,930","3,290",360,12.29%,0.89
41-67-23174-PAU-111-23.26,41-14092-,23174,3-Design Year,,2024,"2,670","4,600","1,930",72.28%,0.58
41-68-23174-PAU-111-23.26,41-14093-,23174,1-Opening Year,,2004,"1,270","3,370","2,100",165.35%,0.38
41-68-23174-PAU-111-23.26,41-14094-,23174,3-Design Year,,2024,"1,310","4,690","3,380",258.02%,0.28
41-69-23174-PAU-111-23.26,41-14095-,23174,1-Opening Year,,2004,"1,270","2,830","1,560",122.83%,0.45
41-69-23174-PAU-111-23.26,41-14096-,23174,3-Design Year,,2024,"1,310","3,930","2,620",200.00%,0.33
41-70-22179-MAH-680-7.24,41-14097-,22179,1-Opening Year,,2004,"51,920","51,910",-10,-0.02%,1.00
41-70-22179-MAH-680-7.24,41-14098-,22179,3-Design Year,,2024,"48,270","65,630","17,360",35.96%,0.74
41-71-22179-MAH-680-7.24,41-14099-,22179,1-Opening Year,,2004,"51,920","46,740","-5,180",-9.98%,1.11
41-71-22179-MAH-680-7.24,41-14100-,22179,3-Design Year,,2024,"48,270","59,100","10,830",22.44%,0.82
41-72-22179-MAH-680-7.24,41-14101-,22179,1-Opening Year,,2004,"50,740","46,740","-4,000",-7.88%,1.09
41-72-22179-MAH-680-7.24,41-14102-,22179,3-Design Year,,2024,"46,670","59,100","12,430",26.63%,0.79
41-73-23675-MAH-680-9.92,41-14103-,23675,1-Opening Year,,2004,"39,870","39,150",-720,-1.81%,1.02
41-73-23675-MAH-680-9.92,41-14104-,23675,3-Design Year,,2024,"38,400","51,270","12,870",33.52%,0.75
41-74-23675-MAH-680-9.92,41-14105-,23675,1-Opening Year,,2004,"20,080","21,090","1,010",5.03%,0.95
41-74-23675-MAH-680-9.92,41-14106-,23675,3-Design Year,,2024,"21,910","29,720","7,810",35.65%,0.74
41-75-21453-JEF-7-14.78,41-14107-,21453,1-Opening Year,,2004,"20,800","26,400","5,600",26.92%,0.79
41-75-21453-JEF-7-14.78,41-14108-,21453,3-Design Year,,2016,"23,310","29,200","5,890",25.27%,0.80
41-76-21453-JEF-7-14.78,41-14109-,21453,1-Opening Year,,2004,"16,210","17,700","1,490",9.19%,0.92
41-76-21453-JEF-7-14.78,41-14110-,21453,3-Design Year,,2016,"16,980","19,800","2,820",16.61%,0.86
41-77-21938-BUT-73-19.09,41-14111-,21938,1-Opening Year,,2004,"13,000","17,980","4,980",38.31%,0.72
41-77-21938-BUT-73-19.09,41-14112-,21938,3-Design Year,,2024,"15,060","23,730","8,670",57.57%,0.63
41-78-21938-BUT-73-19.10,41-14113-,21938,1-Opening Year,,2004,"11,820","12,790",970,8.21%,0.92
41-78-21938-BUT-73-19.10,41-14114-,21938,3-Design Year,,2024,"11,830","17,300","5,470",46.24%,0.68
41-79-22232-TRU-62-4.58,41-14115-,22232,1-Opening Year,,2004,"17,890","21,590","3,700",20.68%,0.83
41-79-22232-TRU-62-4.58,41-14116-,22232,3-Design Year,,2024,"19,420","26,970","7,550",38.88%,0.72
41-80-22232-TRU-62-4.58,41-14117-,22232,1-Opening Year,,2004,"10,320","11,890","1,570",15.21%,0.87
41-80-22232-TRU-62-4.58,41-14118-,22232,3-Design Year,,2024,"10,860","15,010","4,150",38.21%,0.72
41-81-22232-TRU-62-4.58,41-14119-,22232,1-Opening Year,,2004,"13,800","16,020","2,220",16.09%,0.86
41-81-22232-TRU-62-4.58,41-14120-,22232,3-Design Year,,2024,"13,900","16,490","2,590",18.63%,0.84
41-82-24443-MOT-40-18.69,41-14121-,24443,1-Opening Year,,2004,"6,160","7,470","1,310",21.27%,0.82
41-82-24443-MOT-40-18.69,41-14122-,24443,3-Design Year,,2024,"5,950","10,620","4,670",78.49%,0.56
41-83-75186-HAN-75-19.62,41-14123-,75186,1-Opening Year,,2004,"51,030","52,960","1,930",3.78%,0.96
41-83-75186-HAN-75-19.62,41-14124-,75186,3-Design Year,,2024,"47,190","71,610","24,420",51.75%,0.66
41-84-20996-TUS-77-7.55,41-14125-,20996,1-Opening Year,,2004,"18,640","20,540","1,900",10.19%,0.91
41-84-20996-TUS-77-7.55,41-14126-,20996,3-Design Year,,2024,"17,970","30,400","12,430",69.17%,0.59
41-85-23366-LOR-0018-00.00,41-14127-,23366,1-Opening Year,,2004,"3,660","5,250","1,590",43.44%,0.70
41-85-23366-LOR-0018-00.00,41-14128-,23366,3-Design Year,,2016,"3,310","6,570","3,260",98.49%,0.50
41-86-23366-LOR-0018-00.00,41-14129-,23366,1-Opening Year,,2004,"7,060","10,640","3,580",50.71%,0.66
41-86-23366-LOR-0018-00.00,41-14130-,23366,3-Design Year,,2016,"4,690","11,490","6,800",144.99%,0.41
41-87-23366-LOR-0018-00.00,41-14131-,23366,1-Opening Year,,2004,"5,620","5,000",-620,-11.03%,1.12
41-87-23366-LOR-0018-00.00,41-14132-,23366,3-Design Year,,2016,"4,440","5,540","1,100",24.77%,0.80
41-88-18311-MED-18-0.00,41-14133-,18311,1-Opening Year,,2004,"4,530","5,930","1,400",30.91%,0.76
41-88-18311-MED-18-0.00,41-14134-,18311,3-Design Year,,2016,"4,540","6,880","2,340",51.54%,0.66
41-89-18311-MED-18-0.00,41-14135-,18311,1-Opening Year,,2004,"7,160","7,380",220,3.07%,0.97
41-89-18311-MED-18-0.00,41-14136-,18311,3-Design Year,,2016,"6,670","9,060","2,390",35.83%,0.74
41-90-18311-MED-18-0.00,41-14137-,18311,1-Opening Year,,2004,"10,260","11,160",900,8.77%,0.92
41-90-18311-MED-18-0.00,41-14138-,18311,3-Design Year,,2016,"9,310","13,480","4,170",44.79%,0.69
41-91-23366-LOR-0018-00.00,41-14139-,23366,1-Opening Year,,2004,"4,200","5,580","1,380",32.86%,0.75
41-91-23366-LOR-0018-00.00,41-14140-,23366,3-Design Year,,2016,"3,960","6,620","2,660",67.17%,0.60
41-92-23366-LOR-0018-00.00,41-14141-,23366,1-Opening Year,,2004,"8,420","9,270",850,10.10%,0.91
41-92-23366-LOR-0018-00.00,41-14142-,23366,3-Design Year,,2016,"8,660","11,220","2,560",29.56%,0.77
41-93-23366-LOR-0018-00.00,41-14143-,23366,1-Opening Year,,2004,"11,810","13,660","1,850",15.66%,0.86
41-93-23366-LOR-0018-00.00,41-14144-,23366,3-Design Year,,2016,"12,030","16,750","4,720",39.24%,0.72
41-94-24732-CAR-39-6.53,41-14145-,24732,1-Opening Year,,2004,"2,540","3,000",460,18.11%,0.85
41-94-24732-CAR-39-6.53,41-14146-,24732,3-Design Year,,2016,"2,210","3,340","1,130",51.13%,0.66
41-95-24732-CAR-43-22.72,41-14147-,24732,1-Opening Year,,2004,"9,140","8,740",-400,-4.38%,1.05
41-95-24732-CAR-43-22.72,41-14148-,24732,3-Design Year,,2016,"8,990","9,740",750,8.34%,0.92
41-96-24738-HOL-83-9.04,41-14149-,24738,1-Opening Year,,2004,"9,320","9,160",-160,-1.72%,1.02
41-96-24738-HOL-83-9.04,41-14150-,24738,3-Design Year,,2016,"9,030","9,700",670,7.42%,0.93
41-97-18311-MED-57-3.24,41-14151-,18311,1-Opening Year,,2004,"7,610","7,000",-610,-8.02%,1.09
41-97-18311-MED-57-3.24,41-14152-,18311,3-Design Year,,2016,"8,310","7,970",-340,-4.09%,1.04
41-98-18311-MED-94-5.53,41-14153-,18311,1-Opening Year,,2004,"5,650","6,760","1,110",19.65%,0.84
41-98-18311-MED-94-5.53,41-14154-,18311,3-Design Year,,2016,"6,200","8,170","1,970",31.77%,0.76
41-99-18311-MED-94-5.53,41-14155-,18311,1-Opening Year,,2004,"9,000","12,350","3,350",37.22%,0.73
41-99-18311-MED-94-5.53,41-14156-,18311,3-Design Year,,2016,"11,570","16,840","5,270",45.55%,0.69
41-100-18311-MED-94-5.53,41-14157-,18311,1-Opening Year,,2004,"3,940","8,760","4,820",122.34%,0.45
41-100-18311-MED-94-5.53,41-14158-,18311,3-Design Year,,2016,"4,660","10,770","6,110",131.12%,0.43
41-101-X-CLE-232-10.54,41-14159-,X,1-Opening Year,,2004,"3,010","3,320",310,10.30%,0.91
41-101-X-CLE-232-10.54,41-14160-,X,3-Design Year,,2024,"2,800","4,160","1,360",48.57%,0.67
41-102-24732-CAR-542-0.00,41-14161-,24732,1-Opening Year,,2004,"1,370","1,540",170,12.41%,0.89
41-102-24732-CAR-542-0.00,41-14162-,24732,3-Design Year,,2016,"1,450","1,720",270,18.62%,0.84
41-103-24738-HOL-60-4.93,41-14163-,24738,1-Opening Year,,2004,"1,360","1,070",-290,-21.32%,1.27
41-103-24738-HOL-60-4.93,41-14164-,24738,3-Design Year,,2016,"1,220","1,190",-30,-2.46%,1.03
41-104-25154-MOT-675-2.99,41-14165-,25154,1-Opening Year,,2004,"67,020","61,870","-5,150",-7.68%,1.08
41-104-25154-MOT-675-2.99,41-14166-,25154,3-Design Year,,2024,"66,090","75,450","9,360",14.16%,0.88
41-105-25154-MOT-675-2.99,41-14167-,25154,1-Opening Year,,2004,"66,450","97,990","31,540",47.46%,0.68
41-105-25154-MOT-675-2.99,41-14168-,25154,3-Design Year,,2024,"66,090","108,410","42,320",64.03%,0.61
41-106--CUY-71-6.68,41-14169-,,1-Opening Year,,2004,"92,550","88,310","-4,240",-4.58%,1.05
41-106--CUY-71-6.68,41-14170-,,3-Design Year,,2024,"93,650","104,720","11,070",11.82%,0.89
41-107--CUY-71-6.68,41-14171-,,1-Opening Year,,2004,"108,520","99,150","-9,370",-8.63%,1.09
41-107--CUY-71-6.68,41-14172-,,3-Design Year,,2024,"104,340","112,650","8,310",7.96%,0.93
41-108--CUY-71-6.68,41-14173-,,1-Opening Year,,2004,"116,790","111,280","-5,510",-4.72%,1.05
41-108--CUY-71-6.68,41-14174-,,3-Design Year,,2024,"110,160","123,940","13,780",12.51%,0.89
41-109--CUY-71-6.68,41-14175-,,1-Opening Year,,2004,"119,890","114,080","-5,810",-4.85%,1.05
41-109--CUY-71-6.68,41-14176-,,3-Design Year,,2024,"114,050","124,140","10,090",8.85%,0.92
41-110-25159-MIA-75-3.74/4.90,41-14177-,25159,1-Opening Year,,2004,"63,900","64,940","1,040",1.63%,0.98
41-110-25159-MIA-75-3.74/4.90,41-14178-,25159,3-Design Year,,2024,"59,680","80,560","20,880",34.99%,0.74
41-111-25159-MIA-75-3.74/4.90,41-14179-,25159,1-Opening Year,,2004,"65,220","64,130","-1,090",-1.67%,1.02
41-111-25159-MIA-75-3.74/4.90,41-14180-,25159,3-Design Year,,2024,"58,340","80,970","22,630",38.79%,0.72
41-112-18311-MED-18-13.33,41-14181-,18311,1-Opening Year,,2004,"17,500","20,380","2,880",16.46%,0.86
41-112-18311-MED-18-13.33,41-14182-,18311,3-Design Year,,2016,"17,540","23,930","6,390",36.43%,0.73
41-113-23029-JEF-43-2.80,41-14183-,23029,1-Opening Year,,2004,"19,800","21,200","1,400",7.07%,0.93
41-113-23029-JEF-43-2.80,41-14184-,23029,3-Design Year,,2024,"19,610","23,590","3,980",20.30%,0.83
