AdjustedForecast,BriefDescription,Count,County,ForecastMethodology,ForecastYear,ForecastYearType,FunctionalClass,ImprovementType,InternalProjectID,Length_miles,SegmentDescription,SegmentID,State,TollType,TrafficForecast,YearForecastProduced,Year_ofObservation,main_ProjectInformation_ProjectID,main_TrafficForecast_ProjectID,Error,PercentError,AbsPE
14200,,12900,Waukesha,1,2006,1,3,12,2064,,,,58,1,14200,2005,2006,58-6252-2064-,6252,-1300,-9.154929577,9.154929577
9400,,8500,Waukesha,1,2009,1,3,12,2256,,,,58,1,9400,2006,2009,58-6253-2256-,6253,-900,-9.574468085,9.574468085
7900,,5800,Waukesha,1,2009,1,4,12,1745,,,,58,1,7900,2007,2009,58-6254-1745-,6254,-2100,-26.58227848,26.58227848
5350,,5400,Waukesha,1,2009,1,4,12,1745,,,,58,1,5350,2007,2009,58-6255-1745-,6255,50,0.934579439,0.934579439
3500,,3700,Waukesha,1,2009,1,4,12,1745,,,,58,1,3500,2007,2009,58-6256-1745-,6256,200,5.714285714,5.714285714
3850,,3500,Waukesha,1,2009,1,4,12,1745,,,,58,1,3850,2007,2009,58-6257-1745-,6257,-350,-9.090909091,9.090909091
30100,,30000,Waukesha,1,2009,1,3,12,2137,,,,58,1,30100,2006,2009,58-6258-2137-,6258,-100,-0.332225914,0.332225914
33800,,37200,Waukesha,1,2009,1,3,12,2137,,,,58,1,33800,2006,2009,58-6259-2137-,6259,3400,10.0591716,10.0591716
18600,,23500,Waukesha,1,2009,1,3,12,2577,,,,58,1,18600,2007,2009,58-6260-2577-,6260,4900,26.34408602,26.34408602
2350,,2000,Waukesha,1,2009,1,4,12,1745,,,,58,1,2350,2007,2009,58-6261-1745-,6261,-350,-14.89361702,14.89361702
37300,,34900,Waukesha,1,2009,1,3,12,2137,,,,58,1,37300,2006,2009,58-6262-2137-,6262,-2400,-6.434316354,6.434316354
38500,,47800,Waukesha,1,2009,1,3,12,2137,,,,58,1,38500,2006,2009,58-6263-2137-,6263,9300,24.15584416,24.15584416
37400,,33900,Waukesha,1,2009,1,3,12,2137,,,,58,1,37400,2006,2009,58-6264-2137-,6264,-3500,-9.35828877,9.35828877
4700,,3100,Waukesha,1,2009,1,4,12,2739,,,,58,1,4700,2008,2009,58-6265-2739-,6265,-1600,-34.04255319,34.04255319
17400,,22000,Waukesha,1,2009,1,3,12,2627,,,,58,1,17400,2007,2009,58-6266-2627-,6266,4600,26.43678161,26.43678161
17250,,13700,Waukesha,1,2009,1,3,12,2536,,,,58,1,17250,2007,2009,58-6267-2536-,6267,-3550,-20.57971014,20.57971014
16200,,13900,Waukesha,1,2009,1,3,12,2536,,,,58,1,16200,2007,2009,58-6268-2536-,6268,-2300,-14.19753086,14.19753086
4600,,6000,Waukesha,1,2009,1,4,12,2536,,,,58,1,4600,2007,2009,58-6269-2536-,6269,1400,30.43478261,30.43478261
8400,,7600,Waukesha,1,2009,1,4,12,2536,,,,58,1,8400,2007,2009,58-6270-2536-,6270,-800,-9.523809524,9.523809524
8700,,10200,Waukesha,1,2009,1,3,12,2577,,,,58,1,8700,2007,2009,58-6271-2577-,6271,1500,17.24137931,17.24137931
17000,,18300,Waukesha,1,2009,1,3,12,2577,,,,58,1,17000,2007,2009,58-6272-2577-,6272,1300,7.647058824,7.647058824
20100,,20700,Waukesha,1,2009,1,3,12,2577,,,,58,1,20100,2007,2009,58-6273-2577-,6273,600,2.985074627,2.985074627
3200,,3200,Waukesha,1,2009,1,5,12,2256,,,,58,1,3200,2006,2009,58-6274-2256-,6274,0,0,0
18400,,25900,Waukesha,1,2009,1,3,12,2577,,,,58,1,18400,2007,2009,58-6275-2577-,6275,7500,40.76086957,40.76086957
38100,,39600,Waukesha,1,2009,1,3,12,2137,,,,58,1,38100,2006,2009,58-6276-2137-,6276,1500,3.937007874,3.937007874
3300,,5000,Waukesha,1,2009,1,6,12,1745,,,,58,1,3300,2007,2009,58-6277-1745-,6277,1700,51.51515152,51.51515152
16100,,13500,Waukesha,1,2009,1,3,12,2536,,,,58,1,16100,2007,2009,58-6278-2536-,6278,-2600,-16.14906832,16.14906832
8900,,7800,Waukesha,1,2009,1,3,12,2256,,,,58,1,8900,2006,2009,58-6279-2256-,6279,-1100,-12.35955056,12.35955056
1150,,840,Waukesha,1,2009,1,6,12,1745,,,,58,1,1150,2007,2009,58-6280-1745-,6280,-310,-26.95652174,26.95652174
5200,,5500,Waukesha,1,2009,1,4,12,2577,,,,58,1,5200,2007,2009,58-6281-2577-,6281,300,5.769230769,5.769230769
1550,,1400,Waukesha,1,2009,1,5,12,1745,,,,58,1,1550,2007,2009,58-6282-1745-,6282,-150,-9.677419355,9.677419355
1150,,1100,Waukesha,1,2009,1,6,12,1745,,,,58,1,1150,2007,2009,58-6283-1745-,6283,-50,-4.347826087,4.347826087
42900,,37900,Waukesha,1,2009,1,3,12,2137,,,,58,1,42900,2006,2009,58-6284-2137-,6284,-5000,-11.65501166,11.65501166
1450,,1200,Waukesha,1,2009,1,5,12,1745,,,,58,1,1450,2007,2009,58-6285-1745-,6285,-250,-17.24137931,17.24137931
32800,,49900,Waukesha,1,2009,1,3,12,2137,,,,58,1,32800,2006,2009,58-6286-2137-,6286,17100,52.13414634,52.13414634
18800,,11200,Milwaukee,1,2008,1,4,12,1959,,,,58,1,18800,2006,2008,58-6287-1959-,6287,-7600,-40.42553191,40.42553191
17700,,11500,Milwaukee,1,2008,1,4,12,1959,,,,58,1,17700,2006,2008,58-6288-1959-,6288,-6200,-35.02824859,35.02824859
14500,,9200,Milwaukee,1,2008,1,4,12,1959,,,,58,1,14500,2006,2008,58-6289-1959-,6289,-5300,-36.55172414,36.55172414
9400,,6000,Milwaukee,1,2008,1,4,12,1959,,,,58,1,9400,2006,2008,58-6290-1959-,6290,-3400,-36.17021277,36.17021277
22400,,17500,Milwaukee,1,2008,1,4,12,1959,,,,58,1,22400,2006,2008,58-6291-1959-,6291,-4900,-21.875,21.875
3300,,4800,Milwaukee,1,2008,1,4,12,1959,,,,58,1,3300,2006,2008,58-6292-1959-,6292,1500,45.45454545,45.45454545
17600,,14900,Milwaukee,1,2008,1,4,12,1959,,,,58,1,17600,2006,2008,58-6293-1959-,6293,-2700,-15.34090909,15.34090909
20500,,18100,Milwaukee,1,2007,1,3,12,2198,,,,58,1,20500,2006,2007,58-6294-2198-,6294,-2400,-11.70731707,11.70731707
9800,,9000,Milwaukee,1,2008,1,4,12,1959,,,,58,1,9800,2006,2008,58-6295-1959-,6295,-800,-8.163265306,8.163265306
23800,,38000,Milwaukee,1,2009,1,3,12,2322,,,,58,1,23800,2006,2009,58-6296-2322-,6296,14200,59.66386555,59.66386555
22300,,31100,Milwaukee,1,2009,1,3,12,2322,,,,58,1,22300,2006,2009,58-6297-2322-,6297,8800,39.46188341,39.46188341
40000,,37700,Milwaukee,1,2011,1,3,12,3609,,,,58,1,40000,2010,2011,58-6298-3609-,6298,-2300,-5.75,5.75
30000,,25800,Milwaukee,1,2007,1,3,12,2320,,,,58,1,30000,2006,2007,58-6299-2320-,6299,-4200,-14,14
36600,,33700,Milwaukee,1,2011,1,3,12,3609,,,,58,1,36600,2010,2011,58-6300-3609-,6300,-2900,-7.923497268,7.923497268
4300,,4100,Milwaukee,1,2011,1,5,12,3558,,,,58,1,4300,2010,2011,58-6301-3558-,6301,-200,-4.651162791,4.651162791
34000,,31500,Milwaukee,1,2007,1,3,12,2320,,,,58,1,34000,2006,2007,58-6302-2320-,6302,-2500,-7.352941176,7.352941176
30000,,22200,Milwaukee,1,2011,1,3,12,2467,,,,58,1,30000,2007,2011,58-6303-2467-,6303,-7800,-26,26
19000,,20100,Milwaukee,1,2011,1,3,12,2467,,,,58,1,19000,2007,2011,58-6304-2467-,6304,1100,5.789473684,5.789473684
21900,,18400,Milwaukee,1,2011,1,4,12,2467,,,,58,1,21900,2007,2011,58-6305-2467-,6305,-3500,-15.98173516,15.98173516
22700,,22600,Milwaukee,1,2009,1,3,12,2322,,,,58,1,22700,2006,2009,58-6306-2322-,6306,-100,-0.440528634,0.440528634
2800,,2500,Milwaukee,1,2011,1,5,12,2467,,,,58,1,2800,2007,2011,58-6307-2467-,6307,-300,-10.71428571,10.71428571
33500,,33500,Milwaukee,1,2011,1,3,12,2467,,,,58,1,33500,2007,2011,58-6308-2467-,6308,0,0,0
1500,,2200,Milwaukee,1,2011,1,7,12,2467,,,,58,1,1500,2007,2011,58-6309-2467-,6309,700,46.66666667,46.66666667
23800,,25400,Milwaukee,1,2011,1,3,12,2467,,,,58,1,23800,2007,2011,58-6310-2467-,6310,1600,6.722689076,6.722689076
8600,,6600,Racine,1,2008,1,3,12,2373,,,,58,1,8600,2006,2008,58-6311-2373-,6311,-2000,-23.25581395,23.25581395
13600,,12300,Racine,1,2008,1,3,12,2359,,,,58,1,13600,2006,2008,58-6312-2359-,6312,-1300,-9.558823529,9.558823529
6900,,6200,Racine,1,2008,1,3,12,2217,,,,58,1,6900,2006,2008,58-6313-2217-,6313,-700,-10.14492754,10.14492754
18500,,19600,Racine,1,2008,1,3,12,2690,,,,58,1,18500,2008,2008,58-6314-2690-,6314,1100,5.945945946,5.945945946
7600,,8200,Racine,1,2008,1,3,12,2359,,,,58,1,7600,2006,2008,58-6315-2359-,6315,600,7.894736842,7.894736842
5600,,5200,Racine,1,2008,1,3,12,2217,,,,58,1,5600,2006,2008,58-6316-2217-,6316,-400,-7.142857143,7.142857143
7100,,7000,Racine,1,2008,1,3,12,2359,,,,58,1,7100,2006,2008,58-6317-2359-,6317,-100,-1.408450704,1.408450704
8800,,8800,Racine,1,2008,1,3,12,2373,,,,58,1,8800,2006,2008,58-6318-2373-,6318,0,0,0
2100,,2600,Kenosha,1,2008,1,5,12,2545,,,,58,1,2100,2007,2008,58-6319-2545-,6319,500,23.80952381,23.80952381
4250,,4500,Kenosha,1,2008,1,5,12,2545,,,,58,1,4250,2007,2008,58-6320-2545-,6320,250,5.882352941,5.882352941
7300,,7100,Kenosha,1,2008,1,4,12,2545,,,,58,1,7300,2007,2008,58-6321-2545-,6321,-200,-2.739726027,2.739726027
7900,,4300,Walworth,1,2009,1,4,12,2533,,,,58,1,7900,2007,2009,58-6322-2533-,6322,-3600,-45.56962025,45.56962025
7100,,5400,Walworth,1,2009,1,3,12,2533,,,,58,1,7100,2007,2009,58-6323-2533-,6323,-1700,-23.94366197,23.94366197
6700,,5300,Walworth,1,2009,1,3,12,2533,,,,58,1,6700,2007,2009,58-6324-2533-,6324,-1400,-20.89552239,20.89552239
8100,,9800,Walworth,1,2009,1,4,12,2533,,,,58,1,8100,2007,2009,58-6325-2533-,6325,1700,20.98765432,20.98765432
8800,,7300,Walworth,1,2009,1,4,12,2533,,,,58,1,8800,2007,2009,58-6326-2533-,6326,-1500,-17.04545455,17.04545455
21100,,19200,Walworth,1,2009,1,1,12,2533,,,,58,1,21100,2007,2009,58-6327-2533-,6327,-1900,-9.004739336,9.004739336
6200,,5400,Walworth,1,2009,1,3,12,2533,,,,58,1,6200,2007,2009,58-6328-2533-,6328,-800,-12.90322581,12.90322581
25200,,23600,Walworth,1,2009,1,1,12,2533,,,,58,1,25200,2007,2009,58-6329-2533-,6329,-1600,-6.349206349,6.349206349
4400,,5100,Walworth,1,2009,1,3,12,2533,,,,58,1,4400,2007,2009,58-6330-2533-,6330,700,15.90909091,15.90909091
13700,,14900,Walworth,1,2009,1,3,12,2533,,,,58,1,13700,2007,2009,58-6331-2533-,6331,1200,8.759124088,8.759124088
3300,,3900,Walworth,1,2009,1,5,12,2533,,,,58,1,3300,2007,2009,58-6332-2533-,6332,600,18.18181818,18.18181818
8000,,8900,Walworth,1,2009,1,3,12,2533,,,,58,1,8000,2007,2009,58-6333-2533-,6333,900,11.25,11.25
4000,,3600,Walworth,1,2009,1,4,12,2533,,,,58,1,4000,2007,2009,58-6334-2533-,6334,-400,-10,10
1800,,1600,Walworth,1,2009,1,8,12,2533,,,,58,1,1800,2007,2009,58-6335-2533-,6335,-200,-11.11111111,11.11111111
1800,,2000,Walworth,1,2009,1,5,12,2533,,,,58,1,1800,2007,2009,58-6336-2533-,6336,200,11.11111111,11.11111111
9800,,9500,Walworth,1,2009,1,3,12,2533,,,,58,1,9800,2007,2009,58-6337-2533-,6337,-300,-3.06122449,3.06122449
1500,,1600,Walworth,1,2009,1,8,12,2533,,,,58,1,1500,2007,2009,58-6338-2533-,6338,100,6.666666667,6.666666667
790,,850,Walworth,1,2009,1,8,12,2533,,,,58,1,790,2007,2009,58-6339-2533-,6339,60,7.594936709,7.594936709
10300,,10400,Walworth,1,2009,1,3,12,2533,,,,58,1,10300,2007,2009,58-6340-2533-,6340,100,0.970873786,0.970873786
1100,,1100,Walworth,1,2009,1,8,12,2533,,,,58,1,1100,2007,2009,58-6341-2533-,6341,0,0,0
3600,,3000,Ashland,1,2009,1,4,12,2737,,,,58,1,3600,2008,2009,58-6342-2737-,6342,-600,-16.66666667,16.66666667
15300,,10100,Barron,1,2011,1,3,12,2159,,,,58,1,15300,2007,2011,58-6343-2159-,6343,-5200,-33.9869281,33.9869281
11000,,7500,Barron,1,2011,1,3,12,2159,,,,58,1,11000,2007,2011,58-6344-2159-,6344,-3500,-31.81818182,31.81818182
11300,,8100,Barron,1,2011,1,3,12,2159,,,,58,1,11300,2007,2011,58-6345-2159-,6345,-3200,-28.31858407,28.31858407
11100,,8500,Barron,1,2011,1,3,12,2159,,,,58,1,11100,2007,2011,58-6346-2159-,6346,-2600,-23.42342342,23.42342342
900,,1000,Barron,1,2011,1,5,12,2159,,,,58,1,900,2007,2011,58-6347-2159-,6347,100,11.11111111,11.11111111
630,,660,Barron,1,2011,1,5,12,2159,,,,58,1,630,2007,2011,58-6348-2159-,6348,30,4.761904762,4.761904762
13400,,10300,Barron,1,2011,1,3,12,2501,,,,58,1,13400,2007,2011,58-6349-2501-,6349,-3100,-23.13432836,23.13432836
82000,,65000,Brown,4,2009,1,3,12,1929,,,,58,1,82000,2005,2009,58-6350-1929-,6350,-17000,-20.73170732,20.73170732
6900,,3800,Brown,4,2009,1,8,12,1929,,,,58,1,6900,2005,2009,58-6351-1929-,6351,-3100,-44.92753623,44.92753623
20300,,14800,Brown,4,2009,1,8,12,1929,,,,58,1,20300,2005,2009,58-6352-1929-,6352,-5500,-27.09359606,27.09359606
17100,,12100,Brown,4,2009,1,8,12,1929,,,,58,1,17100,2005,2009,58-6353-1929-,6353,-5000,-29.23976608,29.23976608
7600,,4400,Brown,4,2009,1,8,12,1929,,,,58,1,7600,2005,2009,58-6354-1929-,6354,-3200,-42.10526316,42.10526316
54000,,45000,Brown,4,2009,1,3,12,1929,,,,58,1,54000,2005,2009,58-6355-1929-,6355,-9000,-16.66666667,16.66666667
67000,,57400,Brown,4,2009,1,3,12,1929,,,,58,1,67000,2005,2009,58-6356-1929-,6356,-9600,-14.32835821,14.32835821
20200,,15400,Brown,4,2009,1,8,12,1929,,,,58,1,20200,2005,2009,58-6357-1929-,6357,-4800,-23.76237624,23.76237624
16000,,11800,Brown,4,2009,1,8,12,1929,,,,58,1,16000,2005,2009,58-6358-1929-,6358,-4200,-26.25,26.25
14900,,11100,Brown,4,2009,1,8,12,1929,,,,58,1,14900,2005,2009,58-6359-1929-,6359,-3800,-25.5033557,25.5033557
7300,,4800,Brown,4,2009,1,8,12,1929,,,,58,1,7300,2005,2009,58-6360-1929-,6360,-2500,-34.24657534,34.24657534
13400,,10000,Brown,4,2009,1,8,12,1929,,,,58,1,13400,2005,2009,58-6361-1929-,6361,-3400,-25.37313433,25.37313433
9150,,12100,Brown,4,2006,1,8,12,2214,,,,58,1,9150,2006,2006,58-6362-2214-,6362,2950,32.24043716,32.24043716
3000,,4700,Brown,4,2006,1,4,12,2214,,,,58,1,3000,2006,2006,58-6363-2214-,6363,1700,56.66666667,56.66666667
9450,,12100,Brown,4,2006,1,8,12,2214,,,,58,1,9450,2006,2006,58-6364-2214-,6364,2650,28.04232804,28.04232804
6000,,4200,Brown,4,2009,1,8,12,1929,,,,58,1,6000,2005,2009,58-6365-1929-,6365,-1800,-30,30
6100,,4300,Brown,4,2009,1,8,12,1929,,,,58,1,6100,2005,2009,58-6366-1929-,6366,-1800,-29.50819672,29.50819672
7700,,9900,Brown,4,2006,1,4,12,2214,,,,58,1,7700,2006,2006,58-6367-2214-,6367,2200,28.57142857,28.57142857
2500,,1600,Brown,4,2009,1,8,12,1929,,,,58,1,2500,2005,2009,58-6368-1929-,6368,-900,-36,36
9200,,11100,Brown,4,2006,1,4,12,2214,,,,58,1,9200,2006,2006,58-6369-2214-,6369,1900,20.65217391,20.65217391
7200,,8700,Brown,4,2009,1,8,12,1929,,,,58,1,7200,2005,2009,58-6370-1929-,6370,1500,20.83333333,20.83333333
24500,,22000,Brown,4,2006,1,4,12,2241,,,,58,1,24500,2006,2006,58-6371-2241-,6371,-2500,-10.20408163,10.20408163
4800,,5700,Brown,4,2009,1,8,12,1929,,,,58,1,4800,2005,2009,58-6372-1929-,6372,900,18.75,18.75
4500,,3900,Brown,4,2009,1,8,12,1929,,,,58,1,4500,2005,2009,58-6373-1929-,6373,-600,-13.33333333,13.33333333
4900,,5500,Brown,4,2009,1,8,12,1929,,,,58,1,4900,2005,2009,58-6374-1929-,6374,600,12.24489796,12.24489796
2850,,3300,Brown,4,2006,1,8,12,2214,,,,58,1,2850,2006,2006,58-6375-2214-,6375,450,15.78947368,15.78947368
8500,,9100,Brown,4,2009,1,8,12,1929,,,,58,1,8500,2005,2009,58-6376-1929-,6376,600,7.058823529,7.058823529
2000,,1800,Brown,4,2009,1,8,12,1929,,,,58,1,2000,2005,2009,58-6377-1929-,6377,-200,-10,10
2850,,3000,Brown,4,2006,1,8,12,2214,,,,58,1,2850,2006,2006,58-6378-2214-,6378,150,5.263157895,5.263157895
8700,,8600,Brown,4,2009,1,8,12,1929,,,,58,1,8700,2005,2009,58-6379-1929-,6379,-100,-1.149425287,1.149425287
8900,,8800,Brown,4,2009,1,8,12,1929,,,,58,1,8900,2005,2009,58-6380-1929-,6380,-100,-1.123595506,1.123595506
760,,560,Burnett,1,2010,1,5,12,2514,,,,58,1,760,2007,2010,58-6381-2514-,6381,-200,-26.31578947,26.31578947
900,,740,Burnett,1,2010,1,5,12,2514,,,,58,1,900,2007,2010,58-6382-2514-,6382,-160,-17.77777778,17.77777778
480,,430,Burnett,1,2010,1,5,12,2514,,,,58,1,480,2007,2010,58-6383-2514-,6383,-50,-10.41666667,10.41666667
10700,,8200,Calumet,1,2010,1,4,12,2411,,,,58,1,10700,2007,2010,58-6384-2411-,6384,-2500,-23.36448598,23.36448598
11500,,9000,Calumet,1,2010,1,4,12,2411,,,,58,1,11500,2007,2010,58-6385-2411-,6385,-2500,-21.73913043,21.73913043
2800,,2600,Calumet,1,2010,1,4,12,2411,,,,58,1,2800,2007,2010,58-6386-2411-,6386,-200,-7.142857143,7.142857143
1200,,1100,Calumet,1,2010,1,6,12,2411,,,,58,1,1200,2007,2010,58-6387-2411-,6387,-100,-8.333333333,8.333333333
12600,,10200,Calumet,4,2010,1,4,12,2388,,,,58,1,12600,2007,2010,58-6388-2388-,6388,-2400,-19.04761905,19.04761905
10000,,8300,Calumet,4,2010,1,4,12,2388,,,,58,1,10000,2007,2010,58-6389-2388-,6389,-1700,-17,17
3100,,2900,Calumet,4,2010,1,5,12,2388,,,,58,1,3100,2007,2010,58-6390-2388-,6390,-200,-6.451612903,6.451612903
700,,780,Chippewa,1,2011,1,5,12,3376,,,,58,1,700,2010,2011,58-6391-3376-,6391,80,11.42857143,11.42857143
700,,720,Chippewa,1,2011,1,5,12,3374,,,,58,1,700,2010,2011,58-6392-3374-,6392,20,2.857142857,2.857142857
1500,,3700,Chippewa,4,2011,1,4,12,2084,,,,58,1,1500,2005,2011,58-6393-2084-,6393,2200,146.6666667,146.6666667
1200,,1450,Chippewa,4,2011,1,4,12,2084,,,,58,1,1200,2005,2011,58-6394-2084-,6394,250,20.83333333,20.83333333
6600,,4300,Chippewa,4,2011,1,4,12,3531,,,,58,1,6600,2010,2011,58-6395-3531-,6395,-2300,-34.84848485,34.84848485
10900,,12600,Clark,1,2007,1,3,12,1693,,,,58,1,10900,2007,2007,58-6396-1693-,6396,1700,15.59633028,15.59633028
10200,,11300,Clark,1,2007,1,3,12,1693,,,,58,1,10200,2007,2007,58-6397-1693-,6397,1100,10.78431373,10.78431373
10500,,11600,Clark,1,2007,1,3,12,1693,,,,58,1,10500,2007,2007,58-6398-1693-,6398,1100,10.47619048,10.47619048
11200,,11600,Clark,1,2007,1,3,12,1693,,,,58,1,11200,2007,2007,58-6399-1693-,6399,400,3.571428571,3.571428571
11600,,12000,Clark,1,2007,1,3,12,1693,,,,58,1,11600,2007,2007,58-6400-1693-,6400,400,3.448275862,3.448275862
1450,,3000,Clark,1,2007,1,5,12,2298,,,,58,1,1450,2006,2007,58-6401-2298-,6401,1550,106.8965517,106.8965517
1900,,1800,Crawford,1,2010,1,3,12,2621,,,,58,1,1900,2007,2010,58-6402-2621-,6402,-100,-5.263157895,5.263157895
2900,,410,Dane,4,2009,1,5,12,2442,,,,58,1,2900,2007,2009,58-6403-2442-,6403,-2490,-85.86206897,85.86206897
6400,,4900,Dane,4,2006,1,4,12,1965,,,,58,1,6400,2005,2006,58-6404-1965-,6404,-1500,-23.4375,23.4375
6600,,5200,Dane,4,2006,1,4,12,1965,,,,58,1,6600,2005,2006,58-6405-1965-,6405,-1400,-21.21212121,21.21212121
3600,,2800,Dane,4,2009,1,5,12,2927,,,,58,1,3600,2009,2009,58-6406-2927-,6406,-800,-22.22222222,22.22222222
11300,,10000,Dane,4,2006,1,3,12,1965,,,,58,1,11300,2005,2006,58-6407-1965-,6407,-1300,-11.50442478,11.50442478
6500,,7400,Dane,4,2009,1,3,12,2927,,,,58,1,6500,2009,2009,58-6408-2927-,6408,900,13.84615385,13.84615385
11600,,10500,Dane,4,2009,1,3,12,2345,,,,58,1,11600,2006,2009,58-6409-2345-,6409,-1100,-9.482758621,9.482758621
11600,,10900,Dane,4,2009,1,3,12,2567,,,,58,1,11600,2007,2009,58-6410-2567-,6410,-700,-6.034482759,6.034482759
2500,,2800,Dane,4,2009,1,5,12,2345,,,,58,1,2500,2006,2009,58-6411-2345-,6411,300,12,12
2200,,2000,Dane,4,2009,1,5,12,2927,,,,58,1,2200,2009,2009,58-6412-2927-,6412,-200,-9.090909091,9.090909091
10600,,10300,Dane,4,2009,1,3,12,2345,,,,58,1,10600,2006,2009,58-6413-2345-,6413,-300,-2.830188679,2.830188679
11500,,11200,Dane,4,2009,1,3,12,2567,,,,58,1,11500,2007,2009,58-6414-2567-,6414,-300,-2.608695652,2.608695652
1700,,1800,Dane,4,2009,1,5,12,2187,,,,58,1,1700,2006,2009,58-6415-2187-,6415,100,5.882352941,5.882352941
10300,,10100,Dane,4,2006,1,3,12,1965,,,,58,1,10300,2005,2006,58-6416-1965-,6416,-200,-1.941747573,1.941747573
5800,,5700,Dane,4,2009,1,3,12,2927,,,,58,1,5800,2009,2009,58-6417-2927-,6417,-100,-1.724137931,1.724137931
4300,,4300,Dane,4,2006,1,4,12,1965,,,,58,1,4300,2005,2006,58-6418-1965-,6418,0,0,0
8500,,6500,Dodge,1,2008,1,3,12,665,,,,58,1,8500,2007,2008,58-6419-665-,6419,-2000,-23.52941176,23.52941176
4500,,3400,Dodge,1,2008,1,4,12,2449,,,,58,1,4500,2007,2008,58-6420-2449-,6420,-1100,-24.44444444,24.44444444
11300,,10100,Dodge,1,2008,1,3,12,665,,,,58,1,11300,2007,2008,58-6421-665-,6421,-1200,-10.61946903,10.61946903
6200,,5400,Dodge,1,2008,1,4,12,2449,,,,58,1,6200,2007,2008,58-6422-2449-,6422,-800,-12.90322581,12.90322581
12800,,13500,Dodge,1,2008,1,3,12,665,,,,58,1,12800,2007,2008,58-6423-665-,6423,700,5.46875,5.46875
10000,,8600,Door,4,2009,1,3,12,2840,,,,58,1,10000,2008,2009,58-6424-2840-,6424,-1400,-14,14
4000,,4900,Door,4,2009,1,3,12,2840,,,,58,1,4000,2008,2009,58-6425-2840-,6425,900,22.5,22.5
10700,,9400,Door,4,2009,1,3,12,2840,,,,58,1,10700,2008,2009,58-6426-2840-,6426,-1300,-12.14953271,12.14953271
3100,,2500,Door,4,2009,1,4,12,2840,,,,58,1,3100,2008,2009,58-6427-2840-,6427,-600,-19.35483871,19.35483871
5200,,5900,Door,4,2009,1,3,12,2840,,,,58,1,5200,2008,2009,58-6428-2840-,6428,700,13.46153846,13.46153846
