BriefDescription,ProjectYear,InternalProjectID,ImprovementType,AreaTypeFuncClass,main_ProjectInformation.State,TollType,TrafficForecast,ForecastYear,ForecastYearType,YearForecastProduced,ForecastingAgency,ForecastMethodology,SegmentDescription,ProjectID,SegmentID,CountID,Year_ofObservation,Count,Station_Identifier,State,CounterID,FunctionalClass,DiffYear,AdjustedForecast,Error,AbsError,PercentError,AbsPE,FunctionalClassName,MethodologyName,AreaTypeName,UnemploymentRate_ForecastYear,UnemploymentRate_YearProduced,UnemploymentRate_OpeningYear
,2006,2359,12,3,WI,No Tolls on 1+ lane,7600,2008,1,2006,1,1,,58-6315-2359-,,58-22443-511191,2008,8200,511191,58,58-22443-511191,3,2,7600,600,600,7.894736842,7.894736842,Principle Arterial,Traffic Count Trend,Urban,4.9,4.7,4.9
,2006,2217,12,3,WI,No Tolls on 1+ lane,5600,2008,1,2006,1,1,,58-6316-2217-,,58-22445-510362,2008,5200,510362,58,58-22445-510362,3,2,5600,-400,400,-7.142857143,7.142857143,Principle Arterial,Traffic Count Trend,Urban,4.9,4.7,4.9
,2006,2359,12,3,WI,No Tolls on 1+ lane,7100,2008,1,2006,1,1,,58-6317-2359-,,58-22447-510234,2008,7000,510234,58,58-22447-510234,3,2,7100,-100,100,-1.408450704,1.408450704,Principle Arterial,Traffic Count Trend,Urban,4.9,4.7,4.9
,2006,2373,12,1,WI,No Tolls on 1+ lane,8800,2008,1,2006,1,1,,58-6318-2373-,,58-22449-510862,2008,8800,510862,58,58-22449-510862,3,2,8800,0,0,0,0,Principle Arterial,Traffic Count Trend,Rural,4.9,4.7,4.9
,2007,2545,12,3,WI,No Tolls on 1+ lane,2100,2008,1,2007,1,1,,58-6319-2545-,,58-22451-300882,2008,2600,300882,58,58-22451-300882,5,1,2100,500,500,23.80952381,23.80952381,Major Collector,Traffic Count Trend,Urban,4.9,4.9,4.9
,2007,2545,12,3,WI,No Tolls on 1+ lane,4250,2008,1,2007,1,1,,58-6320-2545-,,58-22453-300739,2008,4500,300739,58,58-22453-300739,5,1,4250,250,250,5.882352941,5.882352941,Major Collector,Traffic Count Trend,Urban,4.9,4.9,4.9
,2007,2545,12,3,WI,No Tolls on 1+ lane,7300,2008,1,2007,1,1,,58-6321-2545-,,58-22455-300472,2008,7100,300472,58,58-22455-300472,4,1,7300,-200,200,-2.739726027,2.739726027,Minor Arterial,Traffic Count Trend,Urban,4.9,4.9,4.9
,2007,2533,12,3,WI,No Tolls on 1+ lane,7900,2009,1,2007,1,1,,58-6322-2533-,,58-22457-640485,2009,4300,640485,58,58-22457-640485,4,2,7900,-3600,3600,-45.56962025,45.56962025,Minor Arterial,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2533,12,3,WI,No Tolls on 1+ lane,7100,2009,1,2007,1,1,,58-6323-2533-,,58-22459-640475,2009,5400,640475,58,58-22459-640475,3,2,7100,-1700,1700,-23.94366197,23.94366197,Principle Arterial,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2533,12,3,WI,No Tolls on 1+ lane,6700,2009,1,2007,1,1,,58-6324-2533-,,58-22461-640466,2009,5300,640466,58,58-22461-640466,3,2,6700,-1400,1400,-20.89552239,20.89552239,Principle Arterial,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2533,12,3,WI,No Tolls on 1+ lane,8100,2009,1,2007,1,1,,58-6325-2533-,,58-22463-641025,2009,9800,641025,58,58-22463-641025,4,2,8100,1700,1700,20.98765432,20.98765432,Minor Arterial,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2533,12,3,WI,No Tolls on 1+ lane,8800,2009,1,2007,1,1,,58-6326-2533-,,58-22465-640484,2009,7300,640484,58,58-22465-640484,4,2,8800,-1500,1500,-17.04545455,17.04545455,Minor Arterial,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2533,12,1,WI,No Tolls on 1+ lane,21100,2009,1,2007,1,1,,58-6327-2533-,,58-22467-649003,2009,19200,649003,58,58-22467-649003,1,2,21100,-1900,1900,-9.004739336,9.004739336,Interstate or Limited Access Facility,Traffic Count Trend,Rural,8.6,4.9,8.6
,2007,2533,12,3,WI,No Tolls on 1+ lane,6200,2009,1,2007,1,1,,58-6328-2533-,,58-22469-640483,2009,5400,640483,58,58-22469-640483,3,2,6200,-800,800,-12.90322581,12.90322581,Principle Arterial,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2533,12,1,WI,No Tolls on 1+ lane,25200,2009,1,2007,1,1,,58-6329-2533-,,58-22471-649002,2009,23600,649002,58,58-22471-649002,1,2,25200,-1600,1600,-6.349206349,6.349206349,Interstate or Limited Access Facility,Traffic Count Trend,Rural,8.6,4.9,8.6
,2007,2533,12,1,WI,No Tolls on 1+ lane,4400,2009,1,2007,1,1,,58-6330-2533-,,58-22473-640804,2009,5100,640804,58,58-22473-640804,3,2,4400,700,700,15.90909091,15.90909091,Principle Arterial,Traffic Count Trend,Rural,8.6,4.9,8.6
,2007,2533,12,3,WI,No Tolls on 1+ lane,13700,2009,1,2007,1,1,,58-6331-2533-,,58-22475-640805,2009,14900,640805,58,58-22475-640805,3,2,13700,1200,1200,8.759124088,8.759124088,Principle Arterial,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2533,12,3,WI,No Tolls on 1+ lane,3300,2009,1,2007,1,1,,58-6332-2533-,,58-22477-640184,2009,3900,640184,58,58-22477-640184,5,2,3300,600,600,18.18181818,18.18181818,Major Collector,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2533,12,3,WI,No Tolls on 1+ lane,8000,2009,1,2007,1,1,,58-6333-2533-,,58-22479-640487,2009,8900,640487,58,58-22479-640487,3,2,8000,900,900,11.25,11.25,Principle Arterial,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2533,12,3,WI,No Tolls on 1+ lane,4000,2009,1,2007,1,1,,58-6334-2533-,,58-22481-640471,2009,3600,640471,58,58-22481-640471,4,2,4000,-400,400,-10,10,Minor Arterial,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2533,12,3,WI,No Tolls on 1+ lane,1800,2009,1,2007,1,1,,58-6335-2533-,,58-22483-643773,2009,1600,643773,58,58-22483-643773,8,2,1800,-200,200,-11.11111111,11.11111111,Unknown Functional Class,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2533,12,3,WI,No Tolls on 1+ lane,1800,2009,1,2007,1,1,,58-6336-2533-,,58-22485-640193,2009,2000,640193,58,58-22485-640193,5,2,1800,200,200,11.11111111,11.11111111,Major Collector,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2533,12,3,WI,No Tolls on 1+ lane,9800,2009,1,2007,1,1,,58-6337-2533-,,58-22487-640490,2009,9500,640490,58,58-22487-640490,3,2,9800,-300,300,-3.06122449,3.06122449,Principle Arterial,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2533,12,3,WI,No Tolls on 1+ lane,1500,2009,1,2007,1,1,,58-6338-2533-,,58-22489-643774,2009,1600,643774,58,58-22489-643774,8,2,1500,100,100,6.666666667,6.666666667,Unknown Functional Class,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2533,12,3,WI,No Tolls on 1+ lane,790,2009,1,2007,1,1,,58-6339-2533-,,58-22491-643771,2009,850,643771,58,58-22491-643771,8,2,790,60,60,7.594936709,7.594936709,Unknown Functional Class,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2533,12,3,WI,No Tolls on 1+ lane,10300,2009,1,2007,1,1,,58-6340-2533-,,58-22493-640493,2009,10400,640493,58,58-22493-640493,3,2,10300,100,100,0.970873786,0.970873786,Principle Arterial,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2533,12,3,WI,No Tolls on 1+ lane,1100,2009,1,2007,1,1,,58-6341-2533-,,58-22495-643772,2009,1100,643772,58,58-22495-643772,8,2,1100,0,0,0,0,Unknown Functional Class,Traffic Count Trend,Urban,8.6,4.9,8.6
,2008,2737,12,3,WI,No Tolls on 1+ lane,3600,2009,1,2008,1,1,,58-6342-2737-,,58-22497-20313,2009,3000,20313,58,58-22497-20313,4,1,3600,-600,600,-16.66666667,16.66666667,Minor Arterial,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2159,12,3,WI,No Tolls on 1+ lane,15300,2011,1,2007,1,1,,58-6343-2159-,,58-22499-30535,2011,10100,30535,58,58-22499-30535,3,4,15300,-5200,5200,-33.9869281,33.9869281,Principle Arterial,Traffic Count Trend,Urban,7.8,4.9,7.8
,2007,2159,12,1,WI,No Tolls on 1+ lane,11000,2011,1,2007,1,1,,58-6344-2159-,,58-22501-30226,2011,7500,30226,58,58-22501-30226,3,4,11000,-3500,3500,-31.81818182,31.81818182,Principle Arterial,Traffic Count Trend,Rural,7.8,4.9,7.8
,2007,2159,12,1,WI,No Tolls on 1+ lane,11300,2011,1,2007,1,1,,58-6345-2159-,,58-22503-30103,2011,8100,30103,58,58-22503-30103,3,4,11300,-3200,3200,-28.31858407,28.31858407,Principle Arterial,Traffic Count Trend,Rural,7.8,4.9,7.8
,2007,2159,12,1,WI,No Tolls on 1+ lane,11100,2011,1,2007,1,1,,58-6346-2159-,,58-22505-30543,2011,8500,30543,58,58-22505-30543,3,4,11100,-2600,2600,-23.42342342,23.42342342,Principle Arterial,Traffic Count Trend,Rural,7.8,4.9,7.8
,2007,2159,12,3,WI,No Tolls on 1+ lane,900,2011,1,2007,1,1,,58-6347-2159-,,58-22507-30376,2011,1000,30376,58,58-22507-30376,5,4,900,100,100,11.11111111,11.11111111,Major Collector,Traffic Count Trend,Urban,7.8,4.9,7.8
,2007,2159,12,3,WI,No Tolls on 1+ lane,630,2011,1,2007,1,1,,58-6348-2159-,,58-22509-30375,2011,660,30375,58,58-22509-30375,5,4,630,30,30,4.761904762,4.761904762,Major Collector,Traffic Count Trend,Urban,7.8,4.9,7.8
,2007,2501,12,1,WI,No Tolls on 1+ lane,13400,2011,1,2007,1,1,,58-6349-2501-,,58-22511-30540,2011,10300,30540,58,58-22511-30540,3,4,13400,-3100,3100,-23.13432836,23.13432836,Principle Arterial,Traffic Count Trend,Rural,7.8,4.9,7.8
,2005,1929,12,3,WI,No Tolls on 1+ lane,82000,2009,1,2005,1,4,,58-6350-1929-,,58-22513-50387,2009,65000,50387,58,58-22513-50387,3,4,82000,-17000,17000,-20.73170732,20.73170732,Principle Arterial,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2005,1929,12,3,WI,No Tolls on 1+ lane,6900,2009,1,2005,1,4,,58-6351-1929-,,58-22515-51729,2009,3800,51729,58,58-22515-51729,8,4,6900,-3100,3100,-44.92753623,44.92753623,Unknown Functional Class,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2005,1929,12,3,WI,No Tolls on 1+ lane,20300,2009,1,2005,1,4,,58-6352-1929-,,58-22517-51291,2009,14800,51291,58,58-22517-51291,8,4,20300,-5500,5500,-27.09359606,27.09359606,Unknown Functional Class,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2005,1929,12,3,WI,No Tolls on 1+ lane,17100,2009,1,2005,1,4,,58-6353-1929-,,58-22519-51731,2009,12100,51731,58,58-22519-51731,8,4,17100,-5000,5000,-29.23976608,29.23976608,Unknown Functional Class,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2005,1929,12,3,WI,No Tolls on 1+ lane,7600,2009,1,2005,1,4,,58-6354-1929-,,58-22521-51720,2009,4400,51720,58,58-22521-51720,8,4,7600,-3200,3200,-42.10526316,42.10526316,Unknown Functional Class,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2005,1929,12,3,WI,No Tolls on 1+ lane,54000,2009,1,2005,1,4,,58-6355-1929-,,58-22523-51149,2009,45000,51149,58,58-22523-51149,3,4,54000,-9000,9000,-16.66666667,16.66666667,Principle Arterial,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2005,1929,12,3,WI,No Tolls on 1+ lane,67000,2009,1,2005,1,4,,58-6356-1929-,,58-22525-50382,2009,57400,50382,58,58-22525-50382,3,4,67000,-9600,9600,-14.32835821,14.32835821,Principle Arterial,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2005,1929,12,3,WI,No Tolls on 1+ lane,20200,2009,1,2005,1,4,,58-6357-1929-,,58-22527-51290,2009,15400,51290,58,58-22527-51290,8,4,20200,-4800,4800,-23.76237624,23.76237624,Unknown Functional Class,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2005,1929,12,3,WI,No Tolls on 1+ lane,16000,2009,1,2005,1,4,,58-6358-1929-,,58-22529-51718,2009,11800,51718,58,58-22529-51718,8,4,16000,-4200,4200,-26.25,26.25,Unknown Functional Class,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2005,1929,12,3,WI,No Tolls on 1+ lane,14900,2009,1,2005,1,4,,58-6359-1929-,,58-22531-51728,2009,11100,51728,58,58-22531-51728,8,4,14900,-3800,3800,-25.5033557,25.5033557,Unknown Functional Class,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2005,1929,12,3,WI,No Tolls on 1+ lane,7300,2009,1,2005,1,4,,58-6360-1929-,,58-22533-51717,2009,4800,51717,58,58-22533-51717,8,4,7300,-2500,2500,-34.24657534,34.24657534,Unknown Functional Class,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2005,1929,12,3,WI,No Tolls on 1+ lane,13400,2009,1,2005,1,4,,58-6361-1929-,,58-22535-51719,2009,10000,51719,58,58-22535-51719,8,4,13400,-3400,3400,-25.37313433,25.37313433,Unknown Functional Class,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2006,2214,12,3,WI,No Tolls on 1+ lane,9150,2006,1,2006,1,4,,58-6362-2214-,,58-22537-51599,2006,12100,51599,58,58-22537-51599,8,0,9150,2950,2950,32.24043716,32.24043716,Unknown Functional Class,Regional Travel Demand Model,Urban,4.7,4.7,4.7
,2006,2214,12,3,WI,No Tolls on 1+ lane,3000,2006,1,2006,1,4,,58-6363-2214-,,58-22539-51124,2006,4700,51124,58,58-22539-51124,4,0,3000,1700,1700,56.66666667,56.66666667,Minor Arterial,Regional Travel Demand Model,Urban,4.7,4.7,4.7
,2006,2214,12,3,WI,No Tolls on 1+ lane,9450,2006,1,2006,1,4,,58-6364-2214-,,58-22541-51598,2006,12100,51598,58,58-22541-51598,8,0,9450,2650,2650,28.04232804,28.04232804,Unknown Functional Class,Regional Travel Demand Model,Urban,4.7,4.7,4.7
,2005,1929,12,3,WI,No Tolls on 1+ lane,6000,2009,1,2005,1,4,,58-6365-1929-,,58-22543-51726,2009,4200,51726,58,58-22543-51726,8,4,6000,-1800,1800,-30,30,Unknown Functional Class,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2005,1929,12,3,WI,No Tolls on 1+ lane,6100,2009,1,2005,1,4,,58-6366-1929-,,58-22545-51721,2009,4300,51721,58,58-22545-51721,8,4,6100,-1800,1800,-29.50819672,29.50819672,Unknown Functional Class,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2006,2214,12,3,WI,No Tolls on 1+ lane,7700,2006,1,2006,1,4,,58-6367-2214-,,58-22547-51125,2006,9900,51125,58,58-22547-51125,4,0,7700,2200,2200,28.57142857,28.57142857,Minor Arterial,Regional Travel Demand Model,Urban,4.7,4.7,4.7
,2005,1929,12,3,WI,No Tolls on 1+ lane,2500,2009,1,2005,1,4,,58-6368-1929-,,58-22549-51730,2009,1600,51730,58,58-22549-51730,8,4,2500,-900,900,-36,36,Unknown Functional Class,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2006,2214,12,3,WI,No Tolls on 1+ lane,9200,2006,1,2006,1,4,,58-6369-2214-,,58-22551-51348,2006,11100,51348,58,58-22551-51348,4,0,9200,1900,1900,20.65217391,20.65217391,Minor Arterial,Regional Travel Demand Model,Urban,4.7,4.7,4.7
,2005,1929,12,3,WI,No Tolls on 1+ lane,7200,2009,1,2005,1,4,,58-6370-1929-,,58-22553-51725,2009,8700,51725,58,58-22553-51725,8,4,7200,1500,1500,20.83333333,20.83333333,Unknown Functional Class,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2006,2241,12,3,WI,No Tolls on 1+ lane,24500,2006,1,2006,1,4,,58-6371-2241-,,58-22555-51132,2006,22000,51132,58,58-22555-51132,4,0,24500,-2500,2500,-10.20408163,10.20408163,Minor Arterial,Regional Travel Demand Model,Urban,4.7,4.7,4.7
,2005,1929,12,3,WI,No Tolls on 1+ lane,4800,2009,1,2005,1,4,,58-6372-1929-,,58-22557-51723,2009,5700,51723,58,58-22557-51723,8,4,4800,900,900,18.75,18.75,Unknown Functional Class,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2005,1929,12,3,WI,No Tolls on 1+ lane,4500,2009,1,2005,1,4,,58-6373-1929-,,58-22559-51732,2009,3900,51732,58,58-22559-51732,8,4,4500,-600,600,-13.33333333,13.33333333,Unknown Functional Class,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2005,1929,12,3,WI,No Tolls on 1+ lane,4900,2009,1,2005,1,4,,58-6374-1929-,,58-22561-51724,2009,5500,51724,58,58-22561-51724,8,4,4900,600,600,12.24489796,12.24489796,Unknown Functional Class,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2006,2214,12,3,WI,No Tolls on 1+ lane,2850,2006,1,2006,1,4,,58-6375-2214-,,58-22563-51601,2006,3300,51601,58,58-22563-51601,8,0,2850,450,450,15.78947368,15.78947368,Unknown Functional Class,Regional Travel Demand Model,Urban,4.7,4.7,4.7
,2005,1929,12,3,WI,No Tolls on 1+ lane,8500,2009,1,2005,1,4,,58-6376-1929-,,58-22565-51722,2009,9100,51722,58,58-22565-51722,8,4,8500,600,600,7.058823529,7.058823529,Unknown Functional Class,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2005,1929,12,3,WI,No Tolls on 1+ lane,2000,2009,1,2005,1,4,,58-6377-1929-,,58-22567-51727,2009,1800,51727,58,58-22567-51727,8,4,2000,-200,200,-10,10,Unknown Functional Class,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2006,2214,12,3,WI,No Tolls on 1+ lane,2850,2006,1,2006,1,4,,58-6378-2214-,,58-22569-51600,2006,3000,51600,58,58-22569-51600,8,0,2850,150,150,5.263157895,5.263157895,Unknown Functional Class,Regional Travel Demand Model,Urban,4.7,4.7,4.7
,2005,1929,12,3,WI,No Tolls on 1+ lane,8700,2009,1,2005,1,4,,58-6379-1929-,,58-22571-51289,2009,8600,51289,58,58-22571-51289,8,4,8700,-100,100,-1.149425287,1.149425287,Unknown Functional Class,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2005,1929,12,3,WI,No Tolls on 1+ lane,8900,2009,1,2005,1,4,,58-6380-1929-,,58-22573-51288,2009,8800,51288,58,58-22573-51288,8,4,8900,-100,100,-1.123595506,1.123595506,Unknown Functional Class,Regional Travel Demand Model,Urban,8.6,4.7,8.6
,2007,2514,12,3,WI,No Tolls on 1+ lane,760,2010,1,2007,1,1,,58-6381-2514-,,58-22575-70256,2010,560,70256,58,58-22575-70256,5,3,760,-200,200,-26.31578947,26.31578947,Major Collector,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2514,12,3,WI,No Tolls on 1+ lane,900,2010,1,2007,1,1,,58-6382-2514-,,58-22577-70251,2010,740,70251,58,58-22577-70251,5,3,900,-160,160,-17.77777778,17.77777778,Major Collector,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2514,12,3,WI,No Tolls on 1+ lane,480,2010,1,2007,1,1,,58-6383-2514-,,58-22579-70258,2010,430,70258,58,58-22579-70258,5,3,480,-50,50,-10.41666667,10.41666667,Major Collector,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2411,12,3,WI,No Tolls on 1+ lane,10700,2010,1,2007,1,1,,58-6384-2411-,,58-22581-80204,2010,8200,80204,58,58-22581-80204,4,3,10700,-2500,2500,-23.36448598,23.36448598,Minor Arterial,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2411,12,3,WI,No Tolls on 1+ lane,11500,2010,1,2007,1,1,,58-6385-2411-,,58-22583-80103,2010,9000,80103,58,58-22583-80103,4,3,11500,-2500,2500,-21.73913043,21.73913043,Minor Arterial,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2411,12,3,WI,No Tolls on 1+ lane,2800,2010,1,2007,1,1,,58-6386-2411-,,58-22585-80175,2010,2600,80175,58,58-22585-80175,4,3,2800,-200,200,-7.142857143,7.142857143,Minor Arterial,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2411,12,3,WI,No Tolls on 1+ lane,1200,2010,1,2007,1,1,,58-6387-2411-,,58-22587-80523,2010,1100,80523,58,58-22587-80523,6,3,1200,-100,100,-8.333333333,8.333333333,Minor Collector,Traffic Count Trend,Urban,8.6,4.9,8.6
,2007,2388,12,3,WI,No Tolls on 1+ lane,12600,2010,1,2007,1,4,,58-6388-2388-,,58-22589-80203,2010,10200,80203,58,58-22589-80203,4,3,12600,-2400,2400,-19.04761905,19.04761905,Minor Arterial,Regional Travel Demand Model,Urban,8.6,4.9,8.6
,2007,2388,12,3,WI,No Tolls on 1+ lane,10000,2010,1,2007,1,4,,58-6389-2388-,,58-22591-80498,2010,8300,80498,58,58-22591-80498,4,3,10000,-1700,1700,-17,17,Minor Arterial,Regional Travel Demand Model,Urban,8.6,4.9,8.6
,2007,2388,12,3,WI,No Tolls on 1+ lane,3100,2010,1,2007,1,4,,58-6390-2388-,,58-22593-80550,2010,2900,80550,58,58-22593-80550,5,3,3100,-200,200,-6.451612903,6.451612903,Major Collector,Regional Travel Demand Model,Urban,8.6,4.9,8.6
,2010,3376,12,3,WI,No Tolls on 1+ lane,700,2011,1,2010,1,1,,58-6391-3376-,,58-22595-90259,2011,780,90259,58,58-22595-90259,5,1,700,80,80,11.42857143,11.42857143,Major Collector,Traffic Count Trend,Urban,7.8,8.6,7.8
,2010,3374,12,3,WI,No Tolls on 1+ lane,700,2011,1,2010,1,1,,58-6392-3374-,,58-22597-90348,2011,720,90348,58,58-22597-90348,5,1,700,20,20,2.857142857,2.857142857,Major Collector,Traffic Count Trend,Urban,7.8,8.6,7.8
,2005,2084,12,3,WI,No Tolls on 1+ lane,1500,2011,1,2005,1,4,,58-6393-2084-,,58-22599-90173,2011,3700,90173,58,58-22599-90173,4,6,1500,2200,2200,146.6666667,146.6666667,Minor Arterial,Regional Travel Demand Model,Urban,7.8,4.7,7.8
,2005,2084,12,3,WI,No Tolls on 1+ lane,1200,2011,1,2005,1,4,,58-6394-2084-,,58-22601-90101,2011,1450,90101,58,58-22601-90101,4,6,1200,250,250,20.83333333,20.83333333,Minor Arterial,Regional Travel Demand Model,Urban,7.8,4.7,7.8
,2010,3531,12,3,WI,No Tolls on 1+ lane,6600,2011,1,2010,1,4,,58-6395-3531-,,58-22603-90954,2011,4300,90954,58,58-22603-90954,4,1,6600,-2300,2300,-34.84848485,34.84848485,Minor Arterial,Regional Travel Demand Model,Urban,7.8,8.6,7.8
,2007,1693,12,1,WI,No Tolls on 1+ lane,10900,2007,1,2007,1,1,,58-6396-1693-,,58-22605-100101,2007,12600,100101,58,58-22605-100101,3,0,10900,1700,1700,15.59633028,15.59633028,Principle Arterial,Traffic Count Trend,Rural,4.9,4.9,4.9
,2007,1693,12,1,WI,No Tolls on 1+ lane,10200,2007,1,2007,1,1,,58-6397-1693-,,58-22607-100176,2007,11300,100176,58,58-22607-100176,3,0,10200,1100,1100,10.78431373,10.78431373,Principle Arterial,Traffic Count Trend,Rural,4.9,4.9,4.9
